Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973556,سه راهي کلاله - گنبد,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,4232,4011,127,19,12,63,82,204,898,29,4232
973556,سه راهي کلاله - گنبد,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,3501,3369,90,8,6,28,83,186,648,14,3501
973556,سه راهي کلاله - گنبد,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,4126,3941,110,31,8,36,84,267,942,27,4126
973556,سه راهي کلاله - گنبد,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,4290,4076,131,28,9,46,85,297,988,33,4290
973556,سه راهي کلاله - گنبد,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,4407,4183,125,21,18,60,84,268,1019,25,4407
973556,سه راهي کلاله - گنبد,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,4355,4198,93,11,7,46,84,290,1118,29,4355
973556,سه راهي کلاله - گنبد,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,4203,3973,133,33,7,57,84,252,911,25,4203
973556,سه راهي کلاله - گنبد,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,3583,3424,102,19,2,36,81,104,679,22,3583
973556,سه راهي کلاله - گنبد,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,4271,4055,122,41,12,41,85,284,991,16,4271
973556,سه راهي کلاله - گنبد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3424,3237,115,22,8,42,84,215,603,19,3424
973556,سه راهي کلاله - گنبد,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,4334,4097,146,37,9,45,83,221,985,24,4334
973556,سه راهي کلاله - گنبد,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,4570,4337,142,42,8,41,84,288,1134,34,4570
973556,سه راهي کلاله - گنبد,1400/12/13 00:00:00,1400/12/14 00:00:00,1440,3046,2885,105,25,7,24,84,217,492,22,3046
973556,سه راهي کلاله - گنبد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,4073,3845,140,35,12,41,84,259,921,28,4073
973556,سه راهي کلاله - گنبد,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,4305,4077,136,37,7,48,83,227,931,29,4305
973556,سه راهي کلاله - گنبد,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,4274,4026,163,36,10,39,83,243,968,20,4274
973556,سه راهي کلاله - گنبد,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,4200,3962,159,35,10,34,84,278,848,20,4200
973556,سه راهي کلاله - گنبد,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,4455,4187,166,41,9,52,83,274,1074,22,4455
973556,سه راهي کلاله - گنبد,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,4544,4306,150,29,11,48,83,246,1076,33,4544
973556,سه راهي کلاله - گنبد,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,3544,3362,93,17,14,58,85,227,595,22,3544
973556,سه راهي کلاله - گنبد,1400/12/21 00:00:00,1400/12/22 00:00:00,1440,4362,4113,145,31,17,56,84,281,1038,17,4362
973556,سه راهي کلاله - گنبد,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,4579,4295,163,40,19,62,80,157,1117,24,4579
973556,سه راهي کلاله - گنبد,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,4584,4320,154,24,15,71,83,200,1082,17,4584
973556,سه راهي کلاله - گنبد,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,4558,4273,181,34,8,62,83,262,1126,18,4558
973556,سه راهي کلاله - گنبد,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,4426,4192,126,34,9,65,79,108,956,12,4426
973556,سه راهي کلاله - گنبد,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,4758,4556,112,22,15,53,84,267,1235,20,4758
973556,سه راهي کلاله - گنبد,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,4219,4035,93,17,11,63,85,289,956,12,4219
973556,سه راهي کلاله - گنبد,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,5657,5413,134,25,29,56,82,266,1694,22,5657
973556,سه راهي کلاله - گنبد,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,4187,4088,63,11,7,18,85,273,886,15,4187
973556,سه راهي کلاله - گنبد,1401/12/01 00:05:00,1401/12/02 00:00:00,1375,4713,4470,158,27,7,51,85,343,1244,52,4869
973556,سه راهي کلاله - گنبد,1401/12/02 00:00:00,1401/12/03 00:00:00,1415,4741,4473,143,53,10,62,86,353,1216,61,4755
973556,سه راهي کلاله - گنبد,1401/12/03 00:00:00,1401/12/04 00:00:00,1415,5015,4743,147,60,7,58,85,396,1381,49,5091
973556,سه راهي کلاله - گنبد,1401/12/04 00:00:00,1401/12/05 00:00:00,1390,5191,4958,132,43,6,52,86,425,1409,56,5229
973556,سه راهي کلاله - گنبد,1401/12/05 00:00:00,1401/12/06 00:00:00,1365,3398,3245,73,22,6,52,85,241,603,41,3647
973556,سه راهي کلاله - گنبد,1401/12/06 00:00:00,1401/12/07 00:00:00,1180,4193,3987,117,44,3,42,86,314,1169,59,4847
973556,سه راهي کلاله - گنبد,1401/12/07 00:15:00,1401/12/08 00:00:00,1130,4168,3959,131,29,3,46,85,293,1085,42,4968
