Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/01 01:15:00,1400/12/01 23:30:00,715.0,745,446,44,74,34,147,52.0,1.0,60.0,17.0,1359.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/02 00:50:00,1400/12/02 18:15:00,370.0,338,173,15,40,18,92,48.0,1.0,14.0,12.0,1288.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/03 06:30:00,1400/12/03 19:40:00,335.0,411,246,23,31,25,86,54.0,0.0,33.0,4.0,1369.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/04 00:55:00,1400/12/04 22:55:00,560.0,668,401,52,53,40,122,53.0,1.0,52.0,21.0,1552.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/05 00:00:00,1400/12/05 22:40:00,675.0,774,477,42,68,45,142,53.0,0.0,66.0,15.0,1429.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/06 00:25:00,1400/12/07 00:00:00,985.0,1185,792,57,93,48,195,52.0,0.0,114.0,21.0,1467.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/07 00:00:00,1400/12/08 00:00:00,1135.0,977,553,50,110,60,204,51.0,1.0,72.0,22.0,1199.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/08 00:00:00,1400/12/08 23:15:00,815.0,807,452,58,91,53,153,49.0,1.0,65.0,27.0,1381.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/09 00:40:00,1400/12/09 23:45:00,785.0,785,467,53,75,57,133,54.0,1.0,58.0,23.0,1418.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/10 00:00:00,1400/12/10 23:40:00,1000.0,1196,744,72,108,60,212,53.0,1.0,104.0,21.0,1484.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/11 00:15:00,1400/12/11 23:55:00,980.0,990,630,62,97,59,142,55.0,2.0,65.0,21.0,1339.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/12 00:00:00,1400/12/13 00:00:00,1030.0,1168,713,83,124,73,175,53.0,3.0,78.0,34.0,1509.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/13 00:00:00,1400/12/13 23:25:00,930.0,935,543,72,86,49,185,52.0,4.0,83.0,25.0,1305.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/14 00:30:00,1400/12/15 00:00:00,985.0,1150,667,123,109,64,187,53.0,6.0,116.0,101.0,1377.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,1530,827,204,181,73,245,51.0,4.0,120.0,164.0,1530.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1605,895,201,214,72,223,48.0,6.0,170.0,175.0,1605.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,1639,933,178,184,80,264,49.0,7.0,159.0,191.0,1639.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,1691,988,195,185,92,231,50.0,5.0,166.0,212.0,1691.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,1777,1067,194,173,89,254,52.0,2.0,173.0,217.0,1777.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,1713,1060,149,187,86,231,51.0,3.0,155.0,175.0,1713.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,1539,923,140,167,75,234,52.0,7.0,151.0,142.0,1539.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1771,967,214,219,79,292,48.0,5.0,136.0,167.0,1771.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,1860,1069,211,214,93,273,43.0,1.0,241.0,121.0,1860.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,2024,1259,232,185,84,264,42.0,2.0,348.0,157.0,2024.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,2468,1723,214,193,69,269,42.0,2.0,435.0,168.0,2468.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,3514,2735,203,173,77,326,48.0,3.0,589.0,246.0,3514.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,3441,2681,188,176,66,330,53.0,4.0,620.0,0.0,3441.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,2806,2256,133,84,64,269,54.0,3.0,484.0,0.0,2806.0
973953,شاهرود - آزادشهر (خوش ييلاق),1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,2135,1858,83,39,33,122,55.0,1.0,292.0,0.0,2135.0
973953,شاهرود - آزادشهر (خوش ييلاق),1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,1586,887,221,173,59,246,51.0,8.0,161.0,155.0,1586.0
973953,شاهرود - آزادشهر (خوش ييلاق),1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,1589,919,190,164,84,232,51.0,8.0,147.0,181.0,1589.0
973953,شاهرود - آزادشهر (خوش ييلاق),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,1959,1201,201,168,91,298,52.0,6.0,235.0,248.0,1959.0
