Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973157,شاهرود - گرگان (توسکستان),1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,1903,1513,269,78,38,5,65.0,10.0,184.0,120.0,1903.0
973157,شاهرود - گرگان (توسکستان),1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,1298,1157,75,17,37,12,64.0,4.0,109.0,143.0,1298.0
973157,شاهرود - گرگان (توسکستان),1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,1867,1520,243,49,47,8,67.0,15.0,222.0,133.0,1867.0
973157,شاهرود - گرگان (توسکستان),1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,2210,1778,292,88,35,17,65.0,17.0,260.0,115.0,2210.0
973157,شاهرود - گرگان (توسکستان),1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,2652,2148,349,102,37,16,65.0,21.0,397.0,144.0,2652.0
973157,شاهرود - گرگان (توسکستان),1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,5090,4731,253,54,38,14,62.0,13.0,1753.0,518.0,5090.0
973157,شاهرود - گرگان (توسکستان),1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,2151,1674,339,93,31,14,64.0,14.0,232.0,138.0,2151.0
973157,شاهرود - گرگان (توسکستان),1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,1409,1201,117,33,47,11,64.0,9.0,123.0,183.0,1409.0
973157,شاهرود - گرگان (توسکستان),1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,2414,1828,468,76,33,9,63.0,11.0,316.0,185.0,2414.0
973157,شاهرود - گرگان (توسکستان),1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,3605,3029,445,73,49,9,62.0,9.0,746.0,244.0,3605.0
973157,شاهرود - گرگان (توسکستان),1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,2234,1769,345,68,41,11,64.0,10.0,272.0,145.0,2234.0
973157,شاهرود - گرگان (توسکستان),1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,2629,2126,369,79,48,7,64.0,19.0,369.0,200.0,2629.0
973157,شاهرود - گرگان (توسکستان),1400/12/13 00:00:00,1400/12/14 00:00:00,1420.0,3417,3182,159,27,41,8,64.0,14.0,754.0,316.0,3432.0
973157,شاهرود - گرگان (توسکستان),1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,2166,1757,293,79,27,10,66.0,29.0,293.0,184.0,2166.0
973157,شاهرود - گرگان (توسکستان),1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,2150,1716,329,70,25,10,65.0,16.0,265.0,153.0,2150.0
973157,شاهرود - گرگان (توسکستان),1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1949,1559,281,62,37,10,66.0,19.0,223.0,151.0,1949.0
973157,شاهرود - گرگان (توسکستان),1400/12/17 00:00:00,1400/12/18 00:00:00,1435.0,2216,1690,263,210,20,33,63.0,20.0,282.0,166.0,2228.0
973157,شاهرود - گرگان (توسکستان),1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,2325,1751,237,265,18,54,64.0,9.0,297.0,179.0,2325.0
973157,شاهرود - گرگان (توسکستان),1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,2638,2078,227,257,22,54,62.0,9.0,406.0,173.0,2638.0
973157,شاهرود - گرگان (توسکستان),1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,2857,2563,168,78,8,40,66.0,22.0,546.0,190.0,2857.0
973157,شاهرود - گرگان (توسکستان),1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,2256,1623,311,264,22,36,60.0,8.0,293.0,174.0,2256.0
973157,شاهرود - گرگان (توسکستان),1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1970,1550,231,144,17,28,63.0,16.0,222.0,179.0,1980.0
973157,شاهرود - گرگان (توسکستان),1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,2271,1672,374,171,13,41,55.0,1.0,202.0,191.0,2271.0
973157,شاهرود - گرگان (توسکستان),1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,2230,1844,154,185,11,36,60.0,7.0,266.0,150.0,2230.0
973157,شاهرود - گرگان (توسکستان),1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,2058,1763,128,111,17,39,66.0,19.0,225.0,167.0,2058.0
973157,شاهرود - گرگان (توسکستان),1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,1884,1697,81,66,12,28,69.0,29.0,199.0,152.0,1884.0
973157,شاهرود - گرگان (توسکستان),1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,3031,2638,238,104,15,36,68.0,31.0,563.0,179.0,3031.0
973157,شاهرود - گرگان (توسکستان),1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,2509,2210,149,107,19,24,69.0,37.0,362.0,147.0,2509.0
973157,شاهرود - گرگان (توسکستان),1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,2231,2078,117,22,8,6,72.0,30.0,321.0,161.0,2231.0
973157,شاهرود - گرگان (توسکستان),1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,2463,1742,331,319,23,48,64.0,25.0,387.0,225.0,2463.0
973157,شاهرود - گرگان (توسکستان),1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,2376,1706,303,285,33,49,64.0,16.0,332.0,212.0,2376.0
973157,شاهرود - گرگان (توسکستان),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,2784,2110,295,296,32,51,65.0,19.0,466.0,241.0,2784.0
973157,شاهرود - گرگان (توسکستان),1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,2839,2204,274,285,29,47,65.0,14.0,508.0,184.0,2839.0
973157,شاهرود - گرگان (توسکستان),1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,3157,2884,153,82,13,25,65.0,21.0,563.0,216.0,3157.0
973157,شاهرود - گرگان (توسکستان),1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,2065,1583,188,223,21,50,64.0,10.0,247.0,154.0,2065.0
973157,شاهرود - گرگان (توسکستان),1401/12/07 00:00:00,1401/12/08 00:00:00,1430.0,2236,1574,279,309,29,45,65.0,26.0,279.0,153.0,2255.0
973157,شاهرود - گرگان (توسکستان),1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,2335,1680,322,255,23,55,64.0,23.0,301.0,167.0,2335.0
973157,شاهرود - گرگان (توسکستان),1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,2434,1705,359,290,23,57,64.0,12.0,351.0,188.0,2434.0
973157,شاهرود - گرگان (توسکستان),1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,2635,1974,311,261,27,62,66.0,32.0,424.0,209.0,2635.0
973157,شاهرود - گرگان (توسکستان),1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,2774,2204,246,245,32,47,66.0,22.0,484.0,225.0,2774.0
973157,شاهرود - گرگان (توسکستان),1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,3307,2896,207,132,22,50,68.0,39.0,638.0,229.0,3307.0
973157,شاهرود - گرگان (توسکستان),1401/12/13 00:00:00,1401/12/14 00:00:00,1430.0,2443,1714,289,355,20,65,65.0,19.0,346.0,212.0,2462.0
973157,شاهرود - گرگان (توسکستان),1401/12/14 00:00:00,1401/12/15 00:00:00,1435.0,2432,1722,305,336,20,49,64.0,21.0,320.0,172.0,2441.0
