Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973301,علي آباد - آزادشهر,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,16180,14539,578,395,145,523,92.0,16180.0,363.0,2492.0,0.0
973301,علي آباد - آزادشهر,1400/12/02 00:00:00,1400/12/03 00:00:00,1425.0,14273,12773,500,354,166,480,89.0,14305.0,221.0,1831.0,0.0
973301,علي آباد - آزادشهر,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,16307,14561,593,418,158,577,92.0,16307.0,367.0,2635.0,0.0
973301,علي آباد - آزادشهر,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,16939,15276,560,399,161,543,92.0,16939.0,342.0,2699.0,0.0
973301,علي آباد - آزادشهر,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,17623,16153,454,367,148,501,91.0,17623.0,359.0,3039.0,0.0
973301,علي آباد - آزادشهر,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,15352,14031,454,318,115,434,89.0,15352.0,296.0,2349.0,0.0
973301,علي آباد - آزادشهر,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,16111,14645,479,351,146,490,92.0,16111.0,361.0,2393.0,0.0
973301,علي آباد - آزادشهر,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,14345,12889,493,369,154,440,88.0,14345.0,202.0,1762.0,0.0
973301,علي آباد - آزادشهر,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,17305,15814,513,383,142,453,92.0,17305.0,351.0,2842.0,0.0
973301,علي آباد - آزادشهر,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,15040,13535,532,333,147,493,90.0,15040.0,269.0,2199.0,0.0
973301,علي آباد - آزادشهر,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,16899,15399,541,390,154,415,92.0,16899.0,353.0,2763.0,0.0
973301,علي آباد - آزادشهر,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,17481,15951,500,390,180,460,91.0,17481.0,323.0,3009.0,0.0
973301,علي آباد - آزادشهر,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,15438,14249,404,305,131,349,89.0,15438.0,260.0,2361.0,0.0
973301,علي آباد - آزادشهر,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,16823,15284,488,409,147,495,91.0,16823.0,329.0,2731.0,0.0
973301,علي آباد - آزادشهر,1400/12/15 00:00:00,1400/12/16 00:00:00,1305.0,14486,13035,492,388,155,416,91.0,16526.0,284.0,2357.0,0.0
973301,علي آباد - آزادشهر,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,16482,14741,593,455,159,534,91.0,16482.0,296.0,2514.0,0.0
973301,علي آباد - آزادشهر,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,16885,15135,615,434,175,526,90.0,16885.0,256.0,2713.0,0.0
973301,علي آباد - آزادشهر,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,17693,15960,576,460,182,515,90.0,17693.0,289.0,2970.0,0.0
973301,علي آباد - آزادشهر,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,18396,16899,479,367,168,483,89.0,18396.0,273.0,3389.0,0.0
973301,علي آباد - آزادشهر,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,15208,13884,454,314,140,416,89.0,15208.0,242.0,2130.0,0.0
973301,علي آباد - آزادشهر,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,17355,15782,532,367,170,504,90.0,17355.0,240.0,2785.0,0.0
973301,علي آباد - آزادشهر,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,17773,16016,624,486,152,495,88.0,17773.0,196.0,2971.0,0.0
973301,علي آباد - آزادشهر,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,18097,16317,638,457,171,514,88.0,18097.0,229.0,3039.0,0.0
973301,علي آباد - آزادشهر,1400/12/24 00:00:00,1400/12/25 00:00:00,1390.0,17436,15706,621,403,169,537,88.0,18451.0,195.0,2998.0,0.0
973301,علي آباد - آزادشهر,1400/12/25 00:00:00,1400/12/26 00:00:00,1365.0,18593,16925,636,425,155,452,87.0,19678.0,175.0,3427.0,0.0
973301,علي آباد - آزادشهر,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,22094,20524,588,377,169,436,89.0,22094.0,270.0,4565.0,0.0
973301,علي آباد - آزادشهر,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,23448,22118,548,307,109,366,89.0,23448.0,295.0,5320.0,0.0
973301,علي آباد - آزادشهر,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,26393,25105,506,324,128,330,89.0,26393.0,290.0,6490.0,0.0
