Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973358,علي آباد - گرگان (متناظر سامانه توزين),1400/12/27 17:30:00,1400/12/28 00:00:00,385,9329,8948,186,86,45,64,84,81,2935,5,31347
973358,علي آباد - گرگان (متناظر سامانه توزين),1400/12/28 00:00:00,1400/12/29 00:00:00,1440,29675,28142,725,262,188,358,84,310,8877,14,29675
973358,علي آباد - گرگان (متناظر سامانه توزين),1400/12/29 00:00:00,1401/01/01 00:00:00,1440,22903,22210,301,91,135,166,84,260,5248,10,22903
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/01 00:00:00,1401/12/02 00:00:00,1335,24549,22507,982,431,159,470,86,346,6746,19,27216
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/02 00:00:00,1401/12/03 00:00:00,1440,27285,25048,1051,476,174,536,86,416,7716,24,27285
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/03 00:00:00,1401/12/04 00:00:00,1440,27729,25515,1106,438,182,488,87,512,8112,20,27729
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/04 00:00:00,1401/12/05 00:00:00,1415,26583,24662,903,383,190,445,87,448,7320,28,27220
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/05 00:00:00,1401/12/06 00:00:00,1440,23143,21566,690,299,166,422,83,299,5386,44,23143
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/06 00:00:00,1401/12/07 00:00:00,1440,27006,24929,992,386,208,491,88,543,7508,24,27006
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/07 00:00:00,1401/12/08 00:00:00,1440,27088,24861,1084,456,194,493,88,516,7776,20,27088
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/08 00:00:00,1401/12/09 00:00:00,1440,27166,24944,1009,475,199,539,88,518,7682,44,27166
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/09 00:00:00,1401/12/10 00:00:00,1440,27185,24894,991,516,195,589,87,447,7662,35,27185
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/10 00:00:00,1401/12/11 00:00:00,1440,28196,25871,1072,460,203,590,87,454,8422,30,28196
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/11 00:00:00,1401/12/12 00:00:00,1440,27670,25475,941,478,198,578,86,464,7566,32,27670
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/12 00:00:00,1401/12/13 00:00:00,1440,24620,22882,731,319,174,514,87,465,6105,19,24620
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/13 00:00:00,1401/12/14 00:00:00,1440,27512,25429,990,399,186,508,88,494,7788,29,27512
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/14 00:00:00,1401/12/15 00:00:00,1440,27534,25153,1102,471,226,582,87,493,7903,26,27534
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/15 00:00:00,1401/12/16 00:00:00,1440,28394,25975,1087,548,180,604,87,500,8233,9,28394
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/16 00:00:00,1401/12/17 00:00:00,1440,28398,26056,1085,468,211,578,83,290,8288,12,28398
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/17 00:00:00,1401/12/18 00:00:00,1440,24285,22133,988,462,189,513,85,394,5857,29,24285
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/18 00:00:00,1401/12/19 00:00:00,1440,27454,25522,856,385,196,495,86,430,7366,23,27454
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/19 00:00:00,1401/12/20 00:00:00,1440,26135,24335,766,353,190,491,86,451,6811,19,26135
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/20 00:00:00,1401/12/21 00:00:00,1440,28919,26712,1072,429,170,536,87,468,8459,14,28919
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/21 00:00:00,1401/12/22 00:00:00,1440,28570,26074,1163,583,173,577,86,429,8106,16,28570
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/22 00:00:00,1401/12/23 00:00:00,1440,29284,26669,1227,588,219,581,85,371,8596,15,29284
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/23 00:00:00,1401/12/24 00:00:00,1440,28073,25464,1247,567,229,566,83,271,8013,8,28073
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/24 00:00:00,1401/12/25 00:00:00,1440,29449,26805,1267,534,245,598,83,286,8718,18,29449
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/25 00:00:00,1401/12/26 00:00:00,1440,31471,29150,1035,473,233,580,82,294,9816,19,31471
973358,علي آباد - گرگان (متناظر سامانه توزين),1401/12/26 00:00:00,1401/12/27 00:00:00,1440,30144,28011,911,434,216,572,84,315,9209,11,30144
