Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973155,علي آباد - گرگان,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,33396,30777,1092,778,172,577,82.0,33396.0,180.0,11748.0,0.0
973155,علي آباد - گرگان,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,30053,27939,787,514,184,629,80.0,30053.0,106.0,9209.0,0.0
973155,علي آباد - گرگان,1400/12/03 00:00:00,1400/12/04 00:00:00,1435.0,32588,30160,1026,661,163,578,82.0,32773.0,197.0,11404.0,0.0
973155,علي آباد - گرگان,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,33633,30951,1149,728,170,635,83.0,33633.0,219.0,12134.0,0.0
973155,علي آباد - گرگان,1400/12/05 00:00:00,1400/12/06 00:00:00,1435.0,34138,31741,1035,652,158,552,83.0,34352.0,215.0,12164.0,0.0
973155,علي آباد - گرگان,1400/12/06 00:00:00,1400/12/07 00:00:00,1325.0,30368,28600,719,452,130,467,83.0,31477.0,257.0,10648.0,0.0
973155,علي آباد - گرگان,1400/12/07 00:00:00,1400/12/08 00:00:00,1430.0,33407,30878,1107,758,143,521,82.0,33483.0,184.0,11706.0,0.0
973155,علي آباد - گرگان,1400/12/08 00:00:00,1400/12/09 00:00:00,1435.0,28911,26876,775,588,159,513,80.0,29037.0,134.0,8623.0,0.0
973155,علي آباد - گرگان,1400/12/09 00:00:00,1400/12/10 00:00:00,1415.0,34810,32063,1247,734,188,578,81.0,35055.0,164.0,13009.0,0.0
973155,علي آباد - گرگان,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,31433,28833,1180,705,161,554,82.0,31433.0,200.0,10270.0,0.0
973155,علي آباد - گرگان,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,34598,31985,1141,780,170,522,81.0,34598.0,179.0,12727.0,0.0
973155,علي آباد - گرگان,1400/12/12 00:00:00,1400/12/13 00:00:00,1420.0,34837,32298,1123,718,157,541,81.0,35296.0,214.0,12942.0,0.0
973155,علي آباد - گرگان,1400/12/13 00:00:00,1400/12/14 00:00:00,1365.0,30538,28829,689,436,131,453,82.0,31081.0,231.0,10107.0,0.0
973155,علي آباد - گرگان,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,34160,31588,1100,735,199,538,82.0,34160.0,168.0,12165.0,0.0
973155,علي آباد - گرگان,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,33913,31186,1220,734,174,599,82.0,33913.0,218.0,12012.0,0.0
973155,علي آباد - گرگان,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,33373,30631,1206,722,214,600,81.0,33373.0,177.0,11365.0,0.0
973155,علي آباد - گرگان,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,34184,31303,1132,874,249,626,80.0,34184.0,143.0,12826.0,0.0
973155,علي آباد - گرگان,1400/12/18 00:00:00,1400/12/19 00:00:00,1435.0,34610,31737,1067,909,252,645,81.0,34774.0,171.0,12715.0,0.0
973155,علي آباد - گرگان,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,35132,32504,1018,782,230,598,77.0,35132.0,133.0,12901.0,0.0
973155,علي آباد - گرگان,1400/12/20 00:00:00,1400/12/20 16:40:00,970.0,16577,15279,485,353,114,346,83.0,30768.0,105.0,4689.0,0.0
