Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
974252,مراوه تپه - کلاله ,1397/01/01 00:00:00,1397/01/01 23:35:00,1415,1793,1752,19,16,1,5,90,724,243,34,1814
974252,مراوه تپه - کلاله ,1397/01/02 01:40:00,1397/01/03 00:00:00,1280,1865,1817,21,19,1,7,89,751,273,55,1941
974252,مراوه تپه - کلاله ,1397/01/03 00:00:00,1397/01/04 00:00:00,1430,1874,1837,21,14,0,2,92,778,246,41,1890
974252,مراوه تپه - کلاله ,1397/01/04 00:00:00,1397/01/05 00:00:00,1440,2153,2110,25,12,3,3,90,866,296,41,2153
974252,مراوه تپه - کلاله ,1397/01/05 00:00:00,1397/01/06 00:00:00,1440,2297,2254,36,3,1,3,89,830,358,47,2301
974252,مراوه تپه - کلاله ,1397/01/06 00:00:00,1397/01/07 00:00:00,1440,2119,2077,31,3,1,7,88,790,292,48,2119
974252,مراوه تپه - کلاله ,1397/01/07 00:00:00,1397/01/08 00:00:00,1440,2220,2183,27,3,1,6,90,866,369,56,2220
974252,مراوه تپه - کلاله ,1397/01/08 00:00:00,1397/01/09 00:00:00,1440,2444,2402,38,0,1,3,89,924,381,56,2444
974252,مراوه تپه - کلاله ,1397/01/09 00:00:00,1397/01/10 00:00:00,1440,2485,2448,29,3,1,4,91,1052,408,72,2485
974252,مراوه تپه - کلاله ,1397/01/10 00:00:00,1397/01/11 00:00:00,1440,2396,2350,35,3,4,4,87,821,394,73,2396
974252,مراوه تپه - کلاله ,1397/01/11 00:00:00,1397/01/12 00:00:00,1440,1779,1745,23,2,4,5,85,419,216,29,1779
