Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973555,مرزپل - اينچه برون,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,1010,892,62,9,3,44,92.0,1010.0,483.0,55.0,22.0
973555,مرزپل - اينچه برون,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,871,783,33,6,2,47,92.0,903.0,398.0,52.0,24.0
973555,مرزپل - اينچه برون,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,1116,992,65,17,7,35,93.0,1116.0,533.0,106.0,46.0
973555,مرزپل - اينچه برون,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,1063,891,70,24,9,69,90.0,1063.0,461.0,61.0,28.0
973555,مرزپل - اينچه برون,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,1409,1219,77,17,6,90,91.0,1409.0,626.0,111.0,40.0
973555,مرزپل - اينچه برون,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,3020,2897,91,16,4,12,86.0,3020.0,860.0,694.0,108.0
973555,مرزپل - اينچه برون,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,977,820,70,28,4,55,91.0,977.0,440.0,52.0,29.0
973555,مرزپل - اينچه برون,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,869,714,49,22,8,76,89.0,869.0,353.0,47.0,30.0
973555,مرزپل - اينچه برون,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,965,844,48,16,6,51,90.0,967.0,438.0,52.0,30.0
973555,مرزپل - اينچه برون,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,1232,1082,77,15,2,56,90.0,1232.0,501.0,99.0,35.0
973555,مرزپل - اينچه برون,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,1093,969,64,17,2,41,91.0,1100.0,491.0,72.0,24.0
973555,مرزپل - اينچه برون,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,1370,1223,67,21,7,52,90.0,1370.0,581.0,117.0,50.0
973555,مرزپل - اينچه برون,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,1875,1759,68,19,3,26,86.0,1875.0,553.0,259.0,53.0
973555,مرزپل - اينچه برون,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,1048,854,72,29,13,80,90.0,1050.0,463.0,72.0,37.0
973555,مرزپل - اينچه برون,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,1052,881,71,26,6,68,91.0,1062.0,460.0,47.0,23.0
