Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973951,مينودشت - آزادشهر,1400/12/05 10:25:00,1400/12/06 00:00:00,815.0,6338,5754,219,160,68,137,88.0,9053.0,781.0,662.0,0.0
973951,مينودشت - آزادشهر,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,8914,7972,292,223,120,307,88.0,8914.0,1181.0,826.0,0.0
973951,مينودشت - آزادشهر,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,8626,7605,362,311,87,261,88.0,8626.0,983.0,775.0,0.0
973951,مينودشت - آزادشهر,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,7597,6595,303,291,130,278,83.0,7597.0,578.0,577.0,0.0
973951,مينودشت - آزادشهر,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,9182,7931,434,355,136,326,88.0,9182.0,1090.0,840.0,0.0
973951,مينودشت - آزادشهر,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,9222,8039,411,336,135,301,87.0,9222.0,973.0,903.0,0.0
973951,مينودشت - آزادشهر,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,9020,7862,431,337,113,277,86.0,9020.0,908.0,913.0,0.0
973951,مينودشت - آزادشهر,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,9320,8194,405,280,128,313,88.0,9320.0,1109.0,905.0,0.0
973951,مينودشت - آزادشهر,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,9238,8287,314,232,114,291,85.0,9238.0,949.0,1034.0,0.0
973951,مينودشت - آزادشهر,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,8959,7843,389,318,128,281,88.0,8959.0,968.0,838.0,0.0
973951,مينودشت - آزادشهر,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,8985,7782,441,319,144,299,87.0,8985.0,991.0,791.0,0.0
973951,مينودشت - آزادشهر,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,9001,7704,466,336,171,324,87.0,9001.0,941.0,818.0,0.0
973951,مينودشت - آزادشهر,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,6577,5687,320,210,146,214,83.0,6577.0,657.0,596.0,0.0
973951,مينودشت - آزادشهر,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,6001,5208,279,197,157,160,81.0,6001.0,850.0,548.0,0.0
973951,مينودشت - آزادشهر,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,7373,6572,306,187,139,169,84.0,7373.0,832.0,655.0,0.0
973951,مينودشت - آزادشهر,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,8786,7811,291,265,123,296,87.0,8786.0,962.0,833.0,0.0
973951,مينودشت - آزادشهر,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,8892,7841,407,289,122,233,88.0,8892.0,1012.0,812.0,0.0
973951,مينودشت - آزادشهر,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,9281,7990,449,385,160,297,85.0,9281.0,662.0,906.0,0.0
973951,مينودشت - آزادشهر,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,9409,8096,482,367,142,322,86.0,9409.0,929.0,880.0,0.0
973951,مينودشت - آزادشهر,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,9504,8302,427,335,154,286,86.0,9504.0,836.0,907.0,0.0
973951,مينودشت - آزادشهر,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,9911,8765,398,339,142,267,84.0,9911.0,642.0,1003.0,0.0
973951,مينودشت - آزادشهر,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,10704,9661,404,288,131,220,88.0,10704.0,1162.0,1204.0,0.0
973951,مينودشت - آزادشهر,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,13208,12323,332,233,112,208,90.0,13208.0,1643.0,2099.0,0.0
973951,مينودشت - آزادشهر,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,13741,12872,357,216,107,189,89.0,13741.0,1630.0,2172.0,0.0
973951,مينودشت - آزادشهر,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,12804,12320,193,94,92,105,90.0,12804.0,1527.0,1974.0,0.0
973951,مينودشت - آزادشهر,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,10433,9114,598,201,209,311,81.0,10433.0,168.0,977.0,0.0
