Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973601,مينودشت - گاليکش,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,11836,10842,384,204,130,276,57.0,11836.0,137.0,5482.0,50.0
973601,مينودشت - گاليکش,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,10587,9739,310,145,156,237,59.0,10587.0,79.0,4659.0,57.0
973601,مينودشت - گاليکش,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,11979,11023,360,169,164,263,57.0,11979.0,128.0,5648.0,44.0
973601,مينودشت - گاليکش,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,12142,11177,389,174,156,246,58.0,12142.0,167.0,5897.0,55.0
973601,مينودشت - گاليکش,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,12644,11786,324,139,131,264,59.0,12644.0,165.0,6144.0,64.0
973601,مينودشت - گاليکش,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,10857,10080,291,146,88,252,61.0,10857.0,222.0,4881.0,80.0
973601,مينودشت - گاليکش,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,11991,11154,297,144,126,270,61.0,11977.0,194.0,5566.0,64.0
973601,مينودشت - گاليکش,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,10849,9991,328,144,123,263,58.0,10849.0,85.0,4824.0,62.0
973601,مينودشت - گاليکش,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,12572,11688,338,173,123,250,60.0,12572.0,183.0,6143.0,108.0
973601,مينودشت - گاليکش,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,11316,10429,350,135,128,274,60.0,11316.0,203.0,5245.0,93.0
973601,مينودشت - گاليکش,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,12552,11676,344,161,142,229,59.0,12552.0,184.0,6175.0,55.0
973601,مينودشت - گاليکش,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,12779,11915,289,197,167,211,58.0,12779.0,149.0,6355.0,73.0
973601,مينودشت - گاليکش,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,10545,9801,290,170,72,212,61.0,10545.0,191.0,4662.0,92.0
973601,مينودشت - گاليکش,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,12616,11757,303,171,116,269,58.0,12616.0,147.0,6128.0,72.0
973601,مينودشت - گاليکش,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,12516,11564,379,221,94,258,58.0,12516.0,132.0,6131.0,84.0
973601,مينودشت - گاليکش,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,12233,11313,360,191,108,261,59.0,12233.0,164.0,5963.0,85.0
973601,مينودشت - گاليکش,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,12722,11693,397,229,108,295,56.0,12722.0,161.0,6147.0,80.0
973601,مينودشت - گاليکش,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,12665,11648,387,204,134,292,57.0,12665.0,168.0,6484.0,77.0
973601,مينودشت - گاليکش,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,13351,12476,306,166,124,279,56.0,13351.0,111.0,6692.0,73.0
973601,مينودشت - گاليکش,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,10598,9836,292,129,131,210,58.0,10598.0,134.0,4691.0,102.0
973601,مينودشت - گاليکش,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,12573,11678,371,147,130,247,57.0,12573.0,146.0,6211.0,83.0
973601,مينودشت - گاليکش,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,12999,12003,443,174,137,242,55.0,12999.0,75.0,6381.0,79.0
973601,مينودشت - گاليکش,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,13226,12242,393,203,136,252,56.0,13226.0,86.0,6519.0,87.0
973601,مينودشت - گاليکش,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,13874,12831,445,184,152,262,54.0,13874.0,115.0,7085.0,65.0
973601,مينودشت - گاليکش,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,14368,13402,452,166,134,214,54.0,14368.0,79.0,7402.0,85.0
973601,مينودشت - گاليکش,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,15792,14918,348,150,149,227,54.0,15792.0,90.0,8429.0,103.0
973601,مينودشت - گاليکش,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,16367,15589,376,118,119,165,49.0,16367.0,127.0,8081.0,78.0
973601,مينودشت - گاليکش,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,19050,18391,284,102,145,128,52.0,19050.0,94.0,11109.0,49.0
973601,مينودشت - گاليکش,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,15983,15613,138,44,127,61,60.0,15983.0,145.0,7665.0,54.0
973601,مينودشت - گاليکش,1401/12/01 00:00:00,1401/12/02 00:00:00,1170.0,12058,11237,322,141,148,210,62.0,13527.0,361.0,6085.0,93.0
973601,مينودشت - گاليکش,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,13820,12864,411,153,163,229,63.0,13820.0,484.0,6794.0,133.0
973601,مينودشت - گاليکش,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,14013,12995,423,156,163,276,62.0,14013.0,476.0,7126.0,114.0
973601,مينودشت - گاليکش,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,14423,13508,349,141,189,236,63.0,14423.0,521.0,7243.0,131.0
973601,مينودشت - گاليکش,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,10896,10143,268,113,173,199,62.0,10896.0,356.0,4555.0,93.0
973601,مينودشت - گاليکش,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,13144,12275,308,123,186,252,64.0,13144.0,446.0,6538.0,103.0
973601,مينودشت - گاليکش,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,13705,12711,394,154,203,243,63.0,13705.0,483.0,6745.0,119.0
973601,مينودشت - گاليکش,1401/12/08 00:00:00,1401/12/09 00:00:00,1415.0,13368,12403,345,154,182,284,64.0,13399.0,539.0,6649.0,116.0
973601,مينودشت - گاليکش,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,13710,12664,385,174,202,285,63.0,13710.0,502.0,6877.0,119.0
973601,مينودشت - گاليکش,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,14188,13134,377,181,196,300,63.0,14188.0,455.0,7155.0,150.0
973601,مينودشت - گاليکش,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,14191,13187,345,156,202,301,63.0,14191.0,548.0,7192.0,107.0
973601,مينودشت - گاليکش,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,11547,10666,307,141,187,246,64.0,11547.0,483.0,5422.0,120.0
973601,مينودشت - گاليکش,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,13526,12561,348,143,184,290,64.0,13526.0,611.0,6868.0,105.0
973601,مينودشت - گاليکش,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,13733,12665,428,149,198,293,63.0,13733.0,547.0,6916.0,120.0
973601,مينودشت - گاليکش,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,14002,12935,430,175,199,263,63.0,14002.0,521.0,7019.0,119.0
