Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973553,مينودشت - گنبد,1400/12/01 00:05:00,1400/12/02 00:00:00,1420.0,10857,10435,254,78,44,46,65.0,10901.0,56.0,1259.0,0.0
973553,مينودشت - گنبد,1400/12/02 00:00:00,1400/12/03 00:00:00,1390.0,7998,7692,168,55,27,56,63.0,8238.0,22.0,935.0,0.0
973553,مينودشت - گنبد,1400/12/03 00:00:00,1400/12/04 00:00:00,1415.0,11515,11050,258,86,44,77,66.0,11699.0,56.0,1412.0,0.0
973553,مينودشت - گنبد,1400/12/04 00:00:00,1400/12/05 00:00:00,1365.0,11562,11096,246,104,42,74,66.0,11872.0,59.0,1403.0,0.0
973553,مينودشت - گنبد,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,12537,12111,235,98,29,64,66.0,12537.0,56.0,1584.0,0.0
973553,مينودشت - گنبد,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,8418,8038,192,84,41,63,65.0,8418.0,122.0,921.0,0.0
973553,مينودشت - گنبد,1400/12/07 00:00:00,1400/12/08 00:00:00,1425.0,10791,10279,264,108,72,68,64.0,10859.0,74.0,1341.0,0.0
973553,مينودشت - گنبد,1400/12/08 00:00:00,1400/12/09 00:00:00,1425.0,7193,6793,213,89,30,68,61.0,7287.0,22.0,837.0,0.0
973553,مينودشت - گنبد,1400/12/09 00:00:00,1400/12/10 00:00:00,1425.0,8299,7901,209,74,39,76,63.0,8350.0,28.0,1047.0,0.0
973553,مينودشت - گنبد,1400/12/10 00:00:00,1400/12/11 00:00:00,1420.0,7537,7198,195,52,31,61,62.0,7584.0,16.0,903.0,0.0
973553,مينودشت - گنبد,1400/12/11 00:00:00,1400/12/12 00:00:00,1435.0,8269,7847,230,83,48,61,62.0,8293.0,37.0,1051.0,0.0
973553,مينودشت - گنبد,1400/12/12 00:00:00,1400/12/13 00:00:00,1435.0,8635,8267,221,53,26,68,63.0,8658.0,10.0,1137.0,0.0
973553,مينودشت - گنبد,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,7315,7042,152,47,22,52,63.0,7315.0,21.0,815.0,0.0
973553,مينودشت - گنبد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,8486,8081,201,102,37,65,63.0,8486.0,40.0,1210.0,0.0
973553,مينودشت - گنبد,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,11675,11222,233,108,35,77,66.0,11675.0,46.0,1580.0,0.0
973553,مينودشت - گنبد,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,11940,11442,256,122,48,72,66.0,11940.0,61.0,1428.0,0.0
973553,مينودشت - گنبد,1400/12/17 00:00:00,1400/12/18 00:00:00,1435.0,12237,11732,262,122,49,72,65.0,12241.0,68.0,1574.0,0.0
973553,مينودشت - گنبد,1400/12/18 00:00:00,1400/12/19 00:00:00,1430.0,12132,11672,268,101,34,57,66.0,12274.0,53.0,1491.0,0.0
973553,مينودشت - گنبد,1400/12/19 00:00:00,1400/12/20 00:00:00,1425.0,11889,11383,246,115,56,89,65.0,12050.0,78.0,1436.0,0.0
973553,مينودشت - گنبد,1400/12/20 00:00:00,1400/12/21 00:00:00,1420.0,9772,9442,170,68,31,61,65.0,9921.0,46.0,1073.0,0.0
973553,مينودشت - گنبد,1400/12/21 00:00:00,1400/12/22 00:00:00,1420.0,11849,11336,291,96,62,64,66.0,12005.0,81.0,1466.0,0.0
973553,مينودشت - گنبد,1400/12/22 00:00:00,1400/12/23 00:00:00,1420.0,12784,12334,250,93,44,63,65.0,12954.0,39.0,1679.0,0.0
973553,مينودشت - گنبد,1400/12/23 00:00:00,1400/12/24 00:00:00,1420.0,12501,12037,269,93,31,71,65.0,12678.0,61.0,1664.0,0.0
973553,مينودشت - گنبد,1400/12/24 00:00:00,1400/12/25 00:00:00,1410.0,12135,11654,273,96,39,73,65.0,12424.0,44.0,1517.0,0.0
973553,مينودشت - گنبد,1400/12/25 00:00:00,1400/12/26 00:00:00,1390.0,12603,12245,204,72,19,63,65.0,12838.0,28.0,1658.0,0.0
973553,مينودشت - گنبد,1400/12/26 00:00:00,1400/12/27 00:00:00,1295.0,11634,11324,162,57,25,66,66.0,13235.0,34.0,1533.0,0.0
973553,مينودشت - گنبد,1400/12/27 00:00:00,1400/12/28 00:00:00,1410.0,11679,11381,150,67,26,55,66.0,11947.0,52.0,1493.0,0.0
973553,مينودشت - گنبد,1400/12/28 00:00:00,1400/12/29 00:00:00,1410.0,13762,13328,258,90,37,49,67.0,14014.0,55.0,2035.0,0.0
973553,مينودشت - گنبد,1400/12/29 00:00:00,1401/01/01 00:00:00,1365.0,9840,9569,151,58,29,33,66.0,10245.0,48.0,1019.0,0.0
973553,مينودشت - گنبد,1401/12/06 13:10:00,1401/12/07 00:00:00,595.0,4695,4498,90,35,18,54,64.0,8567.0,56.0,571.0,0.0
973553,مينودشت - گنبد,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,9790,9428,193,60,25,84,66.0,9790.0,60.0,1276.0,0.0
973553,مينودشت - گنبد,1401/12/08 00:00:00,1401/12/09 00:00:00,1090.0,6365,6123,116,46,24,56,65.0,9456.0,42.0,775.0,0.0
973553,مينودشت - گنبد,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,10109,9649,231,81,44,104,66.0,10109.0,94.0,1339.0,0.0
973553,مينودشت - گنبد,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,10076,9695,177,74,21,109,66.0,10076.0,49.0,1287.0,0.0
973553,مينودشت - گنبد,1401/12/11 00:00:00,1401/12/12 00:00:00,1345.0,9409,9082,174,41,20,92,66.0,10346.0,40.0,1199.0,0.0
973553,مينودشت - گنبد,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,8214,8020,88,34,5,67,67.0,8214.0,4.0,858.0,0.0
973553,مينودشت - گنبد,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,9789,9373,220,64,28,104,66.0,9789.0,56.0,1236.0,0.0
973553,مينودشت - گنبد,1401/12/14 00:00:00,1401/12/15 00:00:00,1300.0,8638,8287,178,52,27,94,67.0,9824.0,58.0,1062.0,0.0
973553,مينودشت - گنبد,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,9810,9405,219,57,25,104,66.0,9810.0,69.0,1203.0,0.0
973553,مينودشت - گنبد,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,9677,9311,201,55,28,82,65.0,9677.0,55.0,1087.0,0.0
973553,مينودشت - گنبد,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,8472,8193,147,49,10,73,67.0,8472.0,4.0,955.0,0.0
973553,مينودشت - گنبد,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,9838,9555,146,39,14,84,66.0,9838.0,0.0,1207.0,0.0
973553,مينودشت - گنبد,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,4450,3457,271,193,212,317,75.0,5094.0,794.0,362.0,0.0
973553,مينودشت - گنبد,1401/12/20 00:00:00,1401/12/21 00:00:00,1320.0,7133,5955,343,191,218,426,82.0,9032.0,941.0,801.0,0.0
973553,مينودشت - گنبد,1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,14184,13567,369,111,43,94,84.0,14184.0,172.0,1703.0,0.0
973553,مينودشت - گنبد,1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,14212,13570,416,114,28,84,84.0,14212.0,149.0,1743.0,0.0
973553,مينودشت - گنبد,1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,13684,13040,388,123,28,105,86.0,13684.0,229.0,1723.0,0.0
973553,مينودشت - گنبد,1401/12/24 00:00:00,1401/12/25 00:00:00,1440.0,13882,13259,369,115,29,110,83.0,13882.0,208.0,1704.0,0.0
973553,مينودشت - گنبد,1401/12/25 00:00:00,1401/12/26 00:00:00,1430.0,15200,14619,352,106,34,89,84.0,15206.0,198.0,2131.0,0.0
973553,مينودشت - گنبد,1401/12/26 00:00:00,1401/12/27 00:00:00,1330.0,13338,12802,375,71,26,64,85.0,14538.0,170.0,1815.0,0.0
973553,مينودشت - گنبد,1401/12/27 00:00:00,1401/12/28 00:00:00,1420.0,16031,15315,464,125,37,90,84.0,20485.0,297.0,2234.0,0.0
973553,مينودشت - گنبد,1401/12/28 00:00:00,1401/12/29 00:00:00,1430.0,16286,15727,354,100,24,81,85.0,16231.0,223.0,2324.0,0.0
973553,مينودشت - گنبد,1401/12/29 00:00:00,1402/01/01 00:00:00,1230.0,11282,10938,227,49,19,49,85.0,12658.0,138.0,1355.0,0.0
973553,مينودشت - گنبد,1395/01/01 00:00:00,1395/01/02 02:00:00,1485.0,5915,5199,381,190,82,63,83.22,,463.0,259.0,0.0
973553,مينودشت - گنبد,1395/01/02 02:00:00,1395/01/03 00:00:00,1320.0,5355,4714,311,187,70,73,79.09,,255.0,284.0,0.0
973553,مينودشت - گنبد,1395/01/03 00:00:00,1395/01/04 00:00:00,1440.0,5537,4684,431,212,91,119,76.67,,250.0,248.0,0.0
973553,مينودشت - گنبد,1395/01/04 00:00:00,1395/01/05 00:00:00,1440.0,6987,5518,1003,259,122,85,81.4,,549.0,424.0,0.0
973553,مينودشت - گنبد,1395/01/05 00:00:00,1395/01/06 00:00:00,1440.0,9330,7044,1263,602,183,238,78.95,,993.0,2137.0,0.0
973553,مينودشت - گنبد,1395/01/06 00:00:00,1395/01/07 00:00:00,1440.0,6488,5519,446,273,121,129,78.88,,401.0,407.0,0.0
973553,مينودشت - گنبد,1395/01/07 00:00:00,1395/01/08 00:00:00,1440.0,7497,6515,496,251,128,107,81.72,,509.0,485.0,0.0
973553,مينودشت - گنبد,1395/01/08 00:00:00,1395/01/09 00:00:00,1440.0,6969,5815,553,309,139,153,79.89,,433.0,395.0,0.0
973553,مينودشت - گنبد,1395/01/09 00:00:00,1395/01/10 00:00:00,1440.0,7222,6429,391,217,102,83,80.25,,330.0,393.0,0.0
973553,مينودشت - گنبد,1395/01/10 00:00:00,1395/01/11 00:00:00,1440.0,9838,9073,521,147,56,41,83.0,,444.0,643.0,0.0
973553,مينودشت - گنبد,1395/01/11 00:00:00,1395/01/12 00:00:00,1440.0,7291,6301,521,287,105,77,78.11,,366.0,363.0,0.0
973553,مينودشت - گنبد,1395/01/12 00:00:00,1395/01/13 00:00:00,1440.0,7231,6047,688,293,105,98,79.98,,541.0,666.0,0.0
973553,مينودشت - گنبد,1395/01/13 00:00:00,1395/01/14 00:00:00,1440.0,7573,7461,82,26,3,1,80.77,,202.0,477.0,0.0
973553,مينودشت - گنبد,1395/01/14 00:00:00,1395/01/15 00:00:00,1440.0,9724,9415,169,90,49,1,83.95,,321.0,475.0,0.0
973553,مينودشت - گنبد,1395/01/15 00:00:00,1395/01/16 00:00:00,1440.0,7473,7068,219,108,61,17,85.0,,370.0,381.0,0.0
973553,مينودشت - گنبد,1395/01/16 00:00:00,1395/01/17 00:00:00,1425.0,3875,3111,353,205,82,124,80.18,,262.0,201.0,0.0
973553,مينودشت - گنبد,1395/01/17 00:00:00,1395/01/18 00:00:00,1440.0,5755,4732,582,245,101,95,82.13,,550.0,353.0,0.0
973553,مينودشت - گنبد,1395/01/18 00:00:00,1395/01/19 00:00:00,1440.0,4183,3215,525,220,118,105,83.53,,605.0,245.0,0.0
973553,مينودشت - گنبد,1395/01/19 00:00:00,1395/01/20 00:00:00,1410.0,4274,3268,575,225,100,106,83.6,,620.0,281.0,0.0
973553,مينودشت - گنبد,1395/01/20 00:00:00,1395/01/21 00:00:00,1440.0,3455,2617,451,215,92,80,80.75,,429.0,238.0,0.0
973553,مينودشت - گنبد,1395/01/21 00:00:00,1395/01/22 00:00:00,1410.0,3997,3222,363,198,86,128,84.04,,423.0,264.0,0.0
973553,مينودشت - گنبد,1395/01/22 00:00:00,1395/01/23 00:00:00,1425.0,7290,6813,263,128,40,46,84.71,,442.0,382.0,0.0
973553,مينودشت - گنبد,1395/01/23 00:00:00,1395/01/24 00:00:00,1440.0,9546,9112,242,122,63,7,85.51,,446.0,509.0,0.0
973553,مينودشت - گنبد,1395/01/24 00:00:00,1395/01/25 00:00:00,1440.0,9036,7963,687,285,66,35,83.03,,689.0,683.0,0.0
973553,مينودشت - گنبد,1395/01/25 00:00:00,1395/01/26 00:00:00,1440.0,9813,5679,1716,1504,323,591,77.62,,662.0,797.0,0.0
973553,مينودشت - گنبد,1395/01/26 00:00:00,1395/01/27 00:00:00,1440.0,12648,11654,547,251,114,82,84.36,,1718.0,3552.0,0.0
973553,مينودشت - گنبد,1395/01/27 00:00:00,1395/01/28 00:00:00,1440.0,4192,3978,120,62,28,4,84.2,,270.0,170.0,0.0
