Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973254,کردکوي - بندر ترکمن,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,4136,3945,131,14,11,35,91,132,125,4,4136
973254,کردکوي - بندر ترکمن,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,3911,3779,74,19,9,30,89,110,123,4,3911
973254,کردکوي - بندر ترکمن,1400/12/03 00:00:00,1400/12/04 00:00:00,1430,3881,3725,82,23,10,41,92,177,137,3,3907
973254,کردکوي - بندر ترکمن,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,4102,3917,119,16,11,39,91,147,158,9,4102
973254,کردکوي - بندر ترکمن,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,4283,4111,100,24,8,40,92,153,185,3,4283
973254,کردکوي - بندر ترکمن,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,4528,4373,113,19,5,18,92,151,248,4,4528
973254,کردکوي - بندر ترکمن,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,4156,3972,93,20,13,58,91,143,154,4,4156
973254,کردکوي - بندر ترکمن,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,3752,3613,91,15,6,27,89,110,118,3,3752
973254,کردکوي - بندر ترکمن,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,4770,4582,113,17,19,39,90,135,196,4,4770
973254,کردکوي - بندر ترکمن,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3834,3660,107,17,14,36,91,125,177,6,3834
973254,کردکوي - بندر ترکمن,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,4266,4083,106,18,12,47,93,205,146,7,4266
973254,کردکوي - بندر ترکمن,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,4431,4246,129,14,9,33,93,216,161,0,4431
973254,کردکوي - بندر ترکمن,1400/12/13 00:00:00,1400/12/14 00:00:00,1380,4124,4014,72,11,6,21,91,153,180,1,4170
973254,کردکوي - بندر ترکمن,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,4059,3892,101,21,12,33,92,171,151,1,4059
973254,کردکوي - بندر ترکمن,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,4313,4133,117,15,13,35,91,160,172,1,4313
973254,کردکوي - بندر ترکمن,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,4747,4553,117,28,13,36,91,169,183,2,4747
973254,کردکوي - بندر ترکمن,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,4229,4040,132,14,11,32,91,151,165,2,4229
973254,کردکوي - بندر ترکمن,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,4354,4119,146,20,20,49,91,130,166,4,4354
973254,کردکوي - بندر ترکمن,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,4192,3999,109,21,14,49,89,120,147,5,4192
973254,کردکوي - بندر ترکمن,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,3907,3773,89,9,7,29,92,148,152,1,3907
973254,کردکوي - بندر ترکمن,1400/12/21 00:00:00,1400/12/22 00:00:00,1440,4404,4215,123,28,4,34,89,101,162,5,4404
973254,کردکوي - بندر ترکمن,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,4613,4407,135,23,10,38,91,142,171,3,4613
973254,کردکوي - بندر ترکمن,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,5076,4863,142,28,10,33,90,125,229,3,5076
973254,کردکوي - بندر ترکمن,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,4689,4506,115,20,13,35,90,138,192,4,4689
973254,کردکوي - بندر ترکمن,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,4413,4241,96,30,6,40,86,51,176,2,4413
973254,کردکوي - بندر ترکمن,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,4628,4438,105,24,19,42,90,109,203,3,4628
973254,کردکوي - بندر ترکمن,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,4347,4143,123,16,15,50,91,145,198,5,4347
973254,کردکوي - بندر ترکمن,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,5255,5061,112,20,10,52,92,185,259,4,5255
973254,کردکوي - بندر ترکمن,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,4040,3931,64,16,4,25,92,153,184,1,4040
973254,کردکوي - بندر ترکمن,1401/12/01 00:00:00,1401/12/02 00:00:00,1435,5261,5010,129,49,10,63,110,1625,191,1,5263
973254,کردکوي - بندر ترکمن,1401/12/02 00:00:00,1401/12/03 00:00:00,1440,4820,4570,157,38,8,47,109,1447,167,1,4820
973254,کردکوي - بندر ترکمن,1401/12/03 00:00:00,1401/12/04 00:00:00,1435,4773,4497,152,59,15,50,107,1312,171,2,4775
973254,کردکوي - بندر ترکمن,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,4680,4438,136,37,9,60,109,1420,145,2,4680
973254,کردکوي - بندر ترکمن,1401/12/05 00:00:00,1401/12/06 00:00:00,1440,4039,3883,81,26,11,38,103,846,161,1,4039
973254,کردکوي - بندر ترکمن,1401/12/06 00:00:00,1401/12/07 00:00:00,1435,4532,4334,117,28,4,49,111,1491,161,2,4539
973254,کردکوي - بندر ترکمن,1401/12/07 00:00:00,1401/12/08 00:00:00,1415,4796,4566,130,45,6,49,110,1504,168,2,4808
973254,کردکوي - بندر ترکمن,1401/12/08 00:00:00,1401/12/09 00:00:00,1440,5077,4823,139,63,8,44,109,1572,169,4,5077
973254,کردکوي - بندر ترکمن,1401/12/09 00:00:00,1401/12/10 00:00:00,1440,4748,4509,157,28,9,45,110,1497,156,1,4748
973254,کردکوي - بندر ترکمن,1401/12/10 00:00:00,1401/12/11 00:00:00,1440,4846,4603,148,37,14,44,107,1288,171,3,4846
973254,کردکوي - بندر ترکمن,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,4609,4369,119,48,11,62,108,1386,152,0,4609
973254,کردکوي - بندر ترکمن,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,4477,4312,88,28,6,43,108,1322,201,6,4477
973254,کردکوي - بندر ترکمن,1401/12/13 00:00:00,1401/12/13 20:55:00,1255,4272,4076,104,34,6,52,111,1463,158,3,4692
973254,کردکوي - بندر ترکمن,1401/12/18 16:35:00,1401/12/19 00:00:00,445,1445,1383,23,11,3,25,111,712,40,0,4505
