Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
973151,کردکوي - گرگان (قديم ),1395/01/01 00:00:00,1395/01/02 02:00:00,3891,3570,284,35,2,0,79.32,650.0,491.0,202.0,,1470.0
973151,کردکوي - گرگان (قديم ),1395/01/02 02:00:00,1395/01/03 00:00:00,2831,2339,349,84,36,23,76.74,441.0,246.0,372.0,,1305.0
973151,کردکوي - گرگان (قديم ),1395/01/03 00:00:00,1395/01/04 00:00:00,2629,2303,237,68,18,3,76.94,344.0,309.0,299.0,,1305.0
973151,کردکوي - گرگان (قديم ),1395/01/04 00:00:00,1395/01/05 00:00:00,3282,2828,353,73,17,11,79.45,614.0,308.0,340.0,,1410.0
973151,کردکوي - گرگان (قديم ),1395/01/05 00:00:00,1395/01/06 00:00:00,3897,3562,270,54,8,3,78.37,629.0,475.0,230.0,,1440.0
973151,کردکوي - گرگان (قديم ),1395/01/06 00:00:00,1395/01/07 00:00:00,2796,2535,195,54,12,0,79.18,480.0,297.0,125.0,,1305.0
973151,کردکوي - گرگان (قديم ),1395/01/07 00:00:00,1395/01/08 00:00:00,2949,2698,207,40,4,0,80.46,547.0,291.0,88.0,,1185.0
973151,کردکوي - گرگان (قديم ),1395/01/08 00:00:00,1395/01/09 00:00:00,2100,1874,187,36,3,0,79.28,408.0,191.0,83.0,,1095.0
973151,کردکوي - گرگان (قديم ),1395/01/09 00:00:00,1395/01/10 00:00:00,2547,2303,205,33,6,0,77.35,378.0,241.0,75.0,,1170.0
973151,کردکوي - گرگان (قديم ),1395/01/10 00:00:00,1395/01/11 00:00:00,3600,3240,268,68,22,2,77.31,520.0,366.0,277.0,,1425.0
973151,کردکوي - گرگان (قديم ),1395/01/11 00:00:00,1395/01/12 00:00:00,2767,2454,226,69,15,3,75.5,379.0,249.0,259.0,,1275.0
973151,کردکوي - گرگان (قديم ),1395/01/12 00:00:00,1395/01/13 00:00:00,3203,2803,300,73,22,5,78.03,536.0,368.0,249.0,,1350.0
973151,کردکوي - گرگان (قديم ),1395/01/13 00:00:00,1395/01/14 00:00:00,1908,1690,183,33,2,0,78.61,293.0,133.0,107.0,,1215.0
973151,کردکوي - گرگان (قديم ),1395/01/14 00:00:00,1395/01/15 00:00:00,3846,3570,230,41,5,0,78.36,561.0,518.0,134.0,,1350.0
973151,کردکوي - گرگان (قديم ),1395/01/15 00:00:00,1395/01/16 00:00:00,2439,2265,134,35,5,0,81.72,493.0,216.0,93.0,,1095.0
973151,کردکوي - گرگان (قديم ),1395/01/16 00:00:00,1395/01/17 00:00:00,2883,2696,137,47,3,0,79.62,454.0,230.0,71.0,,1425.0
973151,کردکوي - گرگان (قديم ),1395/01/17 00:00:00,1395/01/18 00:00:00,3409,3167,186,49,6,1,82.07,704.0,315.0,113.0,,1440.0
973151,کردکوي - گرگان (قديم ),1395/01/18 00:00:00,1395/01/19 00:00:00,3580,3336,180,57,7,0,83.1,851.0,372.0,109.0,,1425.0
973151,کردکوي - گرگان (قديم ),1395/01/19 00:00:00,1395/01/20 00:00:00,3333,3108,180,39,6,0,82.06,665.0,397.0,110.0,,1215.0
973151,کردکوي - گرگان (قديم ),1395/01/20 00:00:00,1395/01/21 00:00:00,3866,3545,252,60,8,1,81.12,806.0,429.0,134.0,,1440.0
973151,کردکوي - گرگان (قديم ),1395/01/21 00:00:00,1395/01/22 00:00:00,3441,3082,290,62,6,1,82.41,793.0,288.0,87.0,,1395.0
973151,کردکوي - گرگان (قديم ),1395/01/22 00:00:00,1395/01/23 00:00:00,3561,3183,290,80,7,1,82.02,797.0,322.0,110.0,,1425.0
973151,کردکوي - گرگان (قديم ),1395/01/23 00:00:00,1395/01/24 00:00:00,2478,2251,177,47,3,0,81.25,482.0,207.0,106.0,,1080.0
