Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
974203,کلاله-سه راهي کلاله,1401/12/19 15:45:00,1401/12/20 00:00:00,495,3687,3556,62,40,11,18,96,201,321,0,8322
974203,کلاله-سه راهي کلاله,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,9977,9469,245,119,50,94,102,796,998,5,9977
974203,کلاله-سه راهي کلاله,1401/12/21 00:00:00,1401/12/22 00:00:00,1440,10897,10332,290,144,44,87,101,724,1136,7,10897
974203,کلاله-سه راهي کلاله,1401/12/22 00:00:00,1401/12/23 00:00:00,1440,10189,9625,286,162,41,75,101,720,979,3,10189
974203,کلاله-سه راهي کلاله,1401/12/23 00:00:00,1401/12/24 00:00:00,1440,9951,9383,252,163,42,111,100,584,996,2,9951
974203,کلاله-سه راهي کلاله,1401/12/24 00:00:00,1401/12/25 00:00:00,1440,10189,9655,272,143,44,75,101,688,994,5,10189
974203,کلاله-سه راهي کلاله,1401/12/25 00:00:00,1401/12/26 00:00:00,1435,11464,10913,245,174,56,76,101,749,1398,6,11467
974203,کلاله-سه راهي کلاله,1401/12/26 00:00:00,1401/12/27 00:00:00,1435,10495,10081,188,109,45,72,101,672,1321,3,10498
974203,کلاله-سه راهي کلاله,1401/12/27 00:00:00,1401/12/27 16:00:00,950,7384,7015,172,104,29,64,101,424,940,1,12062
974203,کلاله-سه راهي کلاله,1401/12/28 00:35:00,1401/12/29 00:00:00,1395,13170,12621,274,136,48,91,100,683,1712,11,13272
974203,کلاله-سه راهي کلاله,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,10659,10352,170,59,21,57,101,647,1148,6,10659
974203,کلاله-سه راهي کلاله,1397/01/20 10:09:59,1397/01/21 00:00:13,831,5552,5244,125,60,35,88,88,237,762,0,5597
974203,کلاله-سه راهي کلاله,1397/01/21 00:00:13,1397/01/22 00:04:23,1424,7676,7172,186,79,54,185,89,323,1014,0,7715
974203,کلاله-سه راهي کلاله,1397/01/22 00:04:23,1397/01/23 00:05:50,1431,7735,7274,156,63,58,184,88,287,1058,0,7784
974203,کلاله-سه راهي کلاله,1397/01/23 00:05:50,1397/01/24 00:06:30,1441,7951,7490,180,65,55,161,88,264,1131,0,7912
974203,کلاله-سه راهي کلاله,1397/01/24 00:06:30,1397/01/24 19:25:59,1159,5741,5375,114,52,36,164,87,194,806,0,6205
974203,کلاله-سه راهي کلاله,1398/01/05 14:37:06,1398/01/05 15:10:00,33,156,150,0,1,0,5,88,1,35,2,5088
974203,کلاله-سه راهي کلاله,1398/01/07 02:15:01,1398/01/07 10:15:00,480,1312,1246,43,8,9,6,93,67,150,0,5797
974203,کلاله-سه راهي کلاله,1398/01/08 10:26:32,1398/01/08 10:50:00,24,254,249,4,0,0,1,90,9,45,0,5596
974203,کلاله-سه راهي کلاله,1398/01/09 10:41:33,1398/01/09 10:55:00,14,124,123,0,1,0,0,84,5,39,0,5666
974203,کلاله-سه راهي کلاله,1398/01/10 10:45:53,1398/01/10 11:15:00,30,276,264,10,0,0,2,90,8,41,0,5908
974203,کلاله-سه راهي کلاله,1398/01/11 02:48:30,1398/01/11 19:05:00,184,1338,1299,30,4,1,4,92,40,220,0,7377
974203,کلاله-سه راهي کلاله,1398/01/12 02:57:07,1398/01/12 19:20:00,215,1570,1518,41,3,3,5,90,38,200,0,7856
974203,کلاله-سه راهي کلاله,1398/01/13 03:08:10,1398/01/13 11:50:00,147,359,355,4,0,0,0,90,11,65,0,4128
974203,کلاله-سه راهي کلاله,1398/01/14 11:19:30,1398/01/14 12:20:00,61,513,506,7,0,0,0,87,11,89,0,11916
974203,کلاله-سه راهي کلاله,1398/01/15 03:23:13,1398/01/15 11:45:00,72,215,212,0,1,1,1,92,9,40,0,6206
974203,کلاله-سه راهي کلاله,1398/01/17 19:43:37,1398/01/17 19:50:00,7,38,37,0,0,1,0,76,0,3,0,5386
974203,کلاله-سه راهي کلاله,1398/01/18 03:46:47,1398/01/19 00:00:00,371,1007,955,29,6,8,9,92,54,126,0,6022
974203,کلاله-سه راهي کلاله,1398/01/19 00:00:00,1398/01/19 21:15:00,460,859,818,27,5,4,5,85,16,69,0,5268
974203,کلاله-سه راهي کلاله,1398/01/20 05:56:20,1398/01/20 09:20:00,204,546,536,7,0,2,1,98,34,60,0,4270
974203,کلاله-سه راهي کلاله,1398/01/21 12:15:51,1398/01/21 12:25:00,10,75,74,1,0,0,0,87,0,14,0,5178
974203,کلاله-سه راهي کلاله,1398/01/22 05:51:30,1398/01/22 06:04:50,6,14,11,1,0,0,2,90,0,6,0,6100
974203,کلاله-سه راهي کلاله,1398/01/23 20:34:30,1398/01/23 20:45:00,11,67,64,2,0,0,1,83,0,2,0,5691
974203,کلاله-سه راهي کلاله,1398/01/24 07:46:33,1398/01/24 20:50:00,27,174,163,5,2,2,2,91,9,26,0,4712
974203,کلاله-سه راهي کلاله,1398/01/28 13:09:57,1398/01/28 13:20:00,11,83,81,1,0,0,1,93,2,10,0,5598
974203,کلاله-سه راهي کلاله,1398/01/31 05:39:30,1398/01/31 13:44:40,19,58,56,1,1,0,0,91,1,5,0,3334
974203,کلاله-سه راهي کلاله,1397/12/01 00:00:00,1397/12/02 00:00:00,690,4002,3768,162,35,11,26,94,266,559,0,7498
974203,کلاله-سه راهي کلاله,1397/12/02 00:00:00,1397/12/02 23:55:00,807,3570,3394,96,39,19,22,95,246,491,0,7698
974203,کلاله-سه راهي کلاله,1397/12/03 00:00:00,1397/12/04 00:00:00,699,1956,1847,66,12,14,17,95,139,180,0,5912
974203,کلاله-سه راهي کلاله,1397/12/04 00:00:00,1397/12/05 00:00:00,1001,4461,4244,130,25,23,39,93,221,619,0,7565
974203,کلاله-سه راهي کلاله,1397/12/05 00:00:00,1397/12/06 00:00:00,1176,6345,6000,216,59,30,40,91,246,850,0,8174
974203,کلاله-سه راهي کلاله,1397/12/06 00:00:00,1397/12/07 00:00:00,1429,7507,7088,274,69,31,45,93,388,906,0,7542
974203,کلاله-سه راهي کلاله,1397/12/07 00:00:00,1397/12/08 00:00:00,1378,7428,7020,244,78,38,48,93,394,906,0,7965
974203,کلاله-سه راهي کلاله,1397/12/08 00:00:00,1397/12/09 00:00:00,934,5460,5148,205,47,26,34,92,283,661,0,7640
974203,کلاله-سه راهي کلاله,1397/12/09 00:00:00,1397/12/10 00:00:00,932,4058,3867,124,31,15,21,92,187,473,0,7288
974203,کلاله-سه راهي کلاله,1397/12/10 00:00:00,1397/12/11 00:00:00,1148,5420,5184,157,23,22,34,92,264,516,0,5587
974203,کلاله-سه راهي کلاله,1397/12/11 00:00:00,1397/12/12 00:00:00,928,2457,2370,53,16,9,9,95,157,368,1,5276
974203,کلاله-سه راهي کلاله,1397/12/12 00:00:00,1397/12/13 00:00:00,936,3996,3770,131,32,30,33,94,245,519,2,7371
974203,کلاله-سه راهي کلاله,1397/12/13 00:00:00,1397/12/14 00:00:00,1324,6482,6131,226,54,38,33,92,303,798,0,7270
974203,کلاله-سه راهي کلاله,1397/12/14 00:00:00,1397/12/15 00:00:00,870,3637,3436,129,26,19,27,92,148,485,0,6996
974203,کلاله-سه راهي کلاله,1397/12/15 00:00:00,1397/12/16 00:00:00,674,4000,3799,125,33,19,24,92,183,573,0,7589
974203,کلاله-سه راهي کلاله,1397/12/16 00:00:00,1397/12/17 00:00:00,1427,7649,7256,251,56,32,54,92,468,1012,0,7723
974203,کلاله-سه راهي کلاله,1397/12/17 00:00:00,1397/12/18 00:00:00,952,3339,3173,101,18,17,30,92,131,372,0,5921
974203,کلاله-سه راهي کلاله,1397/12/18 00:00:00,1397/12/19 00:00:00,793,2614,2454,104,25,13,18,93,129,284,0,6343
974203,کلاله-سه راهي کلاله,1397/12/19 00:00:00,1397/12/20 00:00:00,610,1772,1673,65,15,8,11,96,127,221,0,7136
974203,کلاله-سه راهي کلاله,1397/12/20 00:00:00,1397/12/21 00:00:00,634,1664,1578,60,14,4,8,93,98,202,0,6099
974203,کلاله-سه راهي کلاله,1397/12/21 00:00:00,1397/12/22 00:00:00,994,3847,3600,163,40,21,23,94,305,450,0,7221
974203,کلاله-سه راهي کلاله,1397/12/22 00:00:00,1397/12/23 00:00:00,965,4998,4808,104,35,22,29,94,298,699,0,7625
974203,کلاله-سه راهي کلاله,1397/12/23 00:00:00,1397/12/24 00:00:00,802,3703,3546,99,18,18,22,92,167,542,0,7880
