Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
974202,کلاله - مراوه تپه,1400/12/01 00:00:00,1400/12/02 00:00:00,1380,2394,2357,24,8,3,2,68,206,299,67,2618
974202,کلاله - مراوه تپه,1400/12/02 00:00:00,1400/12/03 00:00:00,1405,1760,1733,21,4,0,2,68,103,172,39,1763
974202,کلاله - مراوه تپه,1400/12/03 00:00:00,1400/12/04 00:00:00,1310,1974,1934,26,5,5,4,71,212,238,41,2130
974202,کلاله - مراوه تپه,1400/12/04 00:00:00,1400/12/04 23:55:00,1195,2096,2065,21,2,4,4,68,181,316,58,2428
974202,کلاله - مراوه تپه,1400/12/05 00:30:00,1400/12/06 00:00:00,1145,2185,2155,25,1,2,2,67,157,317,58,2424
974202,کلاله - مراوه تپه,1400/12/06 00:00:00,1400/12/07 00:00:00,1355,1924,1894,23,2,1,4,69,145,271,55,1961
974202,کلاله - مراوه تپه,1400/12/07 00:00:00,1400/12/08 00:00:00,1430,2308,2272,30,1,3,2,69,210,309,77,2325
974202,کلاله - مراوه تپه,1400/12/08 00:00:00,1400/12/08 23:00:00,1260,1589,1566,16,4,3,0,68,101,155,31,1962
974202,کلاله - مراوه تپه,1400/12/09 00:35:00,1400/12/09 23:55:00,1035,1863,1835,23,1,2,2,69,116,284,38,2318
974202,کلاله - مراوه تپه,1400/12/10 00:05:00,1400/12/11 00:00:00,1005,1569,1547,15,1,6,0,69,162,162,46,2018
974202,کلاله - مراوه تپه,1400/12/11 00:00:00,1400/12/11 23:35:00,740,1420,1396,15,1,3,5,69,107,214,49,2609
974202,کلاله - مراوه تپه,1400/12/12 00:15:00,1400/12/12 23:55:00,815,1784,1765,14,2,0,3,66,91,246,49,2444
974202,کلاله - مراوه تپه,1400/12/13 00:05:00,1400/12/14 00:00:00,1125,1263,1247,12,2,0,2,70,132,103,42,1648
974202,کلاله - مراوه تپه,1400/12/14 00:00:00,1400/12/14 23:40:00,1150,2098,2070,21,2,1,4,69,163,267,46,2445
974202,کلاله - مراوه تپه,1400/12/15 04:00:00,1400/12/16 00:00:00,970,2006,1965,28,4,2,7,66,125,301,42,2424
974202,کلاله - مراوه تپه,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,2321,2263,46,7,0,5,70,263,267,62,2321
974202,کلاله - مراوه تپه,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,2203,2146,34,15,2,6,68,167,244,49,2203
974202,کلاله - مراوه تپه,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,2520,2452,43,14,1,10,68,166,329,56,2520
