Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973651,گاليکش - مينودشت,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,12057,10962,443,213,178,261,60.0,12057.0,87.0,5155.0,33.0
973651,گاليکش - مينودشت,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,10837,9852,352,196,177,260,60.0,10837.0,61.0,4500.0,25.0
973651,گاليکش - مينودشت,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,12326,11290,419,213,184,220,60.0,12326.0,85.0,5521.0,36.0
973651,گاليکش - مينودشت,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,12408,11245,495,213,178,277,62.0,12408.0,114.0,5468.0,30.0
973651,گاليکش - مينودشت,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,12617,11642,399,178,166,232,62.0,12617.0,144.0,5531.0,33.0
973651,گاليکش - مينودشت,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,11369,10360,383,194,175,257,63.0,11369.0,159.0,4896.0,36.0
973651,گاليکش - مينودشت,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,11992,11054,355,195,161,227,63.0,11992.0,127.0,5155.0,40.0
973651,گاليکش - مينودشت,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,10980,9955,366,234,168,257,59.0,10980.0,51.0,4397.0,33.0
973651,گاليکش - مينودشت,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,12879,11780,430,242,178,249,63.0,12879.0,138.0,6065.0,44.0
973651,گاليکش - مينودشت,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,11880,10808,420,215,185,252,63.0,11880.0,188.0,5195.0,44.0
973651,گاليکش - مينودشت,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,12570,11556,402,191,186,235,61.0,12570.0,107.0,5677.0,31.0
973651,گاليکش - مينودشت,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,13160,12062,391,252,206,249,60.0,13160.0,107.0,6161.0,25.0
973651,گاليکش - مينودشت,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,11252,10320,307,213,176,236,61.0,11252.0,107.0,4789.0,28.0
973651,گاليکش - مينودشت,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,12745,11757,348,248,185,207,61.0,12745.0,131.0,5836.0,33.0
973651,گاليکش - مينودشت,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,12766,11592,472,272,177,253,61.0,12766.0,114.0,5629.0,29.0
973651,گاليکش - مينودشت,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,12552,11329,481,288,197,257,60.0,12552.0,83.0,5571.0,44.0
973651,گاليکش - مينودشت,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,13161,11953,449,287,181,291,59.0,13161.0,86.0,6092.0,18.0
973651,گاليکش - مينودشت,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,12954,11735,457,299,197,266,61.0,12954.0,115.0,5880.0,46.0
973651,گاليکش - مينودشت,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,13406,12302,414,230,210,250,59.0,13406.0,77.0,6074.0,43.0
973651,گاليکش - مينودشت,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,11217,10232,336,206,174,269,59.0,11217.0,73.0,4807.0,31.0
