Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973107,گرگان - شاهرود (توسکستان),1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,1911,1523,296,53,37,2,65.0,14.0,247.0,65.0,1911.0
973107,گرگان - شاهرود (توسکستان),1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,1208,1075,76,11,30,16,68.0,2.0,66.0,23.0,1208.0
973107,گرگان - شاهرود (توسکستان),1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,1851,1504,268,36,29,14,69.0,19.0,219.0,51.0,1857.0
973107,گرگان - شاهرود (توسکستان),1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,2250,1803,353,47,29,18,63.0,11.0,312.0,59.0,2250.0
973107,گرگان - شاهرود (توسکستان),1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,2947,2432,425,38,32,20,64.0,17.0,536.0,95.0,2947.0
973107,گرگان - شاهرود (توسکستان),1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,4714,4345,285,32,36,16,64.0,14.0,1592.0,145.0,4714.0
973107,گرگان - شاهرود (توسکستان),1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,2131,1643,385,62,29,12,64.0,7.0,320.0,72.0,2131.0
973107,گرگان - شاهرود (توسکستان),1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,1339,1147,126,22,37,7,68.0,6.0,89.0,26.0,1339.0
973107,گرگان - شاهرود (توسکستان),1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,2372,1743,543,45,34,7,61.0,5.0,402.0,76.0,2372.0
973107,گرگان - شاهرود (توسکستان),1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,3486,2896,484,58,39,9,59.0,5.0,877.0,140.0,3486.0
973107,گرگان - شاهرود (توسکستان),1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,2081,1625,381,29,37,9,63.0,8.0,304.0,58.0,2081.0
973107,گرگان - شاهرود (توسکستان),1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,2687,2186,393,60,42,6,64.0,11.0,491.0,112.0,2687.0
973107,گرگان - شاهرود (توسکستان),1400/12/13 00:00:00,1400/12/14 00:00:00,1420.0,3293,3030,175,43,34,11,66.0,9.0,830.0,106.0,3330.0
973107,گرگان - شاهرود (توسکستان),1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,2124,1712,283,97,21,11,66.0,15.0,285.0,63.0,2124.0
973107,گرگان - شاهرود (توسکستان),1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,2076,1642,341,62,23,8,64.0,10.0,271.0,74.0,2076.0
973107,گرگان - شاهرود (توسکستان),1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,1850,1466,303,39,32,10,67.0,12.0,222.0,60.0,1850.0
973107,گرگان - شاهرود (توسکستان),1400/12/17 00:00:00,1400/12/18 00:00:00,1435.0,2271,1736,284,206,11,34,64.0,7.0,312.0,74.0,2274.0
973107,گرگان - شاهرود (توسکستان),1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,2237,1684,239,255,9,50,66.0,8.0,316.0,78.0,2237.0
973107,گرگان - شاهرود (توسکستان),1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,2647,2118,225,237,14,53,63.0,5.0,419.0,103.0,2647.0
973107,گرگان - شاهرود (توسکستان),1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,2563,2313,145,62,6,37,69.0,12.0,500.0,70.0,2563.0
973107,گرگان - شاهرود (توسکستان),1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,2235,1649,293,245,11,37,61.0,2.0,301.0,83.0,2235.0
973107,گرگان - شاهرود (توسکستان),1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,1860,1452,235,137,5,31,65.0,5.0,258.0,44.0,1860.0
973107,گرگان - شاهرود (توسکستان),1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,2196,1645,334,169,8,40,58.0,3.0,290.0,63.0,2196.0
973107,گرگان - شاهرود (توسکستان),1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,2238,1856,161,170,15,36,63.0,3.0,259.0,57.0,2238.0
973107,گرگان - شاهرود (توسکستان),1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,1848,1580,117,100,12,39,69.0,10.0,191.0,37.0,1848.0
973107,گرگان - شاهرود (توسکستان),1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,1748,1559,95,63,2,29,73.0,14.0,173.0,33.0,1748.0
973107,گرگان - شاهرود (توسکستان),1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,2956,2632,177,101,11,35,71.0,19.0,626.0,71.0,2956.0
