Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973308,گرگان - علي آباد (متناظر سامانه توزين),1400/12/27 17:30:00,1400/12/28 00:00:00,385,9708,9260,240,74,47,87,87,84,3029,7,32505
973308,گرگان - علي آباد (متناظر سامانه توزين),1400/12/28 00:00:00,1400/12/29 00:00:00,1440,34340,32776,779,318,139,328,86,192,11623,11,34340
973308,گرگان - علي آباد (متناظر سامانه توزين),1400/12/29 00:00:00,1401/01/01 00:00:00,1440,26612,25943,316,90,102,161,88,196,6674,7,26612
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/01 00:00:00,1401/12/02 00:00:00,1335,23869,21825,679,686,156,523,87,162,6939,18,26127
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/02 00:00:00,1401/12/03 00:00:00,1440,25661,23413,723,735,227,563,87,179,7445,41,25661
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/03 00:00:00,1401/12/04 00:00:00,1440,28078,25589,822,852,211,604,88,181,8488,19,28078
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/04 00:00:00,1401/12/05 00:00:00,1415,28282,26016,688,728,218,632,88,217,8772,15,29061
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/05 00:00:00,1401/12/06 00:00:00,1440,22026,20404,468,506,173,475,86,138,5083,10,22026
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/06 00:00:00,1401/12/07 00:00:00,1440,25824,23666,678,686,213,581,87,174,7156,23,25824
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/07 00:00:00,1401/12/08 00:00:00,1440,27191,24621,793,848,270,659,88,179,7764,14,27191
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/08 00:00:00,1401/12/09 00:00:00,1440,27386,24885,781,777,261,682,88,162,8084,16,27386
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/09 00:00:00,1401/12/10 00:00:00,1440,27527,24998,765,855,247,662,87,173,8085,17,27527
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/10 00:00:00,1401/12/11 00:00:00,1440,28867,26217,839,846,256,709,87,154,8928,7,28867
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/11 00:00:00,1401/12/12 00:00:00,1440,29649,27185,701,779,263,721,87,159,9529,13,29649
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/12 00:00:00,1401/12/13 00:00:00,1440,22910,21132,467,520,202,589,87,157,5602,8,22910
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/13 00:00:00,1401/12/14 00:00:00,1440,27387,24874,786,822,248,657,87,137,7948,13,27387
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/14 00:00:00,1401/12/15 00:00:00,1440,27494,24896,805,879,242,672,87,158,8021,11,27494
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/15 00:00:00,1401/12/16 00:00:00,1440,28522,25931,855,839,242,655,87,183,8559,24,28522
973308,گرگان - علي آباد (متناظر سامانه توزين),1401/12/16 00:00:00,1401/12/17 00:00:00,1440,29363,26835,786,834,249,659,84,125,8920,14,29363
