Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973105,گرگان - علي آباد,1400/12/01 00:00:00,1400/12/02 00:00:00,1435.0,32024,29328,1319,674,206,497,79.0,32125.0,102.0,11584.0,0.0
973105,گرگان - علي آباد,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,28765,26708,891,499,171,496,77.0,28765.0,50.0,9294.0,0.0
973105,گرگان - علي آباد,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,31411,28762,1252,663,203,531,79.0,31411.0,107.0,11430.0,0.0
973105,گرگان - علي آباد,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,32668,29875,1332,701,217,543,79.0,32668.0,113.0,12081.0,0.0
973105,گرگان - علي آباد,1400/12/05 00:00:00,1400/12/06 00:00:00,1415.0,34439,31730,1287,719,205,498,78.0,35002.0,104.0,13736.0,0.0
973105,گرگان - علي آباد,1400/12/06 00:00:00,1400/12/07 00:00:00,1385.0,28521,26528,952,492,149,400,80.0,28991.0,140.0,9492.0,0.0
973105,گرگان - علي آباد,1400/12/07 00:00:00,1400/12/08 00:00:00,1435.0,31525,28922,1291,658,171,483,79.0,31649.0,129.0,11122.0,0.0
973105,گرگان - علي آباد,1400/12/08 00:00:00,1400/12/09 00:00:00,1425.0,27873,25761,945,531,169,467,78.0,28283.0,87.0,8654.0,0.0
973105,گرگان - علي آباد,1400/12/09 00:00:00,1400/12/10 00:00:00,1430.0,34340,31525,1486,656,197,476,78.0,34394.0,106.0,13581.0,0.0
973105,گرگان - علي آباد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,30128,27482,1322,635,184,505,79.0,30128.0,118.0,10188.0,0.0
973105,گرگان - علي آباد,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,33236,30517,1352,716,192,459,78.0,33236.0,92.0,12367.0,0.0
973105,گرگان - علي آباد,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,34863,32145,1333,706,195,484,78.0,34863.0,98.0,13740.0,0.0
973105,گرگان - علي آباد,1400/12/13 00:00:00,1400/12/14 00:00:00,1375.0,28131,26321,854,491,141,324,79.0,28435.0,140.0,8997.0,0.0
973105,گرگان - علي آباد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,32677,29976,1335,688,212,466,78.0,32677.0,134.0,12049.0,0.0
973105,گرگان - علي آباد,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,32677,29862,1418,722,221,454,79.0,32677.0,99.0,12082.0,0.0
973105,گرگان - علي آباد,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,31122,28520,1260,632,201,509,78.0,31122.0,105.0,10879.0,0.0
973105,گرگان - علي آباد,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,32895,29510,1663,844,310,568,77.0,32895.0,109.0,12391.0,0.0
973105,گرگان - علي آباد,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,34116,30665,1655,878,320,598,77.0,34116.0,108.0,12908.0,0.0
973105,گرگان - علي آباد,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,35670,32312,1684,836,296,542,74.0,35670.0,105.0,14626.0,0.0
973105,گرگان - علي آباد,1400/12/20 00:00:00,1400/12/20 16:40:00,970.0,17207,15636,720,441,132,278,79.0,27281.0,64.0,5596.0,0.0
973105,گرگان - علي آباد,1400/12/22 12:55:00,1400/12/23 00:00:00,665.0,20369,18674,802,437,158,298,78.0,33800.0,35.0,8207.0,0.0
973105,گرگان - علي آباد,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,34681,31201,1708,888,280,604,76.0,34681.0,101.0,13212.0,0.0
973105,گرگان - علي آباد,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,34367,31255,1486,776,278,572,75.0,34367.0,57.0,13164.0,0.0
973105,گرگان - علي آباد,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,35341,32305,1443,822,258,513,77.0,35341.0,48.0,13885.0,0.0
973105,گرگان - علي آباد,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,37389,34564,1362,699,264,500,77.0,37389.0,68.0,15168.0,0.0
973105,گرگان - علي آباد,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,37766,35058,1371,715,238,384,79.0,37766.0,115.0,14827.0,0.0
973105,گرگان - علي آباد,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,40634,37898,1437,676,250,373,79.0,40634.0,107.0,16837.0,0.0
973105,گرگان - علي آباد,1400/12/29 00:00:00,1401/01/01 00:00:00,1435.0,33189,31785,828,250,115,211,81.0,33375.0,146.0,10822.0,0.0
