Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
973101,گرگان -کردکوي (قديم ),1395/01/01 00:00:00,1395/01/02 02:00:00,4181,4134,41,5,1,0,85.72,1057.0,651.0,108.0,,1470.0
973101,گرگان -کردکوي (قديم ),1395/01/02 02:00:00,1395/01/03 00:00:00,2826,2770,54,2,0,0,83.96,548.0,258.0,66.0,,1245.0
973101,گرگان -کردکوي (قديم ),1395/01/03 00:00:00,1395/01/04 00:00:00,2635,2579,52,4,0,0,82.27,528.0,242.0,76.0,,1440.0
973101,گرگان -کردکوي (قديم ),1395/01/04 00:00:00,1395/01/05 00:00:00,2897,2819,71,7,0,0,84.82,746.0,297.0,95.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/05 00:00:00,1395/01/06 00:00:00,3483,3417,57,9,0,0,84.26,816.0,512.0,95.0,,1410.0
973101,گرگان -کردکوي (قديم ),1395/01/06 00:00:00,1395/01/07 00:00:00,3129,3034,85,10,0,0,83.17,694.0,401.0,109.0,,1395.0
973101,گرگان -کردکوي (قديم ),1395/01/07 00:00:00,1395/01/08 00:00:00,3208,3070,128,9,1,0,84.1,747.0,363.0,111.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/08 00:00:00,1395/01/09 00:00:00,3222,3107,107,8,0,0,82.63,681.0,362.0,120.0,,1440.0
973101,گرگان -کردکوي (قديم ),1395/01/09 00:00:00,1395/01/10 00:00:00,2932,2835,84,13,0,0,84.54,731.0,307.0,93.0,,1410.0
973101,گرگان -کردکوي (قديم ),1395/01/10 00:00:00,1395/01/11 00:00:00,3277,3148,112,17,0,0,83.06,751.0,362.0,104.0,,1410.0
973101,گرگان -کردکوي (قديم ),1395/01/11 00:00:00,1395/01/12 00:00:00,3164,3066,82,16,0,0,82.7,675.0,380.0,108.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/12 00:00:00,1395/01/13 00:00:00,3457,3380,71,5,1,0,83.47,768.0,483.0,76.0,,1410.0
973101,گرگان -کردکوي (قديم ),1395/01/13 00:00:00,1395/01/14 00:00:00,2356,2316,37,3,0,0,79.46,388.0,204.0,84.0,,1395.0
973101,گرگان -کردکوي (قديم ),1395/01/14 00:00:00,1395/01/15 00:00:00,3752,3594,126,28,4,0,83.19,835.0,582.0,115.0,,1410.0
973101,گرگان -کردکوي (قديم ),1395/01/15 00:00:00,1395/01/16 00:00:00,3337,3017,262,49,9,0,83.87,856.0,342.0,156.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/16 00:00:00,1395/01/17 00:00:00,2513,2352,131,26,4,0,84.95,643.0,164.0,66.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/17 00:00:00,1395/01/18 00:00:00,3322,3103,178,34,7,0,86.09,1024.0,340.0,119.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/18 00:00:00,1395/01/19 00:00:00,3270,3068,165,36,1,0,84.86,898.0,311.0,125.0,,1425.0
973101,گرگان -کردکوي (قديم ),1395/01/19 00:00:00,1395/01/20 00:00:00,4236,3977,211,44,4,0,83.86,961.0,626.0,127.0,,1440.0
973101,گرگان -کردکوي (قديم ),1395/01/20 00:00:00,1395/01/21 00:00:00,3778,3555,178,44,1,0,83.07,884.0,467.0,152.0,,1440.0
973101,گرگان -کردکوي (قديم ),1395/01/21 00:00:00,1395/01/22 00:00:00,3424,3035,307,66,14,2,85.69,1069.0,289.0,203.0,,1440.0
