Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973451,گلوگاه - کردکوي,1400/12/01 00:00:00,1400/12/01 15:10:00,910.0,7818,6620,428,305,124,341,89.0,14123.0,129.0,874.0,0.0
973451,گلوگاه - کردکوي,1400/12/02 12:00:00,1400/12/02 17:05:00,305.0,4065,3516,187,136,42,184,89.0,13425.0,56.0,583.0,0.0
973451,گلوگاه - کردکوي,1400/12/03 08:00:00,1400/12/03 20:35:00,755.0,10506,9096,472,330,137,471,88.0,14931.0,153.0,1549.0,0.0
973451,گلوگاه - کردکوي,1400/12/04 08:50:00,1400/12/05 00:00:00,910.0,12943,11332,606,380,135,490,88.0,15725.0,186.0,2033.0,0.0
973451,گلوگاه - کردکوي,1400/12/05 00:00:00,1400/12/06 00:00:00,1405.0,17256,15199,761,492,197,607,89.0,17593.0,270.0,2740.0,0.0
973451,گلوگاه - کردکوي,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,18074,16248,689,421,170,546,89.0,18074.0,240.0,3204.0,0.0
973451,گلوگاه - کردکوي,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,15193,13202,672,505,225,589,88.0,15193.0,292.0,2061.0,0.0
973451,گلوگاه - کردکوي,1400/12/08 00:00:00,1400/12/08 20:20:00,1205.0,11670,9921,615,486,169,479,86.0,13760.0,148.0,1449.0,0.0
973451,گلوگاه - کردکوي,1400/12/09 07:35:00,1400/12/09 22:45:00,910.0,11597,10277,468,318,130,404,89.0,14704.0,201.0,1707.0,0.0
973451,گلوگاه - کردکوي,1400/12/10 07:20:00,1400/12/11 00:00:00,1000.0,14701,13082,610,368,148,493,90.0,15927.0,230.0,2501.0,0.0
973451,گلوگاه - کردکوي,1400/12/11 00:00:00,1400/12/11 01:40:00,100.0,576,488,22,31,8,27,89.0,16800.0,16.0,36.0,0.0
973451,گلوگاه - کردکوي,1400/12/12 08:15:00,1400/12/13 00:00:00,945.0,14863,13300,584,388,145,446,89.0,17619.0,246.0,2634.0,0.0
973451,گلوگاه - کردکوي,1400/12/13 00:00:00,1400/12/14 00:00:00,1190.0,15211,13799,524,376,139,373,89.0,17071.0,220.0,2707.0,0.0
973451,گلوگاه - کردکوي,1400/12/14 00:00:00,1400/12/15 00:00:00,1160.0,13476,11773,561,434,165,543,88.0,14805.0,199.0,1841.0,0.0
973451,گلوگاه - کردکوي,1400/12/15 00:00:00,1400/12/15 21:00:00,1260.0,13700,11777,701,499,163,560,88.0,15183.0,209.0,1889.0,0.0
973451,گلوگاه - کردکوي,1400/12/16 10:15:00,1400/12/16 16:30:00,375.0,5182,4543,229,172,43,195,90.0,14668.0,75.0,719.0,0.0
