Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973255,گميشان - بندر ترکمن,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,6267,2426,3841,0,0,0,73,0,1450,0,6267
973255,گميشان - بندر ترکمن,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,5778,2191,3587,0,0,0,73,0,1199,0,5778
973255,گميشان - بندر ترکمن,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,6265,2405,3860,0,0,0,73,0,1419,0,8696
973255,گميشان - بندر ترکمن,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,6383,2425,3958,0,0,0,73,0,1522,0,6383
973255,گميشان - بندر ترکمن,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,6688,2477,4211,0,0,0,73,0,1669,0,6688
973255,گميشان - بندر ترکمن,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,5960,2259,3701,0,0,0,73,0,1318,0,5960
973255,گميشان - بندر ترکمن,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,6442,2337,4105,0,0,0,73,0,1558,0,8654
973255,گميشان - بندر ترکمن,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,5696,2230,3466,0,0,0,73,0,1188,0,5696
973255,گميشان - بندر ترکمن,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,6721,2604,4117,0,0,0,73,0,1683,0,8609
973255,گميشان - بندر ترکمن,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,5432,2074,3358,0,0,0,73,0,1093,0,5432
973255,گميشان - بندر ترکمن,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,6950,2636,4314,0,0,0,73,0,1801,0,6950
973255,گميشان - بندر ترکمن,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,10917,4136,6781,0,0,0,74,33,5916,0,10917
973255,گميشان - بندر ترکمن,1400/12/13 00:00:00,1400/12/14 00:00:00,1440,6068,2278,3790,0,0,0,73,2,1722,0,6068
973255,گميشان - بندر ترکمن,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,6946,2667,4279,0,0,0,73,0,1804,0,8781
973255,گميشان - بندر ترکمن,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,6551,2480,4071,0,0,0,73,0,1740,0,6551
973255,گميشان - بندر ترکمن,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,6820,2574,4246,0,0,0,73,0,1748,0,8063
973255,گميشان - بندر ترکمن,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,6704,2520,4184,0,0,0,73,0,1641,0,7500
973255,گميشان - بندر ترکمن,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,6864,2597,4267,0,0,0,73,0,1701,0,6864
973255,گميشان - بندر ترکمن,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,6666,2518,4148,0,0,0,73,0,1593,0,6666
