Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973952,گنبد - آزادشهر,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,17300,16254,477,312,63,194,78.0,17300.0,72.0,3921.0,15.0
973952,گنبد - آزادشهر,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,16506,15620,360,286,45,195,77.0,16506.0,50.0,3125.0,15.0
973952,گنبد - آزادشهر,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,17349,16272,461,359,50,207,78.0,17349.0,59.0,4136.0,18.0
973952,گنبد - آزادشهر,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,17420,16434,431,322,39,194,78.0,17420.0,67.0,4279.0,23.0
973952,گنبد - آزادشهر,1400/12/05 00:00:00,1400/12/06 00:00:00,1415.0,17549,16704,399,220,38,188,78.0,17946.0,73.0,4349.0,16.0
973952,گنبد - آزادشهر,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,15841,15092,341,198,28,182,78.0,15841.0,68.0,3037.0,15.0
973952,گنبد - آزادشهر,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,17683,16659,497,268,54,205,79.0,17683.0,76.0,4098.0,25.0
973952,گنبد - آزادشهر,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,16523,15541,386,313,58,225,77.0,16523.0,52.0,2888.0,11.0
973952,گنبد - آزادشهر,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,18034,16994,523,310,43,164,79.0,18034.0,75.0,4576.0,19.0
973952,گنبد - آزادشهر,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,16503,15344,515,384,52,208,78.0,16503.0,64.0,3032.0,23.0
973952,گنبد - آزادشهر,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,17554,16650,480,261,34,129,78.0,17554.0,79.0,4280.0,22.0
973952,گنبد - آزادشهر,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,18187,17290,445,268,34,150,79.0,18187.0,68.0,4420.0,17.0
973952,گنبد - آزادشهر,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,15473,14630,379,241,35,188,78.0,15473.0,57.0,2798.0,9.0
973952,گنبد - آزادشهر,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,17847,16851,468,330,27,171,79.0,17847.0,81.0,4448.0,23.0
973952,گنبد - آزادشهر,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,17866,16829,467,328,55,187,79.0,17866.0,71.0,4131.0,26.0
973952,گنبد - آزادشهر,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,17555,16558,455,330,39,173,78.0,17555.0,88.0,4116.0,22.0
