Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973852,گنبد - آق قلا,1400/12/01 00:00:00,1400/12/01 23:35:00,1035,9271,8927,234,38,27,45,77,187,1069,0,10209
973852,گنبد - آق قلا,1400/12/02 08:15:00,1400/12/02 18:10:00,595,6598,6378,148,26,24,22,77,103,856,0,9758
973852,گنبد - آق قلا,1400/12/03 07:20:00,1400/12/04 00:00:00,1000,10063,9673,291,42,26,31,76,179,1292,0,10462
973852,گنبد - آق قلا,1400/12/04 00:00:00,1400/12/05 00:00:00,1035,10121,9735,271,54,20,41,78,248,1113,0,10230
973852,گنبد - آق قلا,1400/12/05 00:00:00,1400/12/06 00:00:00,1050,11253,10886,278,43,20,26,78,238,1488,0,11762
973852,گنبد - آق قلا,1400/12/06 00:00:00,1400/12/07 00:00:00,1065,8247,7979,188,33,14,33,79,244,722,0,8406
973852,گنبد - آق قلا,1400/12/07 00:00:00,1400/12/07 22:50:00,930,9568,9215,254,39,19,41,76,151,1173,0,10757
973852,گنبد - آق قلا,1400/12/08 09:00:00,1400/12/08 18:45:00,565,5815,5608,149,32,12,14,74,64,665,0,9285
973852,گنبد - آق قلا,1400/12/09 07:10:00,1400/12/09 22:20:00,910,10082,9719,258,55,26,24,78,206,1320,0,11078
973852,گنبد - آق قلا,1400/12/10 07:15:00,1400/12/10 22:05:00,890,8611,8298,210,56,10,37,76,169,921,0,9601
973852,گنبد - آق قلا,1400/12/11 07:20:00,1400/12/11 18:45:00,685,8608,8305,210,49,23,21,78,146,1201,0,11140
973852,گنبد - آق قلا,1400/12/12 07:05:00,1400/12/12 22:00:00,895,10725,10328,270,79,28,20,79,257,1476,0,11779
973852,گنبد - آق قلا,1400/12/13 07:50:00,1400/12/13 19:15:00,685,5831,5642,137,27,7,18,79,148,545,0,7910
973852,گنبد - آق قلا,1400/12/14 06:45:00,1400/12/14 20:55:00,840,10016,9649,266,56,21,24,79,240,1341,0,11388
973852,گنبد - آق قلا,1400/12/15 06:40:00,1400/12/15 21:55:00,905,10001,9601,271,75,35,19,78,220,1285,0,10965
973852,گنبد - آق قلا,1400/12/16 07:35:00,1400/12/16 20:45:00,770,8679,8353,234,57,10,25,77,175,1088,0,10615
973852,گنبد - آق قلا,1400/12/17 06:55:00,1400/12/17 21:10:00,855,9813,9406,285,68,22,32,78,213,1248,0,11074
973852,گنبد - آق قلا,1400/12/18 06:55:00,1400/12/19 00:00:00,1015,10603,10129,338,65,29,42,78,222,1285,0,11393
973852,گنبد - آق قلا,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,12169,11634,384,75,33,43,76,230,1678,0,12169
973852,گنبد - آق قلا,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,8454,8121,226,55,19,33,78,244,650,0,8454
973852,گنبد - آق قلا,1400/12/21 00:00:00,1400/12/22 00:00:00,1440,11753,11210,406,82,21,34,77,236,1514,0,11753
973852,گنبد - آق قلا,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,11701,11155,384,88,24,50,76,198,1591,0,11701
973852,گنبد - آق قلا,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,11477,10928,413,75,24,37,76,192,1395,0,11477
973852,گنبد - آق قلا,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,11453,10949,371,69,23,41,76,199,1373,0,11453
973852,گنبد - آق قلا,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,11017,10543,335,71,20,48,73,113,1330,0,11017
973852,گنبد - آق قلا,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,12438,11939,341,78,36,44,76,228,1691,0,12438
973852,گنبد - آق قلا,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,9073,8696,252,60,20,45,77,228,734,0,9073
973852,گنبد - آق قلا,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,13205,12634,369,87,43,72,78,275,2027,0,13205
973852,گنبد - آق قلا,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,11524,11122,285,52,22,43,77,260,1479,0,11524
973852,گنبد - آق قلا,1401/12/02 13:35:00,1401/12/03 00:00:00,625,5499,5291,147,39,11,11,75,96,548,0,11535
973852,گنبد - آق قلا,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,12275,11827,307,76,29,36,76,279,1622,0,12275
973852,گنبد - آق قلا,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,13411,13007,276,60,23,45,76,212,2053,0,13411
973852,گنبد - آق قلا,1401/12/05 00:00:00,1401/12/05 22:50:00,1370,8625,8393,168,26,14,24,75,161,702,0,8873
973852,گنبد - آق قلا,1401/12/06 01:35:00,1401/12/06 06:55:00,20,23,23,0,0,0,0,81,2,0,0,11654
973852,گنبد - آق قلا,1401/12/12 17:35:00,1401/12/13 00:00:00,385,2946,2886,36,10,4,10,75,68,202,0,8973
973852,گنبد - آق قلا,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,12082,11650,285,71,27,49,77,261,1644,0,12082
973852,گنبد - آق قلا,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,11844,11468,270,43,23,40,78,300,1423,0,11844
973852,گنبد - آق قلا,1401/12/15 00:00:00,1401/12/16 00:00:00,1440,10857,10474,279,48,21,35,76,233,1353,0,11613
973852,گنبد - آق قلا,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,11561,11201,253,42,30,35,74,145,1382,0,11561
973852,گنبد - آق قلا,1401/12/17 00:00:00,1401/12/17 06:15:00,170,90,89,0,0,0,1,73,5,1,0,11585
973852,گنبد - آق قلا,1401/12/19 07:35:00,1401/12/19 22:50:00,910,8468,8223,167,40,11,27,76,213,863,0,9306
973852,گنبد - آق قلا,1401/12/24 17:10:00,1401/12/25 00:00:00,410,3221,3130,61,15,4,11,75,70,250,0,12036
973852,گنبد - آق قلا,1401/12/25 00:00:00,1401/12/25 03:40:00,195,248,240,5,1,1,1,76,12,1,0,13431
973852,گنبد - آق قلا,1401/12/28 09:20:00,1401/12/29 00:00:00,880,11061,10536,334,97,39,55,79,279,1636,0,12846
973852,گنبد - آق قلا,1401/12/29 00:00:00,1402/01/01 00:00:00,1430,12605,12041,358,97,34,75,78,299,1640,0,12612
973852,گنبد - آق قلا,1398/01/01 00:00:00,1398/01/02 00:00:00,1440,8293,8032,194,40,7,20,68,26,825,0,8293
973852,گنبد - آق قلا,1398/01/02 00:00:00,1398/01/02 07:00:00,345,41,40,1,0,0,0,37,0,1,0,8073
973852,گنبد - آق قلا,1398/01/03 12:10:00,1398/01/04 00:00:00,695,7,6,1,0,0,0,15,0,0,0,14
973852,گنبد - آق قلا,1398/01/04 00:00:00,1398/01/05 00:00:00,900,789,731,42,11,1,4,51,3,35,0,790
973852,گنبد - آق قلا,1398/01/05 00:00:00,1398/01/06 00:00:00,1440,3553,3274,217,46,6,10,61,4,487,0,3578
973852,گنبد - آق قلا,1398/01/06 00:00:00,1398/01/07 00:00:00,1440,5217,4883,245,66,12,11,67,18,1070,0,5217
973852,گنبد - آق قلا,1398/01/07 00:00:00,1398/01/08 00:00:00,1440,6238,5808,315,77,17,21,70,16,1445,0,6238
973852,گنبد - آق قلا,1398/01/08 00:00:00,1398/01/09 00:00:00,1440,6287,5850,326,81,15,15,69,19,1588,0,6287
973852,گنبد - آق قلا,1398/01/09 00:00:00,1398/01/10 00:00:00,1440,4910,4506,290,84,12,18,69,20,950,0,4910
973852,گنبد - آق قلا,1398/01/10 00:00:00,1398/01/11 00:00:00,1440,4942,4544,284,75,11,28,69,10,886,0,4942
973852,گنبد - آق قلا,1398/01/11 00:00:00,1398/01/12 00:00:00,1440,4546,4140,300,62,18,26,69,14,772,0,4546
973852,گنبد - آق قلا,1398/01/12 00:00:00,1398/01/13 00:00:00,1440,4961,4621,255,50,14,21,69,13,985,0,4961
973852,گنبد - آق قلا,1398/01/13 00:00:00,1398/01/14 00:00:00,1440,5599,5258,249,52,17,23,72,15,1159,0,5599
973852,گنبد - آق قلا,1398/01/14 00:00:00,1398/01/15 00:00:00,1440,7004,6549,341,66,13,35,70,16,1781,0,7004
973852,گنبد - آق قلا,1398/01/15 00:00:00,1398/01/16 00:00:00,1440,8079,7736,226,65,26,26,74,43,1698,0,8079
973852,گنبد - آق قلا,1398/01/16 00:00:00,1398/01/17 00:00:00,1440,5928,5662,178,45,18,25,75,30,946,0,5928
973852,گنبد - آق قلا,1398/01/17 00:00:00,1398/01/18 00:00:00,1440,7117,6755,257,65,11,29,73,26,1309,0,7117
973852,گنبد - آق قلا,1398/01/18 00:00:00,1398/01/19 00:00:00,1440,7523,7162,254,55,26,26,74,40,1361,0,7523
973852,گنبد - آق قلا,1398/01/19 00:00:00,1398/01/20 00:00:00,1440,7496,7099,257,78,32,30,71,33,1544,0,11711
973852,گنبد - آق قلا,1398/01/20 00:00:00,1398/01/21 00:00:00,1380,7547,7217,236,53,20,21,74,39,1394,0,8175
973852,گنبد - آق قلا,1398/01/21 00:00:00,1398/01/22 00:00:00,1440,9502,9052,300,91,33,26,76,65,1826,0,9502
973852,گنبد - آق قلا,1398/01/22 00:00:00,1398/01/23 00:00:00,1440,9508,9101,267,74,41,25,75,45,1972,0,9508
973852,گنبد - آق قلا,1398/01/23 00:00:00,1398/01/24 00:00:00,1440,6977,6686,196,46,23,26,75,39,1000,0,6977
973852,گنبد - آق قلا,1398/01/24 00:00:00,1398/01/25 00:00:00,1440,8827,8441,259,68,30,29,74,36,1536,0,8827
973852,گنبد - آق قلا,1398/01/25 00:00:00,1398/01/26 00:00:00,1440,8944,8558,249,58,45,34,76,53,1526,0,8944
973852,گنبد - آق قلا,1398/01/26 00:00:00,1398/01/27 00:00:00,1440,9082,8779,198,51,29,25,77,61,1473,0,9082
973852,گنبد - آق قلا,1398/01/27 00:00:00,1398/01/28 00:00:00,1440,9331,8954,253,57,35,32,76,62,1562,0,9331
973852,گنبد - آق قلا,1398/01/28 00:00:00,1398/01/29 00:00:00,1440,10114,9643,309,78,43,41,75,65,1926,0,10114
973852,گنبد - آق قلا,1398/01/29 00:00:00,1398/01/30 00:00:00,1440,10984,10537,291,73,45,38,76,61,2050,0,10984
973852,گنبد - آق قلا,1398/01/30 00:00:00,1398/01/31 00:00:00,1440,7079,6808,179,41,24,27,74,34,926,0,7079
973852,گنبد - آق قلا,1398/01/31 00:00:00,1398/02/01 00:00:00,1435,9316,8902,279,74,18,43,70,30,1934,0,9373
973852,گنبد - آق قلا,1399/01/01 00:00:00,1399/01/02 00:00:00,1440,4719,4638,50,16,4,11,77,45,210,0,612
973852,گنبد - آق قلا,1399/01/02 00:00:00,1399/01/02 23:40:00,1420,6519,6347,114,19,11,28,78,50,442,0,6560
973852,گنبد - آق قلا,1399/01/03 00:35:00,1399/01/04 00:00:00,1405,6096,5983,78,19,7,9,75,31,422,0,6124
973852,گنبد - آق قلا,1399/01/04 00:00:00,1399/01/05 00:00:00,1440,5339,5226,75,17,9,12,73,20,339,0,5339
973852,گنبد - آق قلا,1399/01/05 00:00:00,1399/01/06 00:00:00,1440,6826,6644,121,26,14,21,76,46,530,0,6826
973852,گنبد - آق قلا,1399/01/06 00:00:00,1399/01/07 00:00:00,1440,7537,7310,156,29,10,32,77,62,634,0,7537
973852,گنبد - آق قلا,1399/01/07 00:00:00,1399/01/08 00:00:00,1440,7765,7543,157,32,8,25,77,42,732,0,7765
973852,گنبد - آق قلا,1399/01/08 00:00:00,1399/01/09 00:00:00,1440,4849,4725,82,15,8,19,76,46,234,0,4849
973852,گنبد - آق قلا,1399/01/09 00:00:00,1399/01/10 00:00:00,1440,6798,6575,160,22,15,26,76,37,479,0,6798
973852,گنبد - آق قلا,1399/01/10 00:00:00,1399/01/11 00:00:00,1440,6039,5806,153,33,15,32,74,32,395,0,6039
973852,گنبد - آق قلا,1399/01/11 00:00:00,1399/01/12 00:00:00,1440,6391,6137,166,29,18,41,75,33,395,0,6391
973852,گنبد - آق قلا,1399/01/12 00:00:00,1399/01/13 00:00:00,1440,5030,4877,102,20,11,20,74,19,259,0,5030
973852,گنبد - آق قلا,1399/01/13 00:00:00,1399/01/14 00:00:00,1440,1386,1297,51,13,7,18,74,11,22,0,1386
973852,گنبد - آق قلا,1399/01/14 00:00:00,1399/01/15 00:00:00,1430,6461,6257,134,23,13,34,75,43,425,0,6473
973852,گنبد - آق قلا,1399/01/15 00:00:00,1399/01/16 00:00:00,1440,4672,4509,104,24,13,22,75,25,204,0,4672
973852,گنبد - آق قلا,1399/01/16 00:00:00,1399/01/17 00:00:00,1440,7316,7039,177,30,21,49,75,39,591,0,7316
973852,گنبد - آق قلا,1399/01/17 00:00:00,1399/01/18 00:00:00,1440,6697,6427,172,35,24,39,74,48,505,0,6697
973852,گنبد - آق قلا,1399/01/18 00:00:00,1399/01/19 00:00:00,1440,7187,6885,182,51,30,39,75,45,570,0,7187
973852,گنبد - آق قلا,1399/01/19 00:00:00,1399/01/20 00:00:00,1440,5718,5532,124,24,18,20,73,20,339,0,5718
973852,گنبد - آق قلا,1399/01/20 00:00:00,1399/01/21 00:00:00,1440,6418,6224,128,32,12,22,75,34,426,0,6418
973852,گنبد - آق قلا,1399/01/21 00:00:00,1399/01/22 00:00:00,1440,7030,6820,131,28,18,33,75,40,500,0,7030
973852,گنبد - آق قلا,1399/01/22 00:00:00,1399/01/23 00:00:00,1440,5335,5181,117,15,5,17,76,22,264,0,5335
973852,گنبد - آق قلا,1399/01/23 00:00:00,1399/01/24 00:00:00,1430,8763,8491,198,29,19,26,76,43,955,0,8900
973852,گنبد - آق قلا,1399/01/24 00:00:00,1399/01/25 00:00:00,1440,8661,8361,208,49,17,26,76,47,915,0,8661
973852,گنبد - آق قلا,1399/01/25 00:00:00,1399/01/26 00:00:00,1440,8060,7776,191,34,32,27,74,29,787,0,8060
973852,گنبد - آق قلا,1399/01/26 00:00:00,1399/01/27 00:00:00,1440,8612,8308,197,41,28,38,76,54,925,0,8612
