Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973502,گنبد - اينچه برون,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,4011,3720,158,66,13,54,78.0,4011.0,115.0,1030.0,117.0
973502,گنبد - اينچه برون,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,2677,2530,69,32,7,39,82.0,2677.0,100.0,391.0,52.0
973502,گنبد - اينچه برون,1400/12/03 00:00:00,1400/12/04 00:00:00,1410.0,3588,3342,112,72,12,50,80.0,3734.0,106.0,837.0,99.0
973502,گنبد - اينچه برون,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,4067,3751,150,72,16,78,79.0,4067.0,144.0,1001.0,104.0
973502,گنبد - اينچه برون,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,4295,3991,139,66,14,85,80.0,4295.0,166.0,1121.0,127.0
973502,گنبد - اينچه برون,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,6014,5840,108,30,10,26,75.0,6016.0,104.0,2224.0,197.0
973502,گنبد - اينچه برون,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,3916,3587,170,60,23,76,78.0,3916.0,134.0,927.0,100.0
973502,گنبد - اينچه برون,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,2834,2621,94,38,13,68,78.0,2834.0,80.0,445.0,72.0
973502,گنبد - اينچه برون,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,3704,3444,125,53,10,72,80.0,3704.0,112.0,895.0,105.0
973502,گنبد - اينچه برون,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,4151,3872,137,47,15,80,76.0,4151.0,86.0,1094.0,112.0
973502,گنبد - اينچه برون,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,4069,3793,167,51,11,47,79.0,4069.0,143.0,927.0,104.0
973502,گنبد - اينچه برون,1400/12/12 00:00:00,1400/12/13 00:00:00,1435.0,4361,4026,196,65,10,64,79.0,4361.0,140.0,1128.0,120.0
973502,گنبد - اينچه برون,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,4646,4423,118,34,17,54,76.0,4646.0,114.0,1380.0,112.0
973502,گنبد - اينچه برون,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,3882,3523,182,73,25,79,78.0,3882.0,131.0,929.0,109.0
973502,گنبد - اينچه برون,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,4032,3682,170,65,34,81,79.0,4032.0,139.0,968.0,144.0
973502,گنبد - اينچه برون,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,3833,3531,158,63,14,67,80.0,3833.0,152.0,938.0,84.0
973502,گنبد - اينچه برون,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,3983,3646,166,91,14,66,79.0,3983.0,117.0,973.0,112.0
973502,گنبد - اينچه برون,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,4074,3713,188,80,24,69,79.0,4074.0,142.0,1022.0,99.0
