Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
973506,گنبد - سه راهي کلاله,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,4085,3884,122,20,22,37,80,211,1117,37,4085
973506,گنبد - سه راهي کلاله,1400/12/02 00:00:00,1400/12/03 00:00:00,1440,3327,3153,98,25,16,35,81,164,763,37,3327
973506,گنبد - سه راهي کلاله,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,4050,3818,130,31,30,41,81,226,1108,58,4050
973506,گنبد - سه راهي کلاله,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,4143,3893,146,44,18,42,82,223,1074,37,4143
973506,گنبد - سه راهي کلاله,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,4560,4338,112,30,34,46,82,275,1284,51,4560
973506,گنبد - سه راهي کلاله,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,4231,4046,112,16,17,40,80,183,1191,104,4231
973506,گنبد - سه راهي کلاله,1400/12/07 00:00:00,1400/12/08 00:00:00,1440,4067,3821,134,42,26,44,81,253,1042,75,4067
973506,گنبد - سه راهي کلاله,1400/12/08 00:00:00,1400/12/09 00:00:00,1440,3393,3231,86,28,20,28,79,131,781,27,3393
973506,گنبد - سه راهي کلاله,1400/12/09 00:00:00,1400/12/10 00:00:00,1440,4176,3963,117,39,21,36,82,237,1161,58,4176
973506,گنبد - سه راهي کلاله,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3337,3137,119,29,22,30,80,174,755,38,3337
973506,گنبد - سه راهي کلاله,1400/12/11 00:00:00,1400/12/12 00:00:00,1440,4380,4103,148,45,32,52,78,176,1376,118,4380
973506,گنبد - سه راهي کلاله,1400/12/12 00:00:00,1400/12/13 00:00:00,1440,4461,4229,118,59,21,34,79,197,1343,57,4461
973506,گنبد - سه راهي کلاله,1400/12/13 00:00:00,1400/12/14 00:00:00,1440,3105,2964,90,12,10,29,82,211,611,230,3105
973506,گنبد - سه راهي کلاله,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,4221,3981,134,31,26,49,80,216,1187,169,4221
973506,گنبد - سه راهي کلاله,1400/12/15 00:00:00,1400/12/16 00:00:00,1440,4497,4239,147,50,18,43,80,225,1319,164,4497
973506,گنبد - سه راهي کلاله,1400/12/16 00:00:00,1400/12/17 00:00:00,1440,4101,3823,163,43,28,44,81,213,1130,52,4101
973506,گنبد - سه راهي کلاله,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,4129,3848,164,42,33,42,80,200,1145,55,4129
973506,گنبد - سه راهي کلاله,1400/12/18 00:00:00,1400/12/19 00:00:00,1440,4344,4090,142,46,26,40,79,177,1253,76,4344
973506,گنبد - سه راهي کلاله,1400/12/19 00:00:00,1400/12/20 00:00:00,1440,4639,4383,125,45,30,56,80,225,1374,163,4639
973506,گنبد - سه راهي کلاله,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,3349,3159,105,21,25,39,82,171,728,51,3349
973506,گنبد - سه راهي کلاله,1400/12/21 00:00:00,1400/12/22 00:00:00,1440,4367,4087,152,37,23,68,81,230,1214,106,4367
973506,گنبد - سه راهي کلاله,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,4511,4214,152,56,32,57,77,160,1309,46,4511
973506,گنبد - سه راهي کلاله,1400/12/23 00:00:00,1400/12/24 00:00:00,1440,4410,4090,182,43,35,60,79,200,1314,37,4410
973506,گنبد - سه راهي کلاله,1400/12/24 00:00:00,1400/12/25 00:00:00,1440,4513,4267,136,41,18,51,80,193,1232,35,4513
973506,گنبد - سه راهي کلاله,1400/12/25 00:00:00,1400/12/26 00:00:00,1440,4202,3960,115,46,17,64,78,141,1194,33,4202
973506,گنبد - سه راهي کلاله,1400/12/26 00:00:00,1400/12/27 00:00:00,1440,4721,4514,100,44,14,49,81,184,1444,37,4721
973506,گنبد - سه راهي کلاله,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,4008,3819,94,22,26,47,81,208,1092,41,4008
973506,گنبد - سه راهي کلاله,1400/12/28 00:00:00,1400/12/29 00:00:00,1440,5554,5311,133,32,40,38,78,274,1968,80,5554
973506,گنبد - سه راهي کلاله,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,4431,4335,56,12,12,16,83,245,1255,62,4431
973506,گنبد - سه راهي کلاله,1401/12/01 00:00:00,1401/12/02 00:00:00,1400,4569,4267,179,57,10,56,81,254,1397,50,4681
973506,گنبد - سه راهي کلاله,1401/12/02 00:00:00,1401/12/03 00:00:00,1420,4768,4458,159,64,9,78,81,289,1475,65,4787
973506,گنبد - سه راهي کلاله,1401/12/03 00:00:00,1401/12/04 00:00:00,1390,4888,4581,177,62,10,58,79,219,1578,51,5025
973506,گنبد - سه راهي کلاله,1401/12/04 00:00:00,1401/12/05 00:00:00,1390,5158,4894,134,59,7,64,80,280,1757,71,5221
973506,گنبد - سه راهي کلاله,1401/12/05 00:00:00,1401/12/06 00:00:00,1375,3219,3048,98,23,8,42,81,187,742,39,3452
973506,گنبد - سه راهي کلاله,1401/12/06 00:00:00,1401/12/07 00:00:00,1235,4180,3883,166,64,4,63,81,227,1340,65,4721
973506,گنبد - سه راهي کلاله,1401/12/07 00:40:00,1401/12/08 00:00:00,1080,4089,3825,161,63,7,33,78,186,1343,62,5052
973506,گنبد - سه راهي کلاله,1401/12/08 00:00:00,1401/12/08 23:55:00,1300,4362,4083,151,51,7,70,80,217,1299,52,4692
973506,گنبد - سه راهي کلاله,1401/12/09 00:05:00,1401/12/10 00:00:00,1265,4375,4078,168,63,5,61,80,244,1330,48,4695
973506,گنبد - سه راهي کلاله,1401/12/10 00:00:00,1401/12/11 00:00:00,1375,4910,4572,185,68,15,70,80,287,1603,81,4972
973506,گنبد - سه راهي کلاله,1401/12/11 00:00:00,1401/12/12 00:00:00,1170,4474,4201,123,66,16,68,80,220,1436,64,5022
973506,گنبد - سه راهي کلاله,1401/12/12 00:00:00,1401/12/13 00:00:00,1235,3299,3150,76,22,2,49,84,245,826,31,3917
973506,گنبد - سه راهي کلاله,1401/12/13 00:00:00,1401/12/14 00:00:00,1345,4694,4379,173,54,17,71,81,278,1483,56,4812
973506,گنبد - سه راهي کلاله,1401/12/14 00:00:00,1401/12/15 00:00:00,1390,4853,4539,154,79,8,73,79,245,1536,73,4985
973506,گنبد - سه راهي کلاله,1401/12/15 00:00:00,1401/12/16 00:00:00,1370,4552,4281,143,59,9,60,80,245,1392,56,4700
973506,گنبد - سه راهي کلاله,1401/12/16 00:00:00,1401/12/17 00:00:00,1385,4505,4221,148,56,18,62,77,225,1372,70,4730
973506,گنبد - سه راهي کلاله,1401/12/17 00:00:00,1401/12/18 00:00:00,1410,4044,3783,143,48,8,62,81,237,1083,45,4120
973506,گنبد - سه راهي کلاله,1401/12/18 00:00:00,1401/12/19 00:00:00,1395,4911,4645,118,60,8,80,82,283,1617,55,5087
973506,گنبد - سه راهي کلاله,1401/12/19 00:00:00,1401/12/20 00:00:00,1400,3911,3691,130,25,6,59,82,253,1049,34,3996
973506,گنبد - سه راهي کلاله,1401/12/20 00:00:00,1401/12/21 00:00:00,1370,4472,4187,143,61,12,69,81,222,1483,57,4646
973506,گنبد - سه راهي کلاله,1401/12/21 00:00:00,1401/12/22 00:00:00,1410,5137,4826,163,52,17,79,78,217,1808,72,5148
973506,گنبد - سه راهي کلاله,1401/12/22 00:00:00,1401/12/23 00:00:00,1440,4930,4589,207,51,13,70,79,261,1655,58,4930
973506,گنبد - سه راهي کلاله,1401/12/23 00:00:00,1401/12/24 00:00:00,1420,4732,4411,191,55,9,66,82,306,1540,79,4788
973506,گنبد - سه راهي کلاله,1401/12/24 00:00:00,1401/12/25 00:00:00,1345,5053,4743,182,59,7,62,79,261,1700,64,5288
973506,گنبد - سه راهي کلاله,1401/12/25 00:05:00,1401/12/26 00:00:00,1220,4876,4587,158,48,11,72,79,252,1810,72,5651
973506,گنبد - سه راهي کلاله,1401/12/26 00:00:00,1401/12/26 23:30:00,1270,5239,5007,131,37,12,52,80,253,1899,65,5659
973506,گنبد - سه راهي کلاله,1401/12/27 00:30:00,1401/12/28 00:00:00,1290,5641,5306,183,64,10,78,79,229,2123,72,4971
973506,گنبد - سه راهي کلاله,1401/12/28 00:00:00,1401/12/29 00:00:00,1400,6459,6126,160,89,9,75,78,267,2428,57,6462
973506,گنبد - سه راهي کلاله,1401/12/29 00:00:00,1402/01/01 00:00:00,1330,5287,5154,71,29,5,28,82,279,1797,69,5434
973506,گنبد - سه راهي کلاله,1398/01/01 00:00:00,1398/01/02 00:00:00,1420,949,927,13,4,1,4,82,72,93,19,1147
973506,گنبد - سه راهي کلاله,1398/01/02 00:00:00,1398/01/03 00:00:00,1290,1448,1427,11,4,2,4,86,104,150,5,1869
973506,گنبد - سه راهي کلاله,1398/01/03 00:00:00,1398/01/04 00:00:00,1440,3014,2948,39,5,4,18,83,166,732,17,3014
973506,گنبد - سه راهي کلاله,1398/01/04 00:00:00,1398/01/05 00:00:00,1440,3469,3366,61,16,7,19,82,183,784,16,3469
973506,گنبد - سه راهي کلاله,1398/01/05 00:00:00,1398/01/06 00:00:00,1440,3051,2935,72,21,6,17,79,99,602,10,3051
973506,گنبد - سه راهي کلاله,1398/01/06 00:00:00,1398/01/07 00:00:00,1440,2263,2195,40,16,1,11,82,116,371,12,2263
973506,گنبد - سه راهي کلاله,1398/01/07 00:00:00,1398/01/08 00:00:00,1440,3013,2899,75,20,6,13,82,132,662,20,3013
973506,گنبد - سه راهي کلاله,1398/01/08 00:00:00,1398/01/09 00:00:00,1320,3098,2997,59,18,13,11,83,164,732,21,3392
973506,گنبد - سه راهي کلاله,1398/01/09 00:00:00,1398/01/10 00:00:00,1440,3257,3149,77,14,4,13,83,166,758,18,3257
973506,گنبد - سه راهي کلاله,1398/01/10 00:00:00,1398/01/11 00:00:00,1440,4066,3898,96,31,9,32,83,227,1035,15,4066
973506,گنبد - سه راهي کلاله,1398/01/11 00:00:00,1398/01/12 00:00:00,1440,3427,3274,109,25,6,13,82,166,797,18,3427
973506,گنبد - سه راهي کلاله,1398/01/12 00:00:00,1398/01/13 00:00:00,1440,2584,2486,62,16,8,12,83,140,455,4,2584
973506,گنبد - سه راهي کلاله,1398/01/13 00:00:00,1398/01/14 00:00:00,1440,1229,1204,19,3,0,3,83,88,109,2,1229
973506,گنبد - سه راهي کلاله,1398/01/14 00:00:00,1398/01/15 00:00:00,1440,2737,2643,62,7,7,18,83,134,502,11,2737
973506,گنبد - سه راهي کلاله,1398/01/15 00:00:00,1398/01/16 00:00:00,1440,3443,3330,65,21,4,23,82,171,771,8,3443
973506,گنبد - سه راهي کلاله,1398/01/16 00:00:00,1398/01/17 00:00:00,1440,2986,2867,77,13,13,16,82,136,589,20,2986
973506,گنبد - سه راهي کلاله,1398/01/17 00:00:00,1398/01/18 00:00:00,1440,3539,3343,113,26,18,39,79,121,800,6,3539
973506,گنبد - سه راهي کلاله,1398/01/18 00:00:00,1398/01/19 00:00:00,1440,3540,3346,123,33,11,27,80,134,838,12,3540
973506,گنبد - سه راهي کلاله,1398/01/19 00:00:00,1398/01/20 00:00:00,1440,2851,2668,119,22,14,28,79,90,504,11,2851
973506,گنبد - سه راهي کلاله,1398/01/20 00:00:00,1398/01/21 00:00:00,1440,3635,3408,146,35,15,31,84,204,823,9,3635
973506,گنبد - سه راهي کلاله,1398/01/21 00:00:00,1398/01/22 00:00:00,1440,4174,3966,141,35,12,20,81,213,1132,24,4174
973506,گنبد - سه راهي کلاله,1398/01/22 00:00:00,1398/01/23 00:00:00,1440,4012,3812,123,30,16,31,81,218,995,22,4012
973506,گنبد - سه راهي کلاله,1398/01/23 00:00:00,1398/01/24 00:00:00,1440,2965,2826,98,18,8,15,79,92,606,7,2965
973506,گنبد - سه راهي کلاله,1398/01/24 00:00:00,1398/01/25 00:00:00,1440,3489,3315,119,23,8,24,80,158,762,11,3489
973506,گنبد - سه راهي کلاله,1398/01/25 00:00:00,1398/01/26 00:00:00,1440,3891,3709,115,27,14,26,82,213,977,14,3891
973506,گنبد - سه راهي کلاله,1398/01/26 00:00:00,1398/01/27 00:00:00,1440,3724,3544,115,23,15,27,81,178,801,15,3724
973506,گنبد - سه راهي کلاله,1398/01/27 00:00:00,1398/01/28 00:00:00,1440,3782,3566,144,31,17,24,81,173,844,22,3782
973506,گنبد - سه راهي کلاله,1398/01/28 00:00:00,1398/01/29 00:00:00,1440,4243,3990,150,42,15,46,80,163,1140,34,4243
973506,گنبد - سه راهي کلاله,1398/01/29 00:00:00,1398/01/30 00:00:00,1440,4042,3868,111,31,11,21,81,216,1042,31,4042
973506,گنبد - سه راهي کلاله,1398/01/30 00:00:00,1398/01/31 00:00:00,1440,2488,2374,69,14,16,15,81,119,358,6,2488
973506,گنبد - سه راهي کلاله,1398/01/31 00:00:00,1398/02/01 00:00:00,1440,3713,3537,111,23,11,31,82,199,858,11,3713
973506,گنبد - سه راهي کلاله,1399/01/01 00:00:00,1399/01/02 00:00:00,1440,1452,1414,20,6,2,10,89,135,121,2,1452
973506,گنبد - سه راهي کلاله,1399/01/02 00:00:00,1399/01/03 00:00:00,1380,1571,1526,25,3,3,14,87,115,143,2,1605
973506,گنبد - سه راهي کلاله,1399/01/03 00:00:00,1399/01/04 00:00:00,1440,1439,1392,32,5,3,7,85,91,123,4,1439
973506,گنبد - سه راهي کلاله,1399/01/04 00:00:00,1399/01/05 00:00:00,1440,1316,1267,28,4,3,14,82,47,81,4,1316
973506,گنبد - سه راهي کلاله,1399/01/05 00:00:00,1399/01/06 00:00:00,1440,1784,1701,42,11,3,27,81,66,213,6,1784
973506,گنبد - سه راهي کلاله,1399/01/06 00:00:00,1399/01/07 00:00:00,1440,2360,2216,75,22,4,43,84,163,372,12,2360
973506,گنبد - سه راهي کلاله,1399/01/07 00:00:00,1399/01/08 00:00:00,1440,2472,2302,81,26,15,48,83,172,405,12,2472
973506,گنبد - سه راهي کلاله,1399/01/08 00:00:00,1399/01/09 00:00:00,1440,1446,1307,64,20,19,36,83,92,119,5,1446
973506,گنبد - سه راهي کلاله,1399/01/09 00:00:00,1399/01/10 00:00:00,1440,1953,1716,103,53,27,54,83,115,206,6,1953
973506,گنبد - سه راهي کلاله,1399/01/10 00:00:00,1399/01/11 00:00:00,1440,1870,1626,111,35,41,57,82,100,181,11,1870
973506,گنبد - سه راهي کلاله,1399/01/11 00:00:00,1399/01/12 00:00:00,1440,1963,1742,90,32,46,53,83,107,225,12,1963
973506,گنبد - سه راهي کلاله,1399/01/12 00:00:00,1399/01/13 00:00:00,1440,867,726,64,16,35,26,81,46,36,4,867
973506,گنبد - سه راهي کلاله,1399/01/13 00:00:00,1399/01/14 00:00:00,1440,422,375,25,6,10,6,85,48,6,0,422
973506,گنبد - سه راهي کلاله,1399/01/14 00:00:00,1399/01/15 00:00:00,1440,1456,1314,64,16,14,48,84,99,103,12,1456
973506,گنبد - سه راهي کلاله,1399/01/15 00:00:00,1399/01/16 00:00:00,1440,1129,981,81,22,16,29,83,67,66,7,1129
973506,گنبد - سه راهي کلاله,1399/01/16 00:00:00,1399/01/17 00:00:00,1440,2239,2052,94,25,18,50,84,121,290,11,2239
973506,گنبد - سه راهي کلاله,1399/01/17 00:00:00,1399/01/18 00:00:00,1440,1875,1697,98,31,16,33,80,87,213,10,1875
973506,گنبد - سه راهي کلاله,1399/01/18 00:00:00,1399/01/19 00:00:00,1440,2400,2157,130,35,36,42,82,129,333,5,2400
973506,گنبد - سه راهي کلاله,1399/01/19 00:00:00,1399/01/20 00:00:00,1440,1766,1580,93,29,40,24,80,66,184,5,1766
973506,گنبد - سه راهي کلاله,1399/01/20 00:00:00,1399/01/21 00:00:00,1440,2016,1827,105,34,28,22,83,107,249,8,2016
973506,گنبد - سه راهي کلاله,1399/01/21 00:00:00,1399/01/22 00:00:00,1440,2035,1883,85,24,19,24,83,123,274,8,2035
