Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973503,گنبد - مينودشت,1400/12/01 00:00:00,1400/12/02 00:00:00,1435.0,8722,8255,241,110,36,80,63.0,8732.0,39.0,1172.0,0.0
973503,گنبد - مينودشت,1400/12/02 00:00:00,1400/12/03 00:00:00,1420.0,8054,7720,174,70,19,71,63.0,8111.0,16.0,932.0,0.0
973503,گنبد - مينودشت,1400/12/03 00:00:00,1400/12/04 00:00:00,1420.0,8770,8354,208,83,35,90,62.0,8882.0,26.0,1206.0,0.0
973503,گنبد - مينودشت,1400/12/04 00:00:00,1400/12/05 00:00:00,1375.0,8706,8300,211,87,33,75,63.0,8895.0,27.0,1181.0,0.0
973503,گنبد - مينودشت,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,9264,8862,212,81,23,86,62.0,9264.0,32.0,1300.0,0.0
973503,گنبد - مينودشت,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,8422,8143,142,65,17,55,64.0,8422.0,21.0,1146.0,0.0
973503,گنبد - مينودشت,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,8758,8286,233,99,48,92,62.0,8758.0,38.0,1161.0,0.0
973503,گنبد - مينودشت,1400/12/08 00:00:00,1400/12/09 00:00:00,1430.0,7633,7270,188,78,28,69,60.0,7669.0,15.0,836.0,0.0
973503,گنبد - مينودشت,1400/12/09 00:00:00,1400/12/10 00:00:00,1430.0,8985,8523,236,95,37,94,62.0,9024.0,30.0,1247.0,0.0
973503,گنبد - مينودشت,1400/12/10 00:00:00,1400/12/11 00:00:00,1430.0,8121,7767,182,64,28,80,63.0,8147.0,33.0,1000.0,0.0
973503,گنبد - مينودشت,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,8918,8465,244,84,37,88,62.0,8918.0,25.0,1227.0,0.0
973503,گنبد - مينودشت,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,9496,8989,254,116,40,97,61.0,9496.0,44.0,1388.0,0.0
973503,گنبد - مينودشت,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,7985,7691,158,75,20,41,64.0,7985.0,22.0,955.0,0.0
973503,گنبد - مينودشت,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,9490,8995,238,119,40,98,61.0,9490.0,29.0,1470.0,0.0
973503,گنبد - مينودشت,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,10038,9486,256,142,50,104,61.0,10038.0,17.0,1809.0,0.0
973503,گنبد - مينودشت,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,9208,8665,262,139,55,87,62.0,9208.0,36.0,1314.0,0.0
973503,گنبد - مينودشت,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,9213,8779,203,103,42,86,61.0,9213.0,19.0,1307.0,0.0
973503,گنبد - مينودشت,1400/12/18 00:00:00,1400/12/19 00:00:00,1430.0,9491,9053,224,95,34,85,62.0,9580.0,29.0,1405.0,0.0
973503,گنبد - مينودشت,1400/12/19 00:00:00,1400/12/20 00:00:00,1420.0,9357,8881,242,105,34,95,61.0,9473.0,33.0,1347.0,0.0
973503,گنبد - مينودشت,1400/12/20 00:00:00,1400/12/21 00:00:00,1420.0,7716,7387,186,59,22,62,63.0,7821.0,18.0,915.0,0.0
973503,گنبد - مينودشت,1400/12/21 00:00:00,1400/12/22 00:00:00,1420.0,8976,8451,279,113,53,80,61.0,9089.0,32.0,1225.0,0.0
973503,گنبد - مينودشت,1400/12/22 00:00:00,1400/12/23 00:00:00,1415.0,9250,8822,210,105,38,75,60.0,9397.0,28.0,1208.0,0.0
973503,گنبد - مينودشت,1400/12/23 00:00:00,1400/12/24 00:00:00,1420.0,9525,9135,204,85,17,84,62.0,9645.0,9.0,1278.0,0.0
973503,گنبد - مينودشت,1400/12/24 00:00:00,1400/12/25 00:00:00,1415.0,8870,8428,221,100,33,88,61.0,9025.0,25.0,1141.0,0.0
973503,گنبد - مينودشت,1400/12/25 00:00:00,1400/12/26 00:00:00,1410.0,9315,8942,196,69,31,77,61.0,9439.0,13.0,1247.0,0.0
973503,گنبد - مينودشت,1400/12/26 00:00:00,1400/12/27 00:00:00,1310.0,8565,8287,152,52,20,54,61.0,9520.0,9.0,1169.0,0.0
973503,گنبد - مينودشت,1400/12/27 00:00:00,1400/12/28 00:00:00,1410.0,8869,8550,173,66,31,49,63.0,9053.0,24.0,1241.0,0.0
973503,گنبد - مينودشت,1400/12/28 00:00:00,1400/12/29 00:00:00,1420.0,10229,9872,191,78,26,62,62.0,10361.0,20.0,1545.0,0.0
973503,گنبد - مينودشت,1400/12/29 00:00:00,1401/01/01 00:00:00,1405.0,8064,7830,141,45,20,28,64.0,8240.0,22.0,1023.0,0.0
973503,گنبد - مينودشت,1401/12/06 13:35:00,1401/12/07 00:00:00,570.0,238,115,44,29,19,31,77.0,5075.0,62.0,2.0,0.0
973503,گنبد - مينودشت,1401/12/07 00:00:00,1401/12/08 00:00:00,1420.0,514,228,90,74,53,69,78.0,631.0,168.0,5.0,0.0
973503,گنبد - مينودشت,1401/12/08 00:00:00,1401/12/09 00:00:00,940.0,282,132,47,28,35,40,76.0,605.0,88.0,3.0,0.0
973503,گنبد - مينودشت,1401/12/09 00:00:00,1401/12/10 00:00:00,1255.0,528,231,114,63,51,69,77.0,662.0,148.0,11.0,0.0
973503,گنبد - مينودشت,1401/12/10 00:00:00,1401/12/11 00:00:00,1400.0,488,214,89,68,42,75,78.0,551.0,158.0,8.0,0.0
973503,گنبد - مينودشت,1401/12/11 00:00:00,1401/12/12 00:00:00,1155.0,459,197,77,63,52,70,78.0,1276.0,159.0,4.0,0.0
973503,گنبد - مينودشت,1401/12/12 00:00:00,1401/12/13 00:00:00,1435.0,373,149,75,44,45,60,79.0,510.0,134.0,6.0,0.0
973503,گنبد - مينودشت,1401/12/13 00:00:00,1401/12/14 00:00:00,1385.0,476,233,79,48,46,70,76.0,510.0,145.0,11.0,0.0
973503,گنبد - مينودشت,1401/12/14 00:00:00,1401/12/15 00:00:00,1300.0,377,153,57,62,34,71,80.0,492.0,140.0,1.0,0.0
973503,گنبد - مينودشت,1401/12/15 00:00:00,1401/12/16 00:00:00,1300.0,493,220,94,67,47,65,78.0,616.0,155.0,6.0,0.0
973503,گنبد - مينودشت,1401/12/16 00:00:00,1401/12/17 00:00:00,1285.0,503,194,100,74,60,75,79.0,666.0,170.0,9.0,0.0
973503,گنبد - مينودشت,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,360,171,54,46,39,50,78.0,360.0,112.0,5.0,0.0
973503,گنبد - مينودشت,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,502,229,90,67,58,58,77.0,587.0,153.0,6.0,0.0
973503,گنبد - مينودشت,1401/12/19 00:00:00,1401/12/20 00:00:00,1335.0,2991,2934,26,12,7,12,74.0,3157.0,25.0,389.0,0.0
