Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
163251,آمل - بابل (بزرگراه),1396/01/01 00:00:00,1396/01/02 00:00:00,27338,26656,194,213,179,96,77.72,290.0,7584.0,0.0,27338.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/02 00:00:00,1396/01/03 00:00:00,27660,26795,252,268,228,117,77.46,225.0,8043.0,0.0,28014.0,1381.0
163251,آمل - بابل (بزرگراه),1396/01/03 00:00:00,1396/01/04 00:00:00,31465,30421,319,301,271,153,77.91,316.0,9863.0,0.0,31460.0,1441.0
163251,آمل - بابل (بزرگراه),1396/01/04 00:00:00,1396/01/05 00:00:00,31811,30861,324,289,193,144,74.74,184.0,9847.0,0.0,31811.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/05 00:00:00,1396/01/06 00:00:00,32986,31479,549,484,282,192,76.27,253.0,10243.0,0.0,32986.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/06 00:00:00,1396/01/07 00:00:00,36920,35024,675,682,318,221,74.86,298.0,13047.0,0.0,36886.0,1441.0
163251,آمل - بابل (بزرگراه),1396/01/07 00:00:00,1396/01/08 00:00:00,37992,35940,744,714,316,278,75.21,291.0,13504.0,0.0,37992.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/08 00:00:00,1396/01/09 00:00:00,37314,35138,793,754,309,320,74.02,301.0,12771.0,0.0,37314.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/09 00:00:00,1396/01/10 00:00:00,36629,34442,795,784,326,282,75.16,278.0,12837.0,0.0,37144.0,1374.0
163251,آمل - بابل (بزرگراه),1396/01/10 00:00:00,1396/01/11 00:00:00,38724,36632,763,720,350,259,75.1,315.0,14094.0,0.0,38724.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/11 00:00:00,1396/01/12 00:00:00,36824,35408,459,451,314,192,75.46,312.0,13241.0,0.0,36778.0,1441.0
163251,آمل - بابل (بزرگراه),1396/01/12 00:00:00,1396/01/13 00:00:00,29206,27989,413,367,245,192,75.9,198.0,7742.0,0.0,29206.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/13 00:00:00,1396/01/14 00:00:00,24396,23714,216,204,186,76,76.74,222.0,5926.0,0.0,24349.0,1442.0
163251,آمل - بابل (بزرگراه),1396/01/14 00:00:00,1396/01/15 00:00:00,28666,27240,547,404,260,215,75.01,160.0,7784.0,0.0,28666.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/15 00:00:00,1396/01/16 00:00:00,29432,26706,1060,999,354,313,77.0,295.0,8887.0,0.0,30704.0,1367.0
163251,آمل - بابل (بزرگراه),1396/01/16 00:00:00,1396/01/17 00:00:00,33722,30685,1135,1161,393,348,76.36,335.0,10829.0,0.0,33722.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/17 00:00:00,1396/01/18 00:00:00,33672,30704,1109,1096,395,368,76.41,259.0,10453.0,0.0,33672.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/18 00:00:00,1396/01/19 00:00:00,28488,26721,533,659,323,252,77.71,280.0,7754.0,0.0,28818.0,1367.0
163251,آمل - بابل (بزرگراه),1396/01/19 00:00:00,1396/01/20 00:00:00,33989,30344,1496,1327,402,420,76.59,283.0,10715.0,0.0,33989.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/20 00:00:00,1396/01/21 00:00:00,33011,29315,1475,1403,399,419,76.82,327.0,10323.0,0.0,33011.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/21 00:00:00,1396/01/22 00:00:00,35418,31554,1522,1457,411,474,75.36,271.0,11969.0,0.0,35418.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/22 00:00:00,1396/01/23 00:00:00,28300,25348,1085,1135,318,414,75.94,180.0,7166.0,0.0,28300.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/23 00:00:00,1396/01/24 00:00:00,34088,30998,1165,1182,354,389,74.98,271.0,10950.0,0.0,34088.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/24 00:00:00,1396/01/25 00:00:00,34285,31190,1181,1164,353,397,76.8,390.0,11134.0,0.0,34285.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/25 00:00:00,1396/01/26 00:00:00,29239,27520,573,624,250,272,78.45,340.0,7841.0,0.0,29239.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/26 00:00:00,1396/01/27 00:00:00,33984,30418,1452,1382,357,375,77.18,296.0,10904.0,0.0,33984.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/27 00:00:00,1396/01/28 00:00:00,32385,28641,1511,1477,368,388,76.02,270.0,9959.0,0.0,32385.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/28 00:00:00,1396/01/29 00:00:00,34033,30038,1570,1565,401,459,76.67,308.0,11141.0,0.0,34033.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/29 00:00:00,1396/01/30 00:00:00,33871,29767,1706,1566,372,460,76.87,348.0,10980.0,0.0,33871.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/30 00:00:00,1396/01/31 00:00:00,35417,31538,1503,1470,440,466,77.03,370.0,11983.0,0.0,35417.0,1440.0
163251,آمل - بابل (بزرگراه),1396/01/31 00:00:00,1396/02/01 00:00:00,34911,31615,1300,1200,380,416,76.84,333.0,11383.0,0.0,34911.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/01 00:00:00,1396/12/02 00:00:00,29694,25809,1010,1238,1466,171,78.0,336.0,8324.0,0.0,29694.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/02 00:00:00,1396/12/03 00:00:00,37965,33782,1127,1253,1645,158,77.0,508.0,14191.0,0.0,37965.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/03 00:00:00,1396/12/04 00:00:00,38087,34003,1104,1146,1682,152,77.0,498.0,13863.0,0.0,38087.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/04 00:00:00,1396/12/05 00:00:00,31222,28694,617,618,1178,115,78.0,459.0,9076.0,0.0,31222.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/05 00:00:00,1396/12/06 00:00:00,36525,31694,1327,1523,1802,179,77.0,480.0,13086.0,0.0,36525.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/06 00:00:00,1396/12/07 00:00:00,36589,31438,1442,1620,1901,188,76.0,459.0,13239.0,0.0,36589.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/07 00:00:00,1396/12/08 00:00:00,37561,32252,1434,1650,2010,215,76.0,473.0,13986.0,0.0,37561.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/08 00:00:00,1396/12/09 00:00:00,37522,32479,1404,1565,1900,174,76.0,461.0,13938.0,0.0,37522.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/09 00:00:00,1396/12/10 00:00:00,38998,34402,1286,1392,1785,133,72.0,365.0,15095.0,0.0,38998.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/10 00:00:00,1396/12/11 00:00:00,37623,33409,1149,1162,1733,170,78.0,525.0,13471.0,0.0,37623.0,1440.0
163251,آمل - بابل (بزرگراه),1396/12/11 00:00:00,1396/12/12 00:00:00,32016,29475,607,585,1239,110,78.0,437.0,9448.0,0.0,32016.0,1440.0
