Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
163253,آمل - بابل (قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,3097,3041,25,24,4,3,67.94,109.0,370.0,49.0,3097.0,1440.0
163253,آمل - بابل (قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,2978,2890,46,31,8,3,67.36,83.0,418.0,56.0,2996.0,1380.0
163253,آمل - بابل (قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,3236,3137,49,37,8,5,68.52,122.0,469.0,46.0,3236.0,1440.0
163253,آمل - بابل (قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,2725,2656,28,34,5,2,65.05,43.0,329.0,46.0,2725.0,1440.0
163253,آمل - بابل (قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,3337,3176,84,63,8,6,67.01,98.0,444.0,62.0,3337.0,1440.0
163253,آمل - بابل (قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,3383,3187,91,92,5,8,66.5,88.0,493.0,70.0,3379.0,1441.0
163253,آمل - بابل (قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,3665,3429,98,118,12,8,67.21,130.0,561.0,74.0,3671.0,1441.0
163253,آمل - بابل (قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,3607,3342,104,141,11,9,64.5,72.0,553.0,83.0,3607.0,1440.0
163253,آمل - بابل (قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,3570,3300,110,148,5,7,66.05,87.0,517.0,82.0,3570.0,1440.0
163253,آمل - بابل (قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,4053,3775,129,127,15,7,65.92,109.0,647.0,108.0,4053.0,1440.0
163253,آمل - بابل (قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,3894,3737,71,71,11,4,67.73,144.0,627.0,88.0,3891.0,1441.0
163253,آمل - بابل (قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,2933,2794,75,58,3,3,65.94,84.0,298.0,50.0,2933.0,1440.0
163253,آمل - بابل (قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,2900,2836,27,31,5,1,68.46,128.0,371.0,58.0,2895.0,1441.0
163253,آمل - بابل (قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,2282,2095,115,62,4,6,65.04,56.0,187.0,35.0,2293.0,1440.0
163253,آمل - بابل (قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,2715,2339,140,223,9,4,66.01,72.0,292.0,50.0,2715.0,1440.0
163253,آمل - بابل (قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,3098,2739,147,192,11,9,65.63,87.0,407.0,63.0,3098.0,1440.0
163253,آمل - بابل (قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,3318,2978,148,171,9,12,66.21,90.0,427.0,67.0,3318.0,1440.0
163253,آمل - بابل (قديم),1396/01/18 00:00:00,1396/01/19 00:00:00,3245,3075,76,80,5,9,66.68,107.0,439.0,69.0,3245.0,1440.0
163253,آمل - بابل (قديم),1396/01/19 00:00:00,1396/01/20 00:00:00,3032,2446,234,327,12,13,65.38,85.0,341.0,67.0,3032.0,1440.0
163253,آمل - بابل (قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,3127,2522,243,341,11,10,65.4,84.0,352.0,76.0,3127.0,1440.0
163253,آمل - بابل (قديم),1396/01/21 00:00:00,1396/01/22 00:00:00,3081,2522,210,319,17,13,65.78,89.0,336.0,85.0,3573.0,1418.0
163253,آمل - بابل (قديم),1396/01/22 00:00:00,1396/01/23 00:00:00,2794,2376,143,250,11,14,65.15,58.0,310.0,51.0,2794.0,1440.0
163253,آمل - بابل (قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,2913,2498,187,209,9,10,62.68,43.0,297.0,70.0,2913.0,1440.0
163253,آمل - بابل (قديم),1396/01/24 00:00:00,1396/01/25 00:00:00,3431,2989,186,220,15,21,66.18,89.0,462.0,87.0,3431.0,1440.0
163253,آمل - بابل (قديم),1396/01/25 00:00:00,1396/01/26 00:00:00,3094,2900,87,90,14,3,68.18,125.0,386.0,83.0,3094.0,1440.0
163253,آمل - بابل (قديم),1396/01/26 00:00:00,1396/01/27 00:00:00,3014,2415,204,364,14,17,65.64,80.0,366.0,79.0,3014.0,1440.0
163253,آمل - بابل (قديم),1396/01/27 00:00:00,1396/01/28 00:00:00,2803,2296,191,287,14,15,65.89,82.0,288.0,46.0,2803.0,1440.0
163253,آمل - بابل (قديم),1396/01/28 00:00:00,1396/01/29 00:00:00,2981,2401,222,329,11,18,65.76,73.0,350.0,71.0,2981.0,1440.0
163253,آمل - بابل (قديم),1396/01/29 00:00:00,1396/01/30 00:00:00,3029,2435,227,338,12,17,66.02,91.0,325.0,93.0,3029.0,1440.0
163253,آمل - بابل (قديم),1396/01/30 00:00:00,1396/01/31 00:00:00,3169,2617,218,310,8,16,66.27,104.0,349.0,75.0,3169.0,1440.0
163253,آمل - بابل (قديم),1396/01/31 00:00:00,1396/02/01 00:00:00,3343,2896,190,245,4,8,67.1,120.0,401.0,105.0,3343.0,1440.0
163253,آمل - بابل (قديم),1396/12/01 00:00:00,1396/12/02 00:00:00,2102,1867,106,102,11,16,68.0,96.0,210.0,65.0,2374.0,1430.0
163253,آمل - بابل (قديم),1396/12/02 00:00:00,1396/12/03 00:00:00,3059,2681,176,178,11,13,67.0,103.0,326.0,99.0,3059.0,1440.0
163253,آمل - بابل (قديم),1396/12/03 00:00:00,1396/12/04 00:00:00,3326,2965,159,168,15,19,69.0,146.0,401.0,82.0,3326.0,1440.0
163253,آمل - بابل (قديم),1396/12/04 00:00:00,1396/12/05 00:00:00,2747,2569,81,85,5,7,69.0,118.0,269.0,54.0,2747.0,1440.0
163253,آمل - بابل (قديم),1396/12/05 00:00:00,1396/12/06 00:00:00,2882,2451,213,186,12,20,67.0,113.0,317.0,80.0,2882.0,1440.0
163253,آمل - بابل (قديم),1396/12/06 00:00:00,1396/12/07 00:00:00,2960,2545,190,200,7,18,67.0,82.0,328.0,78.0,2960.0,1440.0
163253,آمل - بابل (قديم),1396/12/07 00:00:00,1396/12/08 00:00:00,1988,1665,172,128,8,15,68.0,83.0,221.0,100.0,2115.0,1440.0
163253,آمل - بابل (قديم),1396/12/08 00:00:00,1396/12/09 00:00:00,2302,1918,221,134,11,18,67.0,117.0,237.0,101.0,2402.0,1430.0
163253,آمل - بابل (قديم),1396/12/09 00:00:00,1396/12/10 00:00:00,1675,1352,172,111,14,26,66.0,117.0,116.0,118.0,2031.0,1440.0
163253,آمل - بابل (قديم),1396/12/10 00:00:00,1396/12/11 00:00:00,3274,2939,167,133,7,28,68.0,122.0,421.0,106.0,3274.0,1440.0
163253,آمل - بابل (قديم),1396/12/11 00:00:00,1396/12/12 00:00:00,1954,1775,105,55,10,9,70.0,155.0,178.0,75.0,2265.0,1430.0
163253,آمل - بابل (قديم),1396/12/12 00:00:00,1396/12/13 00:00:00,1009,792,116,62,13,26,72.0,104.0,69.0,81.0,1516.0,1359.0
163253,آمل - بابل (قديم),1396/12/13 00:00:00,1396/12/14 00:00:00,1905,1554,167,129,17,38,66.0,82.0,192.0,147.0,2029.0,1440.0
163253,آمل - بابل (قديم),1396/12/14 00:00:00,1396/12/15 00:00:00,1912,1529,171,166,13,33,68.0,95.0,194.0,146.0,2003.0,1440.0
163253,آمل - بابل (قديم),1396/12/15 00:00:00,1396/12/16 00:00:00,2873,2464,202,172,11,24,65.0,94.0,283.0,85.0,2887.0,1440.0
163253,آمل - بابل (قديم),1396/12/16 00:00:00,1396/12/17 00:00:00,2779,2433,192,126,12,16,66.0,102.0,268.0,81.0,2779.0,1440.0
163253,آمل - بابل (قديم),1396/12/17 00:00:00,1396/12/18 00:00:00,3278,2936,179,133,10,20,68.0,115.0,398.0,83.0,3334.0,1440.0
163253,آمل - بابل (قديم),1396/12/18 00:00:00,1396/12/19 00:00:00,2440,2221,91,98,10,20,69.0,154.0,198.0,88.0,2617.0,1440.0
163253,آمل - بابل (قديم),1396/12/19 00:00:00,1396/12/20 00:00:00,2325,1909,223,153,16,24,66.0,90.0,235.0,95.0,2377.0,1440.0
163253,آمل - بابل (قديم),1396/12/20 00:00:00,1396/12/21 00:00:00,2074,1778,163,103,13,17,67.0,94.0,168.0,104.0,2220.0,1440.0
163253,آمل - بابل (قديم),1396/12/21 00:00:00,1396/12/21 23:40:00,3015,2654,203,130,9,19,65.0,77.0,349.0,76.0,3040.0,1420.0
163253,آمل - بابل (قديم),1396/12/22 00:17:42,1396/12/23 00:00:00,2555,2173,209,146,15,12,66.0,81.0,229.0,83.0,2561.0,1423.0
163253,آمل - بابل (قديم),1396/12/23 00:00:00,1396/12/24 00:00:00,2974,2584,214,137,8,31,68.0,157.0,330.0,95.0,2974.0,1440.0
163253,آمل - بابل (قديم),1396/12/24 00:00:00,1396/12/25 00:00:00,3336,2961,204,140,15,16,68.0,161.0,394.0,117.0,3336.0,1440.0
163253,آمل - بابل (قديم),1396/12/25 00:00:00,1396/12/26 00:00:00,2665,2428,121,83,12,21,69.0,151.0,275.0,80.0,2665.0,1440.0
163253,آمل - بابل (قديم),1396/12/26 00:00:00,1396/12/27 00:00:00,2534,2166,184,150,12,22,66.0,107.0,225.0,70.0,2534.0,1440.0
163253,آمل - بابل (قديم),1396/12/27 00:00:00,1396/12/28 00:00:00,2736,2388,185,123,12,28,69.0,168.0,253.0,105.0,2736.0,1440.0
163253,آمل - بابل (قديم),1396/12/28 00:00:00,1396/12/29 00:00:00,3033,2757,131,105,17,23,68.0,113.0,329.0,123.0,3332.0,1435.0
163253,آمل - بابل (قديم),1396/12/29 00:00:00,1397/01/01 00:00:00,2829,2673,81,61,3,11,71.0,179.0,233.0,71.0,2829.0,1440.0
163253,آمل - بابل (قديم),1397/01/01 00:00:00,1397/01/02 00:00:00,3033,2996,15,17,3,2,70.0,126.0,387.0,68.0,3418.0,1326.0
163253,آمل - بابل (قديم),1397/01/02 00:00:00,1397/01/03 00:00:00,3235,3148,49,29,5,4,68.0,117.0,451.0,60.0,3241.0,1381.0
163253,آمل - بابل (قديم),1397/01/03 00:00:00,1397/01/04 00:00:00,3324,3237,36,39,5,7,69.0,117.0,492.0,73.0,3324.0,1440.0
163253,آمل - بابل (قديم),1397/01/04 00:00:00,1397/01/05 00:00:00,3387,3263,58,56,3,7,68.0,101.0,511.0,58.0,3387.0,1440.0
163253,آمل - بابل (قديم),1397/01/05 00:00:00,1397/01/06 00:00:00,3466,3272,100,75,9,10,68.0,133.0,498.0,77.0,3466.0,1440.0
163253,آمل - بابل (قديم),1397/01/06 00:00:00,1397/01/07 00:00:00,3369,3173,110,67,8,11,68.0,144.0,463.0,63.0,3369.0,1440.0
163253,آمل - بابل (قديم),1397/01/07 00:00:00,1397/01/08 00:00:00,3547,3304,114,106,13,10,68.0,118.0,491.0,89.0,3547.0,1440.0
163253,آمل - بابل (قديم),1397/01/08 00:00:00,1397/01/09 00:00:00,3969,3745,121,78,10,15,67.0,141.0,608.0,102.0,3969.0,1440.0
163253,آمل - بابل (قديم),1397/01/09 00:00:00,1397/01/10 00:00:00,4000,3755,124,100,9,12,67.0,126.0,625.0,95.0,4000.0,1440.0
163253,آمل - بابل (قديم),1397/01/10 00:00:00,1397/01/11 00:00:00,4050,3928,54,56,5,7,67.0,133.0,687.0,97.0,4050.0,1440.0
