Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/14 10:30:00,1401/12/14 23:55:00,805,9839,8291,610,373,146,419,83,2891,1730,0,9803
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/15 10:45:00,1401/12/16 00:00:00,795,9803,8257,608,373,146,419,83,2877,1729,0,15594
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/16 00:00:00,1401/12/17 00:00:00,1440,16743,14271,1004,682,208,578,81,4379,3021,0,16743
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/17 00:00:00,1401/12/18 00:00:00,1440,13688,11488,861,572,185,582,80,3421,1889,0,13688
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/18 00:00:00,1401/12/19 00:00:00,1440,15277,13212,812,565,201,487,83,4882,2464,0,15277
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/19 00:00:00,1401/12/20 00:00:00,1440,13464,11837,595,418,178,436,84,4707,1951,0,13464
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/20 00:00:00,1401/12/21 00:00:00,1435,15931,13738,849,496,210,638,84,5134,2786,0,16030
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/21 00:00:00,1401/12/22 00:00:00,1440,16196,13710,1023,626,201,636,79,3168,2798,0,16196
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/22 00:00:00,1401/12/23 00:00:00,1440,16156,13800,1003,573,210,570,79,3235,2703,0,16156
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/23 00:00:00,1401/12/24 00:00:00,1440,16258,13766,1004,634,257,597,79,3249,2643,0,16258
163370,کمربندي جنوبي بابل (آمل - بابل),1401/12/24 00:00:00,1401/12/25 00:00:00,1440,16647,14009,1184,658,221,575,77,2856,2850,0,16647
