Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163205,آمل - محمودآباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1160.0,24906,23313,1001,260,142,190,74.0,32629.0,574.0,2988.0,0.0
163205,آمل - محمودآباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1165.0,20268,19357,487,209,103,112,77.0,26139.0,782.0,1940.0,0.0
163205,آمل - محمودآباد,1398/12/03 00:00:00,1398/12/03 23:00:00,1320.0,28687,26614,1418,310,148,197,77.0,30775.0,885.0,3469.0,0.0
163205,آمل - محمودآباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1160.0,23751,21883,1239,317,147,165,78.0,30418.0,847.0,2796.0,0.0
163205,آمل - محمودآباد,1398/12/05 00:00:00,1398/12/06 00:00:00,1330.0,27090,25028,1376,322,146,218,77.0,30482.0,838.0,2927.0,0.0
163205,آمل - محمودآباد,1398/12/06 00:00:00,1398/12/06 23:50:00,1370.0,26861,24767,1375,362,137,220,75.0,28500.0,883.0,2853.0,0.0
163205,آمل - محمودآباد,1398/12/07 00:45:00,1398/12/08 00:00:00,1340.0,24657,23140,984,237,141,155,74.0,26298.0,514.0,2304.0,0.0
163205,آمل - محمودآباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,27701,26061,1037,289,145,169,76.0,30729.0,971.0,3089.0,0.0
163205,آمل - محمودآباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1275.0,19618,18559,605,210,86,158,78.0,23130.0,1077.0,1460.0,0.0
163205,آمل - محمودآباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1380.0,26994,25023,1332,308,141,190,77.0,28625.0,1015.0,2717.0,0.0
163205,آمل - محمودآباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,25147,23281,1251,247,143,225,74.0,26842.0,705.0,2040.0,0.0
163205,آمل - محمودآباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,23246,21533,1189,231,126,167,72.0,23847.0,389.0,1578.0,0.0
