Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,12947,10575,1309,918,83,62,74.0,122.0,1102.0,0.0,12947.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,15755,14463,614,532,85,61,81.0,284.0,2188.0,0.0,15755.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,18783,12576,2823,3173,133,78,75.0,162.0,2750.0,0.0,18783.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,17056,11231,2824,2807,114,80,75.0,151.0,2169.0,0.0,17056.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,15692,10124,2433,2933,144,58,74.0,141.0,1932.0,0.0,15692.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,13985,8882,2520,2452,77,54,71.0,117.0,1764.0,0.0,13985.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,8137,5933,1043,1090,49,22,70.0,46.0,753.0,0.0,9721.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,12268,10307,1058,785,74,44,78.0,188.0,1095.0,0.0,12268.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,14230,12692,727,688,89,34,79.0,273.0,1647.0,0.0,14230.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,16756,10585,2986,3020,113,52,74.0,147.0,2017.0,0.0,16756.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,14902,9285,2675,2798,97,47,71.0,96.0,1635.0,0.0,14902.0
163257,آمل - رودهن (آمل - پارک جنگلي آمل),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,12165,7030,2455,2566,63,51,68.0,48.0,918.0,0.0,12165.0
