Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/01 00:00:00,1400/01/01 23:40:00,1305,18731,18418,118,69,87,39,61,607,1482,0,20642
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/02 01:15:00,1400/01/03 00:00:00,1225,19762,19376,164,91,99,32,59,776,1679,0,22467
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/03 00:00:00,1400/01/04 00:00:00,1415,20770,20212,279,101,98,80,61,927,1762,0,21210
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/04 00:00:00,1400/01/05 00:00:00,1315,11626,11190,210,79,110,37,60,431,743,0,12392
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/05 00:00:00,1400/01/06 00:00:00,1245,10521,10088,202,103,103,25,56,179,459,0,12841
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/06 00:00:00,1400/01/07 00:00:00,1245,11159,10709,214,85,104,47,60,504,595,0,13210
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/07 00:00:00,1400/01/08 00:00:00,1315,13320,12701,293,147,124,55,60,644,899,0,14645
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/08 00:00:00,1400/01/09 00:00:00,1265,12878,12103,421,175,96,83,61,664,916,0,15064
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/09 00:00:00,1400/01/10 00:00:00,1400,12261,11579,343,170,127,42,60,567,736,0,12695
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/10 00:00:00,1400/01/11 00:00:00,1365,10366,9683,376,155,110,42,59,459,510,0,10847
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/11 00:00:00,1400/01/11 23:55:00,1395,8535,7800,382,175,109,69,60,490,378,0,8872
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/12 00:00:00,1400/01/13 00:00:00,1370,5347,4846,192,133,128,48,59,305,150,0,5712
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/13 00:00:00,1400/01/14 00:00:00,1435,2889,2603,95,58,95,38,59,149,61,0,2894
163221,رودهن -آمل ( امامزاده هاشم- پلور),1400/01/14 00:00:00,1400/01/15 00:00:00,1425,4811,4211,275,143,105,77,61,368,132,0,5263
