Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
163201,بابل - آمل (بزرگراه),1396/01/01 00:00:00,1396/01/02 00:00:00,28495,27355,416,314,203,207,73.62,328.0,8025.0,0.0,28495.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/02 00:00:00,1396/01/03 00:00:00,31149,29775,460,421,218,275,72.54,220.0,10102.0,0.0,31267.0,1381.0
163201,بابل - آمل (بزرگراه),1396/01/03 00:00:00,1396/01/04 00:00:00,35515,34098,455,451,226,285,72.17,302.0,12412.0,0.0,35510.0,1441.0
163201,بابل - آمل (بزرگراه),1396/01/04 00:00:00,1396/01/05 00:00:00,36791,35170,618,474,245,284,69.74,232.0,13555.0,0.0,36791.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/05 00:00:00,1396/01/06 00:00:00,41568,39334,786,803,290,355,70.87,325.0,15494.0,0.0,41568.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/06 00:00:00,1396/01/07 00:00:00,41269,38712,856,985,315,401,71.21,367.0,15106.0,0.0,41233.0,1441.0
163201,بابل - آمل (بزرگراه),1396/01/07 00:00:00,1396/01/08 00:00:00,41477,38825,774,1116,332,430,71.16,307.0,15155.0,0.0,41477.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/08 00:00:00,1396/01/09 00:00:00,39679,37035,936,1026,321,361,68.9,437.0,13859.0,0.0,39679.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/09 00:00:00,1396/01/10 00:00:00,38474,35804,794,1126,307,443,70.28,299.0,13770.0,0.0,39135.0,1374.0
163201,بابل - آمل (بزرگراه),1396/01/10 00:00:00,1396/01/11 00:00:00,40640,37923,877,1089,303,448,70.17,333.0,14957.0,0.0,40640.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/11 00:00:00,1396/01/12 00:00:00,38248,36452,554,625,275,342,68.96,308.0,13597.0,0.0,38205.0,1441.0
163201,بابل - آمل (بزرگراه),1396/01/12 00:00:00,1396/01/13 00:00:00,31855,30299,536,547,175,298,69.0,165.0,9060.0,0.0,31855.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/13 00:00:00,1396/01/14 00:00:00,27125,26189,318,290,142,186,71.63,137.0,6526.0,0.0,27088.0,1442.0
163201,بابل - آمل (بزرگراه),1396/01/14 00:00:00,1396/01/15 00:00:00,30602,28724,587,725,246,320,70.14,134.0,8544.0,0.0,30602.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/15 00:00:00,1396/01/16 00:00:00,32290,29303,936,1336,280,435,71.48,244.0,10415.0,0.0,33712.0,1367.0
163201,بابل - آمل (بزرگراه),1396/01/16 00:00:00,1396/01/17 00:00:00,34723,31070,1203,1559,377,514,72.58,341.0,10942.0,0.0,34723.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/17 00:00:00,1396/01/18 00:00:00,34741,31291,1099,1478,353,520,72.37,329.0,10742.0,0.0,34741.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/18 00:00:00,1396/01/19 00:00:00,31056,28869,625,869,270,423,71.46,256.0,8898.0,0.0,31333.0,1367.0
163201,بابل - آمل (بزرگراه),1396/01/19 00:00:00,1396/01/20 00:00:00,36486,32177,1445,1925,373,566,72.69,320.0,11808.0,0.0,36486.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/20 00:00:00,1396/01/21 00:00:00,34431,30116,1461,1900,370,584,72.55,269.0,10987.0,0.0,34431.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/21 00:00:00,1396/01/22 00:00:00,35441,31122,1444,1857,399,619,71.84,260.0,11609.0,0.0,35441.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/22 00:00:00,1396/01/23 00:00:00,28319,24986,981,1528,288,536,72.36,191.0,7082.0,0.0,28319.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/23 00:00:00,1396/01/24 00:00:00,35166,31317,1198,1726,322,603,71.37,272.0,11163.0,0.0,35166.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/24 00:00:00,1396/01/25 00:00:00,34618,30965,1193,1543,356,561,73.03,306.0,10866.0,0.0,34618.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/25 00:00:00,1396/01/26 00:00:00,32007,29823,656,848,268,412,72.36,268.0,9504.0,0.0,32007.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/26 00:00:00,1396/01/27 00:00:00,36406,31981,1523,2046,323,533,72.56,323.0,12026.0,0.0,36406.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/27 00:00:00,1396/01/28 00:00:00,33539,29134,1355,2106,374,570,71.51,222.0,10492.0,0.0,33539.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/28 00:00:00,1396/01/29 00:00:00,35104,30495,1535,2070,398,606,72.73,297.0,11579.0,0.0,35104.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/29 00:00:00,1396/01/30 00:00:00,35020,30153,1639,2251,402,575,73.07,345.0,11327.0,0.0,35020.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/30 00:00:00,1396/01/31 00:00:00,35948,31505,1494,1937,400,612,72.23,296.0,11849.0,0.0,35948.0,1440.0
163201,بابل - آمل (بزرگراه),1396/01/31 00:00:00,1396/02/01 00:00:00,34590,30909,1214,1528,383,556,72.79,323.0,10875.0,0.0,34590.0,1440.0
163201,بابل - آمل (بزرگراه),1396/12/01 00:00:00,1396/12/02 00:00:00,29762,26018,973,1198,1425,148,74.0,229.0,8254.0,0.0,29762.0,1440.0
163201,بابل - آمل (بزرگراه),1396/12/02 00:00:00,1396/12/03 00:00:00,38055,34022,1184,1120,1559,170,73.0,344.0,13955.0,0.0,38055.0,1440.0
163201,بابل - آمل (بزرگراه),1396/12/03 00:00:00,1396/12/04 00:00:00,35792,32234,1062,929,1406,161,72.0,342.0,12131.0,0.0,35792.0,1440.0
163201,بابل - آمل (بزرگراه),1396/12/04 00:00:00,1396/12/05 00:00:00,33569,31267,561,556,1068,117,73.0,338.0,10691.0,0.0,33569.0,1440.0
163201,بابل - آمل (بزرگراه),1396/12/05 00:00:00,1396/12/06 00:00:00,37781,33195,1465,1347,1624,150,74.0,374.0,13406.0,0.0,37781.0,1440.0
163201,بابل - آمل (بزرگراه),1396/12/06 00:00:00,1396/12/07 00:00:00,36895,32225,1536,1307,1667,160,73.0,331.0,13247.0,0.0,36895.0,1440.0
