Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
163203,بابل - آمل (قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,3226,3171,28,21,3,3,65.63,78.0,364.0,82.0,3226.0,1440.0
163203,بابل - آمل (قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,3116,3042,38,29,4,3,66.35,84.0,373.0,64.0,3127.0,1380.0
163203,بابل - آمل (قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,3495,3394,51,37,7,6,66.02,99.0,483.0,70.0,3495.0,1440.0
163203,بابل - آمل (قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,3236,3173,24,33,1,5,64.02,65.0,382.0,64.0,3236.0,1440.0
163203,بابل - آمل (قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,3659,3506,81,57,10,5,66.29,115.0,454.0,123.0,3659.0,1440.0
163203,بابل - آمل (قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,3928,3713,95,102,11,7,66.12,139.0,469.0,129.0,3924.0,1441.0
163203,بابل - آمل (قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,3912,3639,110,128,17,18,65.97,135.0,511.0,107.0,3911.0,1441.0
163203,بابل - آمل (قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,4078,3773,123,160,8,14,64.85,120.0,513.0,141.0,4078.0,1440.0
163203,بابل - آمل (قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,3955,3650,115,161,8,21,65.69,145.0,492.0,131.0,3955.0,1440.0
163203,بابل - آمل (قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,4487,4196,134,129,11,17,65.86,132.0,662.0,145.0,4487.0,1440.0
163203,بابل - آمل (قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,4427,4270,71,73,10,3,65.69,110.0,712.0,128.0,4423.0,1441.0
163203,بابل - آمل (قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,3495,3352,78,55,7,3,63.33,79.0,363.0,105.0,3495.0,1440.0
163203,بابل - آمل (قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,3833,3769,33,23,7,1,65.31,84.0,469.0,95.0,3828.0,1441.0
163203,بابل - آمل (قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,2841,2640,118,66,3,14,62.15,34.0,221.0,71.0,2841.0,1440.0
163203,بابل - آمل (قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,3337,2834,172,306,9,16,65.51,96.0,316.0,99.0,3337.0,1440.0
163203,بابل - آمل (قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,3515,3084,174,227,10,20,65.95,115.0,378.0,141.0,3515.0,1440.0
163203,بابل - آمل (قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,3699,3322,167,187,12,11,65.96,137.0,430.0,125.0,3699.0,1440.0
163203,بابل - آمل (قديم),1396/01/18 00:00:00,1396/01/19 00:00:00,3750,3578,75,83,7,7,65.39,117.0,452.0,116.0,3750.0,1440.0
163203,بابل - آمل (قديم),1396/01/19 00:00:00,1396/01/20 00:00:00,3509,2816,261,407,10,15,66.65,116.0,324.0,148.0,3509.0,1440.0
163203,بابل - آمل (قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,3480,2796,253,403,11,17,66.67,113.0,380.0,126.0,3480.0,1440.0
163203,بابل - آمل (قديم),1396/01/21 00:00:00,1396/01/22 00:00:00,3175,2612,250,284,16,13,65.43,86.0,317.0,113.0,3669.0,1418.0
163203,بابل - آمل (قديم),1396/01/22 00:00:00,1396/01/23 00:00:00,3013,2614,141,237,11,10,65.38,70.0,280.0,106.0,3013.0,1440.0
163203,بابل - آمل (قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,3142,2728,169,219,13,13,63.69,59.0,272.0,121.0,3142.0,1440.0
163203,بابل - آمل (قديم),1396/01/24 00:00:00,1396/01/25 00:00:00,3582,3175,185,198,4,20,65.88,123.0,440.0,131.0,3582.0,1440.0
163203,بابل - آمل (قديم),1396/01/25 00:00:00,1396/01/26 00:00:00,3624,3437,89,83,12,3,67.61,151.0,422.0,111.0,3624.0,1440.0
163203,بابل - آمل (قديم),1396/01/26 00:00:00,1396/01/27 00:00:00,3310,2723,232,335,10,10,66.21,95.0,336.0,123.0,3310.0,1440.0
163203,بابل - آمل (قديم),1396/01/27 00:00:00,1396/01/28 00:00:00,3053,2552,205,277,7,12,65.51,93.0,258.0,103.0,3053.0,1440.0
163203,بابل - آمل (قديم),1396/01/28 00:00:00,1396/01/29 00:00:00,3297,2703,242,331,10,11,67.46,123.0,358.0,139.0,3297.0,1440.0
163203,بابل - آمل (قديم),1396/01/29 00:00:00,1396/01/30 00:00:00,3215,2653,221,319,12,10,67.84,126.0,365.0,112.0,3215.0,1440.0
