Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163301,بابل - بابلسر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,31013,30103,400,379,71,60,60.0,31013.0,57.0,10471.0,0.0
163301,بابل - بابلسر,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,25617,25055,272,185,44,61,63.0,25617.0,50.0,7081.0,0.0
163301,بابل - بابلسر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,28175,27247,450,365,62,51,62.0,28175.0,63.0,8814.0,0.0
163301,بابل - بابلسر,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,26101,25241,397,343,48,72,63.0,26101.0,58.0,7362.0,0.0
163301,بابل - بابلسر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,26179,25302,386,385,54,52,62.0,26179.0,46.0,7478.0,0.0
163301,بابل - بابلسر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,25184,24375,367,343,46,53,61.0,25184.0,32.0,6997.0,0.0
163301,بابل - بابلسر,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,23323,22634,315,292,54,28,59.0,23323.0,31.0,6325.0,0.0
163301,بابل - بابلسر,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,26784,25766,519,399,57,43,62.0,26784.0,45.0,7868.0,0.0
163301,بابل - بابلسر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,21267,20760,234,200,29,44,63.0,21267.0,37.0,4950.0,0.0
163301,بابل - بابلسر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,24683,23897,386,313,42,45,63.0,24683.0,42.0,6634.0,0.0
163301,بابل - بابلسر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,23138,22354,371,319,44,50,62.0,23138.0,41.0,6005.0,0.0
163301,بابل - بابلسر,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,20214,19588,320,231,44,31,59.0,20214.0,23.0,4752.0,0.0
163301,بابل - بابلسر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,21107,20474,299,279,23,32,61.0,21107.0,34.0,5163.0,0.0
163301,بابل - بابلسر,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,23335,22565,392,301,32,45,63.0,23335.0,44.0,6244.0,0.0
163301,بابل - بابلسر,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,24828,24034,370,330,42,52,63.0,24828.0,60.0,6806.0,0.0
163301,بابل - بابلسر,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,16863,16470,167,167,22,37,63.0,16863.0,34.0,3237.0,0.0
163301,بابل - بابلسر,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,17923,17355,254,249,30,35,64.0,17923.0,29.0,3591.0,0.0
163301,بابل - بابلسر,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,14607,14163,215,188,19,22,64.0,14607.0,22.0,2103.0,0.0
163301,بابل - بابلسر,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,18333,17753,287,236,27,30,64.0,18333.0,37.0,3740.0,0.0
163301,بابل - بابلسر,1398/12/20 00:00:00,1398/12/21 00:00:00,1430.0,18286,17676,288,251,33,38,64.0,18484.0,33.0,3787.0,0.0
163301,بابل - بابلسر,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,18699,18033,305,296,22,43,63.0,18699.0,41.0,4056.0,0.0
