Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163256,بابل - فريدونکنار,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,6239,5297,389,317,80,156,66.0,6239.0,114.0,507.0,0.0
163256,بابل - فريدونکنار,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,5171,4427,331,259,65,89,67.0,5171.0,67.0,378.0,0.0
163256,بابل - فريدونکنار,1398/12/03 00:00:00,1398/12/04 00:00:00,1430.0,5328,4778,294,202,22,32,66.0,5380.0,40.0,435.0,0.0
163256,بابل - فريدونکنار,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,4959,4568,196,160,18,17,67.0,4959.0,20.0,347.0,0.0
163256,بابل - فريدونکنار,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,5306,4801,282,193,11,19,66.0,5306.0,26.0,457.0,0.0
163256,بابل - فريدونکنار,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,5115,4671,245,153,15,31,65.0,5115.0,18.0,396.0,0.0
163256,بابل - فريدونکنار,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,4695,4415,117,140,8,15,64.0,4695.0,13.0,353.0,0.0
163256,بابل - فريدونکنار,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,5486,4992,273,172,17,32,66.0,5486.0,16.0,448.0,0.0
163256,بابل - فريدونکنار,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,4911,4266,276,226,62,81,68.0,4911.0,56.0,463.0,0.0
163256,بابل - فريدونکنار,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,5297,4468,426,272,59,72,67.0,5297.0,60.0,399.0,0.0
163256,بابل - فريدونکنار,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,5071,4269,369,269,80,84,66.0,5071.0,55.0,370.0,0.0
163256,بابل - فريدونکنار,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,4398,4013,158,162,20,45,63.0,4398.0,18.0,231.0,0.0
163256,بابل - فريدونکنار,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,4663,4275,166,166,16,40,64.0,4663.0,17.0,283.0,0.0
163256,بابل - فريدونکنار,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,5030,4320,346,265,42,57,68.0,5030.0,44.0,353.0,0.0
163256,بابل - فريدونکنار,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,5241,4624,326,205,27,59,68.0,5241.0,45.0,416.0,0.0
163256,بابل - فريدونکنار,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,4230,3659,276,216,41,38,67.0,4230.0,50.0,220.0,0.0
163256,بابل - فريدونکنار,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,4805,4384,213,153,17,38,65.0,4805.0,20.0,313.0,0.0
163256,بابل - فريدونکنار,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,3993,3365,276,239,59,54,68.0,3993.0,59.0,216.0,0.0
163256,بابل - فريدونکنار,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,4455,3856,290,244,27,38,67.0,4455.0,40.0,263.0,0.0
163256,بابل - فريدونکنار,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,5579,4768,334,276,73,128,68.0,5616.0,62.0,894.0,0.0
163256,بابل - فريدونکنار,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,4416,3842,282,218,33,41,65.0,4416.0,30.0,324.0,0.0
163256,بابل - فريدونکنار,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,4608,4038,276,212,48,34,68.0,4668.0,45.0,360.0,0.0
163256,بابل - فريدونکنار,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,3408,2960,217,169,34,28,67.0,3408.0,34.0,121.0,0.0
163256,بابل - فريدونکنار,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,4291,3717,284,220,42,28,67.0,4291.0,45.0,243.0,0.0
163256,بابل - فريدونکنار,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,4318,3847,227,174,28,42,67.0,4318.0,34.0,211.0,0.0
163256,بابل - فريدونکنار,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,4159,3629,256,193,49,32,68.0,4159.0,49.0,258.0,0.0
163256,بابل - فريدونکنار,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,4107,3871,112,107,4,13,66.0,4107.0,5.0,264.0,0.0
163256,بابل - فريدونکنار,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,4161,3936,115,83,13,14,66.0,4161.0,8.0,265.0,0.0
163256,بابل - فريدونکنار,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,4391,3731,297,213,34,116,70.0,4391.0,85.0,261.0,0.0
163256,بابل - فريدونکنار,1400/01/01 00:00:00,1400/01/02 00:00:00,1400.0,5484,5466,12,4,2,0,62.0,5825.0,81.0,193.0,0.0
163256,بابل - فريدونکنار,1400/01/02 00:00:00,1400/01/03 00:00:00,1380.0,5522,5490,23,5,1,3,64.0,5603.0,85.0,176.0,0.0
163256,بابل - فريدونکنار,1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,5921,5886,22,3,4,6,65.0,5921.0,102.0,147.0,0.0
163256,بابل - فريدونکنار,1400/01/04 00:00:00,1400/01/05 00:00:00,1380.0,5931,5902,24,1,2,2,63.0,6249.0,89.0,125.0,0.0
163256,بابل - فريدونکنار,1400/01/05 00:00:00,1400/01/06 00:00:00,1405.0,5898,5862,25,6,1,4,64.0,6190.0,74.0,140.0,0.0
163256,بابل - فريدونکنار,1400/01/06 00:00:00,1400/01/07 00:00:00,1430.0,5599,5573,21,2,0,3,63.0,5603.0,65.0,151.0,0.0
163256,بابل - فريدونکنار,1400/01/07 00:00:00,1400/01/07 23:30:00,1375.0,5687,5634,37,12,2,2,62.0,5898.0,63.0,155.0,0.0
163256,بابل - فريدونکنار,1400/01/08 00:05:00,1400/01/09 00:00:00,1435.0,5881,5834,38,4,2,3,64.0,5902.0,56.0,155.0,0.0
