Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163302,بابل - قائمشهر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,34494,29345,1606,1998,497,1048,83.0,34494.0,894.0,10963.0,0.0
163302,بابل - قائمشهر,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,25011,20985,1430,1699,403,494,87.0,25011.0,762.0,6300.0,0.0
163302,بابل - قائمشهر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,25922,23588,721,818,351,444,81.0,25922.0,240.0,9978.0,0.0
163302,بابل - قائمشهر,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,22227,20533,533,648,224,289,78.0,22227.0,73.0,9903.0,0.0
163302,بابل - قائمشهر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,25461,22960,704,831,369,597,82.0,25461.0,300.0,9540.0,0.0
163302,بابل - قائمشهر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,23558,20493,676,1267,455,667,80.0,23558.0,445.0,8824.0,0.0
163302,بابل - قائمشهر,1398/12/07 00:00:00,1398/12/08 00:00:00,1400.0,17581,16201,392,610,133,245,73.0,18307.0,24.0,7452.0,0.0
163302,بابل - قائمشهر,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,25255,22717,709,1086,226,517,76.0,25255.0,49.0,9439.0,0.0
163302,بابل - قائمشهر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,25389,22496,837,1196,242,618,77.0,25389.0,27.0,6200.0,0.0
163302,بابل - قائمشهر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,33191,29391,1161,1587,306,746,76.0,33191.0,55.0,11366.0,0.0
163302,بابل - قائمشهر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,31563,27719,1189,1687,274,694,74.0,31563.0,59.0,10825.0,0.0
163302,بابل - قائمشهر,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,28010,24592,1031,1502,238,647,73.0,28010.0,31.0,8223.0,0.0
163302,بابل - قائمشهر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,28795,25312,1099,1514,230,640,74.0,28795.0,32.0,8858.0,0.0
163302,بابل - قائمشهر,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,30892,27113,1162,1610,280,727,76.0,30892.0,65.0,9981.0,0.0
163302,بابل - قائمشهر,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,30183,26659,1043,1505,263,713,76.0,30183.0,60.0,9449.0,0.0
163302,بابل - قائمشهر,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,22033,19413,764,1109,210,537,77.0,22033.0,28.0,4533.0,0.0
163302,بابل - قائمشهر,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,27012,23681,966,1498,252,615,76.0,27012.0,50.0,7564.0,0.0
163302,بابل - قائمشهر,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,20554,17844,814,1169,186,541,77.0,20554.0,24.0,4017.0,0.0
163302,بابل - قائمشهر,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,26549,23377,977,1327,247,621,77.0,26549.0,31.0,7229.0,0.0
163302,بابل - قائمشهر,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,25905,22607,967,1419,252,660,77.0,25905.0,31.0,6856.0,0.0
163302,بابل - قائمشهر,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,25857,22600,985,1407,247,618,77.0,25857.0,35.0,6863.0,0.0
163302,بابل - قائمشهر,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,24394,21374,877,1292,213,638,76.0,24394.0,23.0,6115.0,0.0
163302,بابل - قائمشهر,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,17165,14971,623,918,184,469,77.0,17165.0,20.0,2644.0,0.0
163302,بابل - قائمشهر,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,25276,22321,868,1304,192,591,78.0,25276.0,29.0,6382.0,0.0
163302,بابل - قائمشهر,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,25002,21791,951,1329,238,693,77.0,25002.0,42.0,6357.0,0.0
163302,بابل - قائمشهر,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,25092,22066,957,1286,212,571,77.0,25092.0,25.0,6214.0,0.0
163302,بابل - قائمشهر,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,23977,21085,905,1177,211,599,76.0,23977.0,27.0,5562.0,0.0
163302,بابل - قائمشهر,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,23249,20570,832,1149,194,504,77.0,23249.0,21.0,5228.0,0.0
163302,بابل - قائمشهر,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,18698,16574,639,908,154,423,78.0,18698.0,17.0,3114.0,0.0
163302,بابل - قائمشهر,1400/01/01 00:00:00,1400/01/02 00:00:00,1365.0,22917,22194,235,172,112,204,82.0,24781.0,338.0,2653.0,0.0
163302,بابل - قائمشهر,1400/01/02 00:00:00,1400/01/03 00:00:00,1300.0,25218,24279,363,170,154,252,80.0,27723.0,260.0,3588.0,0.0
163302,بابل - قائمشهر,1400/01/03 00:00:00,1400/01/04 00:00:00,1295.0,26998,25821,532,224,174,247,78.0,31525.0,263.0,3831.0,0.0
163302,بابل - قائمشهر,1400/01/04 00:00:00,1400/01/05 00:00:00,1215.0,30532,29082,699,320,189,242,75.0,38478.0,185.0,6199.0,0.0
163302,بابل - قائمشهر,1400/01/05 00:00:00,1400/01/06 00:00:00,1440.0,37376,35494,838,440,225,379,78.0,37376.0,252.0,6826.0,0.0
163302,بابل - قائمشهر,1400/01/06 00:00:00,1400/01/07 00:00:00,1440.0,37605,35870,755,421,232,327,78.0,37605.0,207.0,6861.0,0.0
163302,بابل - قائمشهر,1400/01/07 00:00:00,1400/01/08 00:00:00,1400.0,37167,34726,1153,568,276,444,76.0,38549.0,207.0,7026.0,0.0
163302,بابل - قائمشهر,1400/01/08 00:00:00,1400/01/09 00:00:00,1440.0,36770,34116,1225,632,267,530,75.0,36770.0,125.0,6644.0,0.0
163302,بابل - قائمشهر,1400/01/09 00:00:00,1400/01/10 00:00:00,1440.0,36837,34201,1206,610,263,557,77.0,36837.0,222.0,6792.0,0.0
163302,بابل - قائمشهر,1400/01/10 00:00:00,1400/01/11 00:00:00,1400.0,39033,36193,1397,629,271,543,76.0,40443.0,240.0,8988.0,0.0
163302,بابل - قائمشهر,1400/01/11 00:00:00,1400/01/11 23:55:00,1360.0,40373,37512,1413,668,277,503,74.0,42252.0,308.0,12294.0,0.0
163302,بابل - قائمشهر,1400/01/12 00:00:00,1400/01/13 00:00:00,1440.0,33647,31501,898,486,256,506,78.0,33647.0,208.0,5564.0,0.0
163302,بابل - قائمشهر,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,23725,22902,276,184,123,240,81.0,23725.0,359.0,2569.0,0.0
163302,بابل - قائمشهر,1400/01/14 00:00:00,1400/01/15 00:00:00,1405.0,38330,35778,1293,605,219,435,70.0,39515.0,270.0,11025.0,0.0
