Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163305,بابل - کياکلا,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,5167,5050,94,15,3,5,64.0,5176.0,183.0,218.0,137.0
163305,بابل - کياکلا,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,4298,4240,43,7,2,6,66.0,4302.0,202.0,185.0,119.0
163305,بابل - کياکلا,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,4830,4677,136,12,2,3,66.0,4838.0,215.0,269.0,131.0
163305,بابل - کياکلا,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,4887,4739,120,17,3,8,66.0,4898.0,255.0,355.0,162.0
163305,بابل - کياکلا,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,4724,4555,148,13,2,6,66.0,4734.0,293.0,269.0,120.0
163305,بابل - کياکلا,1398/12/06 00:00:00,1398/12/07 00:00:00,1270.0,3889,3720,158,5,2,4,65.0,4459.0,184.0,192.0,111.0
163305,بابل - کياکلا,1398/12/07 00:00:00,1398/12/08 00:00:00,1380.0,3694,3607,74,9,1,3,65.0,3769.0,156.0,146.0,107.0
163305,بابل - کياکلا,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,4542,4416,100,20,2,4,67.0,4551.0,236.0,252.0,142.0
163305,بابل - کياکلا,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,4008,3892,91,18,1,6,67.0,4011.0,236.0,206.0,124.0
163305,بابل - کياکلا,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,4593,4446,121,19,2,5,64.0,4603.0,184.0,213.0,94.0
163305,بابل - کياکلا,1398/12/11 00:00:00,1398/12/12 00:00:00,1375.0,4089,3926,144,11,3,5,65.0,4301.0,170.0,224.0,109.0
163305,بابل - کياکلا,1398/12/12 00:00:00,1398/12/13 00:00:00,1385.0,3270,3173,78,13,2,4,65.0,3506.0,149.0,104.0,92.0
