Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163254,بابل - گتاب,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,20842,19959,675,106,29,73,71.0,20872.0,167.0,2297.0,0.0
163254,بابل - گتاب,1398/12/02 00:00:00,1398/12/03 00:00:00,1380.0,14585,13884,590,60,8,43,75.0,15531.0,258.0,1260.0,0.0
163254,بابل - گتاب,1398/12/03 00:00:00,1398/12/04 00:00:00,1285.0,14851,13980,712,71,26,62,73.0,16977.0,149.0,1362.0,0.0
163254,بابل - گتاب,1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,14374,13498,703,98,19,56,74.0,16266.0,169.0,1315.0,0.0
163254,بابل - گتاب,1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,15324,14382,741,101,26,74,74.0,16352.0,219.0,1505.0,0.0
163254,بابل - گتاب,1398/12/06 00:00:00,1398/12/07 00:00:00,1380.0,14609,13732,695,103,23,56,72.0,15499.0,134.0,1395.0,0.0
163254,بابل - گتاب,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,14609,13948,524,69,15,53,71.0,14628.0,117.0,1017.0,0.0
163254,بابل - گتاب,1398/12/08 00:00:00,1398/12/09 00:00:00,1380.0,16892,15944,771,94,23,60,75.0,18024.0,249.0,1858.0,0.0
163254,بابل - گتاب,1398/12/09 00:00:00,1398/12/09 23:15:00,1390.0,14453,13763,569,73,16,32,76.0,14728.0,286.0,1206.0,0.0
163254,بابل - گتاب,1398/12/10 00:10:00,1398/12/11 00:00:00,1315.0,14145,13157,800,95,23,70,75.0,15782.0,216.0,1413.0,0.0
163254,بابل - گتاب,1398/12/11 00:00:00,1398/12/11 03:20:00,200.0,368,332,24,5,1,6,76.0,15080.0,6.0,13.0,0.0
163254,بابل - گتاب,1398/12/12 13:15:00,1398/12/13 00:00:00,645.0,7477,7101,287,47,8,34,70.0,14098.0,50.0,533.0,0.0
163254,بابل - گتاب,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,13090,12346,563,100,14,67,71.0,13921.0,108.0,1058.0,0.0
163254,بابل - گتاب,1398/12/14 00:00:00,1398/12/15 00:00:00,1270.0,12949,12054,720,84,21,70,75.0,15741.0,197.0,1152.0,0.0
163254,بابل - گتاب,1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,16052,15100,752,96,29,75,75.0,17250.0,261.0,1600.0,0.0
163254,بابل - گتاب,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,13710,13019,576,69,13,33,75.0,13727.0,230.0,1071.0,0.0
163254,بابل - گتاب,1398/12/17 00:00:00,1398/12/18 00:00:00,1325.0,12472,11733,576,69,17,77,73.0,14140.0,159.0,1082.0,0.0
163254,بابل - گتاب,1398/12/18 00:00:00,1398/12/19 00:00:00,1380.0,11986,11211,613,71,22,69,75.0,12266.0,203.0,893.0,0.0
163254,بابل - گتاب,1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,13537,12676,681,90,12,78,75.0,13609.0,207.0,1137.0,0.0
163254,بابل - گتاب,1398/12/20 00:00:00,1398/12/21 00:00:00,1375.0,12909,12084,664,93,10,58,75.0,13755.0,258.0,1016.0,0.0
163254,بابل - گتاب,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,13506,12694,639,87,20,66,74.0,13535.0,214.0,1148.0,0.0
163254,بابل - گتاب,1398/12/22 00:00:00,1398/12/23 00:00:00,1380.0,13417,12652,626,75,16,48,75.0,14384.0,230.0,1160.0,0.0
163254,بابل - گتاب,1398/12/23 00:00:00,1398/12/23 10:20:00,560.0,2151,2003,109,17,2,20,73.0,11345.0,29.0,117.0,0.0
163254,بابل - گتاب,1398/12/24 12:55:00,1398/12/25 00:00:00,640.0,7294,6917,301,42,5,29,76.0,13178.0,153.0,667.0,0.0
163254,بابل - گتاب,1398/12/25 00:00:00,1398/12/26 00:00:00,1260.0,10664,10048,498,61,15,42,76.0,13359.0,218.0,872.0,0.0
163254,بابل - گتاب,1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,13713,13032,525,90,12,54,75.0,13691.0,225.0,1186.0,0.0
