Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163351,بابلسر - بابل,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,29744,28682,473,426,109,54,50.0,29744.0,62.0,8459.0,0.0
163351,بابلسر - بابل,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,27551,26761,341,294,98,57,51.0,27551.0,58.0,7346.0,0.0
163351,بابلسر - بابل,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,29151,27955,578,414,128,76,51.0,29151.0,71.0,8156.0,0.0
163351,بابلسر - بابل,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,26498,25360,541,413,111,73,51.0,26498.0,65.0,6997.0,0.0
163351,بابلسر - بابل,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,26022,24967,496,391,104,64,50.0,26022.0,58.0,6821.0,0.0
163351,بابلسر - بابل,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,25554,24598,472,355,81,48,50.0,25554.0,50.0,6668.0,0.0
163351,بابلسر - بابل,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,23036,22189,418,285,83,61,50.0,23036.0,76.0,5199.0,0.0
163351,بابلسر - بابل,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,25149,24242,450,308,90,59,51.0,25149.0,81.0,6189.0,0.0
163351,بابلسر - بابل,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,22012,21377,298,197,87,53,51.0,22012.0,45.0,4915.0,0.0
163351,بابلسر - بابل,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,25172,24333,399,302,87,51,51.0,25172.0,48.0,6233.0,0.0
163351,بابلسر - بابل,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,22811,22000,414,305,61,31,51.0,22811.0,42.0,5363.0,0.0
163351,بابلسر - بابل,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,21154,20466,332,266,56,34,49.0,21154.0,32.0,4399.0,0.0
163351,بابلسر - بابل,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,22130,21213,455,342,65,55,49.0,22130.0,57.0,4910.0,0.0
163351,بابلسر - بابل,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,23337,22512,406,319,53,47,51.0,23337.0,48.0,5648.0,0.0
163351,بابلسر - بابل,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,23564,22857,352,262,55,38,51.0,23564.0,64.0,5530.0,0.0
163351,بابلسر - بابل,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,18515,18078,208,157,34,38,51.0,18515.0,30.0,3459.0,0.0
163351,بابلسر - بابل,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,18773,18152,293,252,43,33,52.0,18773.0,34.0,3656.0,0.0
163351,بابلسر - بابل,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,14764,14284,242,176,35,27,53.0,14764.0,48.0,2346.0,0.0
163351,بابلسر - بابل,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,19200,18537,314,257,54,38,52.0,19200.0,39.0,3763.0,0.0
163351,بابلسر - بابل,1398/12/20 00:00:00,1398/12/21 00:00:00,1430.0,18476,17862,306,232,44,32,51.0,18689.0,48.0,3577.0,0.0
163351,بابلسر - بابل,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,18783,18088,348,243,50,54,51.0,18783.0,49.0,3574.0,0.0
163351,بابلسر - بابل,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,18908,18281,342,213,35,37,51.0,18908.0,40.0,3650.0,0.0
163351,بابلسر - بابل,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,13107,12727,172,142,33,33,52.0,13107.0,17.0,1867.0,0.0
163351,بابلسر - بابل,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,17971,17431,268,200,37,35,52.0,17971.0,37.0,3478.0,0.0
163351,بابلسر - بابل,1398/12/25 00:00:04,1398/12/26 00:00:00,1440.0,17734,17187,278,195,39,35,52.0,17734.0,33.0,3328.0,0.0
163351,بابلسر - بابل,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,17755,17283,262,150,35,25,52.0,17755.0,44.0,3290.0,0.0
163351,بابلسر - بابل,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,17765,17307,245,149,28,36,52.0,17765.0,32.0,3293.0,0.0
163351,بابلسر - بابل,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,18734,18277,214,151,43,49,52.0,18734.0,51.0,3629.0,0.0
163351,بابلسر - بابل,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,16211,15937,128,100,29,17,52.0,16211.0,31.0,2739.0,0.0
163351,بابلسر - بابل,1400/01/01 00:00:00,1400/01/02 00:00:00,1430.0,25997,25388,363,195,39,12,56.0,26254.0,32.0,3268.0,0.0
163351,بابلسر - بابل,1400/01/02 00:00:00,1400/01/02 23:45:00,1365.0,26839,26151,383,243,34,28,56.0,28128.0,33.0,3454.0,0.0
163351,بابلسر - بابل,1400/01/03 00:15:00,1400/01/04 00:00:00,1425.0,32340,31396,539,325,43,37,55.0,32764.0,38.0,4735.0,0.0
163351,بابلسر - بابل,1400/01/04 00:00:00,1400/01/05 00:00:00,1195.0,25446,24730,417,218,48,33,56.0,33654.0,37.0,3526.0,0.0
163351,بابلسر - بابل,1400/01/05 00:00:00,1400/01/06 00:00:00,1125.0,23982,23371,379,170,37,25,54.0,33782.0,33.0,2837.0,0.0
163351,بابلسر - بابل,1400/01/06 00:00:00,1400/01/07 00:00:00,1295.0,29249,28477,434,253,48,37,52.0,33298.0,41.0,4106.0,0.0
163351,بابلسر - بابل,1400/01/07 00:00:00,1400/01/08 00:00:00,1405.0,33829,32764,628,325,57,55,55.0,34955.0,58.0,4681.0,0.0
163351,بابلسر - بابل,1400/01/08 00:00:00,1400/01/09 00:00:00,1405.0,31549,30654,542,247,54,52,55.0,32440.0,29.0,4262.0,0.0
163351,بابلسر - بابل,1400/01/09 00:00:00,1400/01/10 00:00:00,1300.0,30453,29634,478,247,53,41,52.0,33575.0,44.0,3785.0,0.0
163351,بابلسر - بابل,1400/01/10 00:00:00,1400/01/11 00:00:00,1265.0,29703,28810,552,250,48,43,54.0,34854.0,40.0,3986.0,0.0
163351,بابلسر - بابل,1400/01/11 00:00:00,1400/01/11 23:55:00,1220.0,27757,26962,507,221,36,31,54.0,32952.0,37.0,3629.0,0.0
163351,بابلسر - بابل,1400/01/12 00:00:00,1400/01/13 00:00:00,1335.0,27755,26953,505,232,34,31,55.0,30521.0,47.0,3571.0,0.0
163351,بابلسر - بابل,1400/01/13 00:00:00,1400/01/14 00:00:00,1335.0,23198,22670,305,169,25,29,57.0,25934.0,42.0,2673.0,0.0
163351,بابلسر - بابل,1400/01/14 00:00:00,1400/01/15 00:00:00,1405.0,29870,28982,550,245,49,44,56.0,29987.0,33.0,3827.0,0.0
163351,بابلسر - بابل,1400/01/15 00:00:00,1400/01/16 00:00:00,1375.0,28362,27496,540,237,51,38,56.0,30446.0,32.0,3636.0,0.0
163351,بابلسر - بابل,1400/01/16 00:00:00,1400/01/17 00:00:00,1265.0,24905,24174,442,207,37,45,55.0,30184.0,27.0,2931.0,0.0
163351,بابلسر - بابل,1400/01/17 00:00:00,1400/01/18 00:00:00,1225.0,23747,22990,450,225,36,46,56.0,28765.0,39.0,3049.0,0.0
163351,بابلسر - بابل,1400/01/18 00:00:00,1400/01/19 00:00:00,1335.0,26667,25900,493,193,47,34,54.0,29965.0,24.0,3062.0,0.0
163351,بابلسر - بابل,1400/01/19 00:40:00,1400/01/20 00:00:00,1215.0,23435,22779,416,179,33,28,56.0,28549.0,29.0,2769.0,0.0
163351,بابلسر - بابل,1400/01/20 00:00:00,1400/01/21 00:00:00,1370.0,25538,24877,383,207,40,31,55.0,27072.0,39.0,2928.0,0.0
