Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163403,بابلسر - بهنمير,1398/12/01 00:00:00,1398/12/02 00:00:00,1375.0,13254,13114,63,29,7,41,71.0,14272.0,216.0,427.0,0.0
163403,بابلسر - بهنمير,1398/12/02 00:00:00,1398/12/03 00:00:00,1265.0,9812,9725,28,23,10,26,72.0,11623.0,180.0,259.0,0.0
163403,بابلسر - بهنمير,1398/12/03 00:00:00,1398/12/04 00:00:00,1325.0,11922,11815,38,30,12,27,73.0,13519.0,190.0,332.0,0.0
163403,بابلسر - بهنمير,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,12982,12827,75,48,6,26,74.0,13011.0,274.0,246.0,0.0
163403,بابلسر - بهنمير,1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,11758,11631,67,28,12,20,75.0,12600.0,233.0,241.0,0.0
163403,بابلسر - بهنمير,1398/12/06 00:00:00,1398/12/07 00:00:00,1335.0,10680,10537,70,28,14,31,72.0,11762.0,195.0,221.0,0.0
163403,بابلسر - بهنمير,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,8923,8711,35,24,11,142,73.0,8938.0,194.0,886.0,0.0
163403,بابلسر - بهنمير,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,11389,11222,55,23,6,83,73.0,11407.0,217.0,691.0,0.0
163403,بابلسر - بهنمير,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,9904,9821,42,10,4,27,72.0,9913.0,164.0,268.0,0.0
163403,بابلسر - بهنمير,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,11585,11331,44,50,37,123,74.0,11613.0,217.0,605.0,0.0
163403,بابلسر - بهنمير,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,10424,10130,29,52,40,173,76.0,10448.0,198.0,767.0,0.0
163403,بابلسر - بهنمير,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,7389,7152,18,48,43,128,73.0,8024.0,168.0,684.0,0.0
163403,بابلسر - بهنمير,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,8907,8688,10,51,40,118,75.0,8921.0,158.0,660.0,0.0
163403,بابلسر - بهنمير,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,10273,10002,21,62,50,138,77.0,10289.0,195.0,916.0,0.0
163403,بابلسر - بهنمير,1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,10329,10029,19,69,49,163,76.0,10710.0,197.0,873.0,0.0
163403,بابلسر - بهنمير,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,8571,8319,12,38,52,150,76.0,8584.0,155.0,567.0,0.0
163403,بابلسر - بهنمير,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,8803,8534,11,47,51,160,77.0,8823.0,161.0,611.0,0.0
163403,بابلسر - بهنمير,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,7320,7102,11,51,35,121,78.0,7330.0,121.0,429.0,0.0
163403,بابلسر - بهنمير,1398/12/19 00:00:00,1398/12/19 23:55:00,1425.0,8941,8685,19,43,46,148,78.0,8985.0,171.0,586.0,0.0
163403,بابلسر - بهنمير,1398/12/20 00:00:00,1398/12/21 00:00:00,1370.0,8305,8091,13,63,29,109,77.0,8961.0,139.0,568.0,0.0
