Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163402,بابلسر - فريدونکنار,1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,15645,15174,304,121,24,22,75.0,16528.0,484.0,1089.0,0.0
163402,بابلسر - فريدونکنار,1398/12/02 00:00:00,1398/12/03 00:00:00,1325.0,13070,12815,148,53,36,18,76.0,14638.0,424.0,793.0,0.0
163402,بابلسر - فريدونکنار,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,14404,13938,320,94,23,29,77.0,14425.0,550.0,778.0,0.0
163402,بابلسر - فريدونکنار,1398/12/04 00:00:00,1398/12/05 00:00:00,1380.0,13023,12537,315,112,24,35,77.0,13811.0,608.0,785.0,0.0
163402,بابلسر - فريدونکنار,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,13282,12761,379,106,16,20,79.0,13305.0,665.0,819.0,0.0
163402,بابلسر - فريدونکنار,1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,11838,11414,271,99,17,37,77.0,12459.0,376.0,605.0,0.0
163402,بابلسر - فريدونکنار,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,11978,11657,222,63,20,16,73.0,11993.0,287.0,572.0,0.0
163402,بابلسر - فريدونکنار,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,13748,13341,259,99,23,26,78.0,13767.0,506.0,762.0,0.0
163402,بابلسر - فريدونکنار,1398/12/09 00:55:00,1398/12/10 00:00:00,1380.0,11197,10966,147,58,12,14,77.0,11458.0,407.0,563.0,0.0
163402,بابلسر - فريدونکنار,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,12395,12009,250,86,20,30,78.0,12416.0,434.0,617.0,0.0
163402,بابلسر - فريدونکنار,1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,11654,11255,245,116,15,23,78.0,11715.0,433.0,602.0,0.0
