Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163507,بندر اميرآباد - رستمکلا,1398/12/01 00:00:00,1398/12/02 00:00:00,1440,1431,706,58,217,117,333,70,75,62,93,1431
163507,بندر اميرآباد - رستمکلا,1398/12/02 00:00:00,1398/12/03 00:00:00,1440,969,577,39,110,59,184,78,145,47,29,969
163507,بندر اميرآباد - رستمکلا,1398/12/03 00:00:00,1398/12/04 00:00:00,1440,1044,686,58,112,41,147,77,145,38,44,1044
163507,بندر اميرآباد - رستمکلا,1398/12/04 00:00:00,1398/12/05 00:00:00,1440,1054,694,79,93,57,131,77,141,36,22,1054
163507,بندر اميرآباد - رستمکلا,1398/12/05 00:00:00,1398/12/06 00:00:00,1440,1058,686,97,99,55,121,78,181,40,34,1058
163507,بندر اميرآباد - رستمکلا,1398/12/06 00:00:00,1398/12/07 00:00:00,1440,1139,715,57,109,55,203,75,123,50,38,1139
163507,بندر اميرآباد - رستمکلا,1398/12/07 00:00:00,1398/12/08 00:00:00,1440,1077,595,56,164,66,196,68,49,35,43,1077
163507,بندر اميرآباد - رستمکلا,1398/12/08 00:00:00,1398/12/09 00:00:00,1440,1539,844,62,227,80,326,85,355,216,41,1559
163507,بندر اميرآباد - رستمکلا,1398/12/09 00:00:00,1398/12/10 00:00:00,1440,1276,755,51,159,84,227,83,272,134,34,1276
163507,بندر اميرآباد - رستمکلا,1398/12/10 00:00:00,1398/12/11 00:00:00,1440,1556,840,77,212,110,317,78,215,106,63,1561
163507,بندر اميرآباد - رستمکلا,1398/12/11 00:00:00,1398/12/12 00:00:00,1440,1619,689,63,317,132,418,73,165,90,78,1619
163507,بندر اميرآباد - رستمکلا,1398/12/12 00:00:00,1398/12/13 00:00:00,1435,1158,643,51,133,78,253,65,13,41,48,1203
163507,بندر اميرآباد - رستمکلا,1398/12/13 00:00:00,1398/12/14 00:00:00,1440,1227,606,67,226,78,250,69,76,51,46,1227
163507,بندر اميرآباد - رستمکلا,1398/12/14 00:00:00,1398/12/15 00:00:00,1440,1420,745,64,221,98,292,73,144,65,66,1420
163507,بندر اميرآباد - رستمکلا,1398/12/15 00:00:00,1398/12/16 00:00:00,1435,1421,663,60,272,89,337,72,129,56,54,1422
163507,بندر اميرآباد - رستمکلا,1398/12/16 00:00:00,1398/12/17 00:00:00,1440,1240,654,49,223,72,242,73,131,50,41,1254
163507,بندر اميرآباد - رستمکلا,1398/12/17 00:00:00,1398/12/18 00:00:00,1440,1252,601,49,185,74,343,73,93,37,52,1252
163507,بندر اميرآباد - رستمکلا,1398/12/18 00:00:00,1398/12/19 00:00:00,1440,958,470,53,173,56,206,73,87,30,36,958
163507,بندر اميرآباد - رستمکلا,1398/12/19 00:00:00,1398/12/20 00:00:00,1440,1333,755,61,170,90,257,76,191,51,60,1335
163507,بندر اميرآباد - رستمکلا,1398/12/20 00:00:00,1398/12/21 00:00:00,1440,1209,703,64,137,72,233,78,183,53,50,1209
163507,بندر اميرآباد - رستمکلا,1398/12/21 00:00:00,1398/12/22 00:00:00,1440,1374,701,61,233,95,284,75,154,49,75,1374
163507,بندر اميرآباد - رستمکلا,1398/12/22 00:00:00,1398/12/23 00:00:00,1430,1294,641,62,256,69,266,76,151,73,52,1295
163507,بندر اميرآباد - رستمکلا,1398/12/23 00:00:00,1398/12/24 00:00:00,1440,856,488,44,86,52,186,76,112,34,38,856
163507,بندر اميرآباد - رستمکلا,1398/12/24 00:00:00,1398/12/25 00:00:00,1440,1410,708,59,192,74,377,75,156,44,55,1391
163507,بندر اميرآباد - رستمکلا,1398/12/25 00:00:00,1398/12/26 00:00:00,1440,1263,650,52,191,79,291,76,133,55,35,1263
163507,بندر اميرآباد - رستمکلا,1398/12/26 00:00:00,1398/12/27 00:00:00,1390,1088,677,45,103,40,223,74,111,43,36,1141
