Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163557,رستمکلا - بندر اميرآباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1440,1399,721,51,214,88,325,79,218,86,38,1401
163557,رستمکلا - بندر اميرآباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1435,980,585,43,118,76,158,82,192,59,30,984
163557,رستمکلا - بندر اميرآباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1440,1115,743,58,112,50,152,79,177,59,21,1115
163557,رستمکلا - بندر اميرآباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1440,1120,756,68,92,52,152,79,196,61,18,1120
163557,رستمکلا - بندر اميرآباد,1398/12/05 00:00:00,1398/12/06 00:00:00,1435,1154,720,79,92,87,176,82,281,49,47,1163
163557,رستمکلا - بندر اميرآباد,1398/12/06 00:00:00,1398/12/07 00:00:00,1440,1155,712,59,108,91,185,79,221,68,29,1155
163557,رستمکلا - بندر اميرآباد,1398/12/07 00:00:00,1398/12/08 00:00:00,1435,1190,705,56,168,79,182,74,117,51,95,1398
163557,رستمکلا - بندر اميرآباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1440,1673,905,101,215,115,337,87,442,242,70,1673
163557,رستمکلا - بندر اميرآباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1440,1288,787,63,145,78,215,86,307,122,44,1288
163557,رستمکلا - بندر اميرآباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1440,1650,900,85,220,112,333,82,342,170,43,1650
163557,رستمکلا - بندر اميرآباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1440,1541,702,87,282,117,353,76,180,116,63,1541
163557,رستمکلا - بندر اميرآباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1435,1107,626,49,130,62,240,73,83,59,24,1107
163557,رستمکلا - بندر اميرآباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1440,1206,636,77,218,67,208,76,168,56,24,1208
163557,رستمکلا - بندر اميرآباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1440,1403,780,65,221,108,229,77,215,81,23,1403
163557,رستمکلا - بندر اميرآباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1435,1469,708,71,248,126,316,76,167,82,46,1469
163557,رستمکلا - بندر اميرآباد,1398/12/16 00:00:00,1398/12/17 00:00:00,1440,1212,650,50,188,101,223,76,162,55,34,1212
