Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164751,بهشهر - نکا,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,21536,19052,1238,502,426,318,82.0,21598.0,950.0,1672.0,0.0
164751,بهشهر - نکا,1398/12/02 00:00:00,1398/12/03 00:00:00,1395.0,18340,16396,886,371,349,338,88.0,18889.0,1773.0,1380.0,0.0
164751,بهشهر - نکا,1398/12/03 00:00:00,1398/12/04 00:00:00,1320.0,19488,17023,1292,450,365,358,84.0,21980.0,1243.0,1568.0,0.0
164751,بهشهر - نکا,1398/12/04 00:00:00,1398/12/05 00:00:00,1395.0,21078,18278,1509,492,434,365,85.0,21927.0,1502.0,1728.0,0.0
164751,بهشهر - نکا,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,20999,18115,1594,497,402,391,85.0,21074.0,1399.0,1674.0,0.0
164751,بهشهر - نکا,1398/12/06 00:00:00,1398/12/07 00:00:00,1300.0,16985,14691,1204,427,349,314,83.0,19437.0,990.0,1172.0,0.0
164751,بهشهر - نکا,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,16632,14496,1015,450,353,318,79.0,16686.0,396.0,901.0,0.0
164751,بهشهر - نکا,1398/12/08 00:00:00,1398/12/09 00:00:00,1355.0,17153,15102,1024,415,301,311,84.0,18585.0,1075.0,1184.0,0.0
164751,بهشهر - نکا,1398/12/09 00:00:00,1398/12/10 00:00:00,1395.0,15975,14041,966,368,295,305,86.0,16368.0,1346.0,1006.0,0.0
164751,بهشهر - نکا,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,19642,16931,1483,477,359,392,85.0,19720.0,1210.0,1439.0,0.0
164751,بهشهر - نکا,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,18659,15930,1506,488,354,381,83.0,18729.0,896.0,1342.0,0.0
164751,بهشهر - نکا,1398/12/12 00:00:00,1398/12/13 00:00:00,1390.0,15505,13224,1151,436,308,386,79.0,15679.0,362.0,765.0,0.0
164751,بهشهر - نکا,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,15873,13608,1139,435,330,361,80.0,15926.0,439.0,840.0,0.0
164751,بهشهر - نکا,1398/12/14 00:00:00,1398/12/15 00:00:00,1355.0,16589,14241,1235,443,304,366,84.0,17959.0,1022.0,1165.0,0.0
164751,بهشهر - نکا,1398/12/15 00:00:00,1398/12/16 00:00:00,1395.0,16302,14111,1154,411,317,309,85.0,16975.0,1203.0,993.0,0.0
164751,بهشهر - نکا,1398/12/16 00:00:00,1398/12/17 00:00:00,1315.0,12045,10277,929,342,246,251,85.0,13665.0,981.0,605.0,0.0
