Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163501,بهشهر - گلوگاه,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,16409,13803,783,913,263,647,82.0,53.0,2406.0,0.0,16409.0
163501,بهشهر - گلوگاه,1398/12/02 00:00:00,1398/12/03 00:00:00,1275.0,11859,10125,512,588,221,413,84.0,44.0,1537.0,0.0,14222.0
163501,بهشهر - گلوگاه,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,14046,11829,634,805,245,533,83.0,46.0,1679.0,0.0,14046.0
163501,بهشهر - گلوگاه,1398/12/04 00:00:00,1398/12/05 00:00:00,1420.0,14946,12554,772,870,247,503,83.0,42.0,1931.0,0.0,15039.0
163501,بهشهر - گلوگاه,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,14952,12410,802,933,250,557,82.0,55.0,1938.0,0.0,14952.0
163501,بهشهر - گلوگاه,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,13707,11275,762,887,248,535,81.0,37.0,1602.0,0.0,13707.0
163501,بهشهر - گلوگاه,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,11321,9257,631,702,237,494,78.0,39.0,959.0,0.0,11321.0
163501,بهشهر - گلوگاه,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,14269,11969,675,873,252,500,83.0,51.0,1843.0,0.0,14269.0
163501,بهشهر - گلوگاه,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,11947,9927,606,677,253,484,83.0,34.0,1258.0,0.0,11947.0
163501,بهشهر - گلوگاه,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,13225,10910,720,831,227,537,83.0,35.0,1448.0,0.0,13225.0
163501,بهشهر - گلوگاه,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,13128,10544,822,915,268,579,81.0,34.0,1536.0,0.0,13128.0
163501,بهشهر - گلوگاه,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,10905,8580,747,768,253,557,82.0,47.0,934.0,0.0,10905.0
163501,بهشهر - گلوگاه,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,10852,8636,665,801,233,517,82.0,38.0,942.0,0.0,10852.0
163501,بهشهر - گلوگاه,1398/12/14 00:00:00,1398/12/15 00:00:00,1430.0,12054,9782,667,887,206,512,83.0,44.0,1268.0,0.0,12152.0
163501,بهشهر - گلوگاه,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,12617,10323,648,861,233,552,83.0,29.0,1359.0,0.0,12617.0
163501,بهشهر - گلوگاه,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,9777,7875,573,654,224,451,83.0,25.0,804.0,0.0,9777.0
163501,بهشهر - گلوگاه,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,9929,7893,622,686,215,513,82.0,28.0,791.0,0.0,9929.0
163501,بهشهر - گلوگاه,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,8176,6341,566,652,177,440,81.0,19.0,571.0,0.0,8176.0
163501,بهشهر - گلوگاه,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,9898,7900,598,685,192,523,82.0,40.0,829.0,0.0,9898.0
163501,بهشهر - گلوگاه,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,10206,7955,708,796,225,522,82.0,19.0,903.0,0.0,10206.0
163501,بهشهر - گلوگاه,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,10539,8220,753,834,223,509,82.0,22.0,984.0,0.0,10539.0
163501,بهشهر - گلوگاه,1398/12/22 00:00:00,1398/12/23 00:00:00,1420.0,10228,8153,639,727,192,517,83.0,20.0,862.0,0.0,10361.0
163501,بهشهر - گلوگاه,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,8117,6440,531,604,159,383,82.0,27.0,565.0,0.0,8117.0
163501,بهشهر - گلوگاه,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,10479,8402,620,751,188,518,83.0,21.0,953.0,0.0,10479.0
163501,بهشهر - گلوگاه,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,11122,8902,704,782,211,523,83.0,33.0,1023.0,0.0,11122.0
163501,بهشهر - گلوگاه,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,11379,9231,696,748,182,522,82.0,35.0,1104.0,0.0,11379.0
163501,بهشهر - گلوگاه,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,11253,9205,651,707,198,492,81.0,40.0,1059.0,0.0,11253.0
163501,بهشهر - گلوگاه,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,11788,9835,661,627,207,458,83.0,44.0,1205.0,0.0,11788.0
163501,بهشهر - گلوگاه,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,10006,8822,408,325,138,313,85.0,27.0,791.0,0.0,10006.0
163501,بهشهر - گلوگاه,1400/01/01 00:00:00,1400/01/02 00:00:00,1415.0,14293,13831,191,73,65,133,93.0,4654.0,986.0,0.0,14748.0
163501,بهشهر - گلوگاه,1400/01/02 00:00:00,1400/01/03 00:00:00,1345.0,14459,13820,249,90,92,208,92.0,4212.0,951.0,0.0,15412.0
163501,بهشهر - گلوگاه,1400/01/03 00:00:00,1400/01/03 23:30:00,1410.0,16248,15308,398,180,121,241,91.0,4403.0,1251.0,0.0,16551.0
163501,بهشهر - گلوگاه,1400/01/04 00:05:00,1400/01/05 00:00:00,1365.0,15701,14664,429,181,129,298,91.0,4303.0,1377.0,0.0,16911.0
163501,بهشهر - گلوگاه,1400/01/05 00:00:00,1400/01/06 00:00:00,1440.0,19453,17680,1027,257,139,350,93.0,6131.0,2641.0,0.0,19453.0
163501,بهشهر - گلوگاه,1400/01/06 00:00:00,1400/01/07 00:00:00,1405.0,22406,20708,1006,237,167,288,93.0,7599.0,5518.0,0.0,23030.0
163501,بهشهر - گلوگاه,1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,18392,16672,874,319,174,353,91.0,5090.0,1813.0,0.0,18392.0
163501,بهشهر - گلوگاه,1400/01/08 00:00:00,1400/01/09 00:00:00,1405.0,18417,16387,1109,331,192,398,92.0,6045.0,2719.0,0.0,18921.0
163501,بهشهر - گلوگاه,1400/01/09 00:00:00,1400/01/10 00:00:00,1405.0,19358,17285,1186,347,174,366,93.0,6647.0,3261.0,0.0,19657.0
163501,بهشهر - گلوگاه,1400/01/10 00:00:00,1400/01/11 00:00:00,1405.0,17971,16045,975,367,183,401,92.0,5442.0,1593.0,0.0,18151.0
163501,بهشهر - گلوگاه,1400/01/11 00:00:00,1400/01/11 23:55:00,1400.0,17706,15986,777,334,180,429,91.0,4560.0,1612.0,0.0,18173.0
163501,بهشهر - گلوگاه,1400/01/12 00:00:00,1400/01/13 00:00:00,1335.0,14992,13118,1068,315,153,338,93.0,4671.0,1405.0,0.0,16828.0
163501,بهشهر - گلوگاه,1400/01/13 00:00:00,1400/01/14 00:00:00,1375.0,10567,9594,581,116,84,192,94.0,3653.0,684.0,0.0,11251.0
163501,بهشهر - گلوگاه,1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,15098,13075,1159,305,195,364,93.0,5190.0,1467.0,0.0,15098.0
163501,بهشهر - گلوگاه,1400/01/15 00:00:00,1400/01/16 00:00:00,1405.0,15915,13694,1154,405,203,459,93.0,5478.0,2448.0,0.0,16363.0
163501,بهشهر - گلوگاه,1400/01/16 00:00:00,1400/01/17 00:00:00,1405.0,15189,12813,1201,443,216,516,92.0,4934.0,1660.0,0.0,15693.0
163501,بهشهر - گلوگاه,1400/01/17 00:00:00,1400/01/18 00:00:00,1400.0,14553,12225,1037,467,235,589,91.0,4065.0,1175.0,0.0,14952.0
163501,بهشهر - گلوگاه,1400/01/18 00:00:00,1400/01/19 00:00:00,1370.0,14294,12294,877,428,187,508,89.0,3393.0,1045.0,0.0,14927.0
163501,بهشهر - گلوگاه,1400/01/19 00:00:00,1400/01/19 23:50:00,1425.0,15368,13403,828,405,191,541,90.0,3940.0,1152.0,0.0,15504.0
163501,بهشهر - گلوگاه,1400/01/20 00:25:00,1400/01/21 00:00:00,1380.0,12200,10716,621,288,170,405,90.0,3049.0,753.0,0.0,12659.0
163501,بهشهر - گلوگاه,1400/01/21 00:00:00,1400/01/22 00:00:00,1405.0,12664,10856,750,377,183,498,90.0,3421.0,734.0,0.0,13085.0
163501,بهشهر - گلوگاه,1400/01/22 00:00:00,1400/01/23 00:00:00,1440.0,12999,10450,1235,540,241,533,90.0,3543.0,998.0,0.0,12999.0
163501,بهشهر - گلوگاه,1400/01/23 00:00:00,1400/01/24 00:00:00,1440.0,13433,10769,1395,524,180,565,92.0,4466.0,1347.0,0.0,13433.0
163501,بهشهر - گلوگاه,1400/01/24 00:00:00,1400/01/25 00:00:00,1365.0,12175,9917,1041,481,185,551,90.0,3440.0,974.0,0.0,12959.0
163501,بهشهر - گلوگاه,1400/01/25 00:00:00,1400/01/26 00:00:00,1435.0,12413,10265,943,470,193,542,89.0,3010.0,908.0,0.0,12461.0
163501,بهشهر - گلوگاه,1400/01/26 00:00:00,1400/01/27 00:00:00,1400.0,12641,10713,811,389,201,527,90.0,3249.0,935.0,0.0,12783.0
163501,بهشهر - گلوگاه,1400/01/27 00:00:00,1400/01/28 00:00:00,1405.0,9743,8214,626,311,164,428,89.0,2462.0,525.0,0.0,10034.0
163501,بهشهر - گلوگاه,1400/01/28 00:35:00,1400/01/29 00:00:00,1335.0,11511,9664,756,361,183,547,90.0,2956.0,677.0,0.0,12128.0
163501,بهشهر - گلوگاه,1400/01/29 00:00:00,1400/01/30 00:00:00,1370.0,11565,9557,896,418,177,517,89.0,2684.0,751.0,0.0,12183.0
163501,بهشهر - گلوگاه,1400/01/30 00:00:00,1400/01/31 00:00:00,1405.0,12203,10099,889,429,199,587,89.0,3004.0,815.0,0.0,12513.0
163501,بهشهر - گلوگاه,1400/01/31 00:00:00,1400/01/31 23:30:00,1330.0,11758,9761,819,416,209,553,89.0,2810.0,811.0,0.0,12384.0
163501,بهشهر - گلوگاه,1400/12/01 00:00:00,1400/12/01 06:50:00,410.0,3802,1999,306,300,232,965,88.0,1540.0,1210.0,1766.0,20353.0
163501,بهشهر - گلوگاه,1400/12/19 12:00:00,1400/12/20 00:00:00,720.0,12127,10551,977,199,115,285,92.0,3812.0,1204.0,0.0,19597.0
163501,بهشهر - گلوگاه,1400/12/20 00:00:00,1400/12/21 00:00:00,1325.0,15847,13992,1073,306,171,305,93.0,5368.0,1310.0,0.0,17221.0
163501,بهشهر - گلوگاه,1400/12/21 00:00:00,1400/12/22 00:00:00,1400.0,16939,14576,1370,370,207,416,92.0,5531.0,1295.0,0.0,17536.0
163501,بهشهر - گلوگاه,1400/12/22 00:00:00,1400/12/23 00:00:00,1335.0,16335,14050,1330,382,172,401,92.0,5363.0,1214.0,0.0,17812.0
163501,بهشهر - گلوگاه,1400/12/23 00:00:00,1400/12/24 00:00:00,1260.0,16147,13699,1405,426,200,417,92.0,5264.0,1312.0,0.0,18933.0
163501,بهشهر - گلوگاه,1400/12/24 00:00:00,1400/12/25 00:00:00,1370.0,18237,15630,1549,430,201,427,91.0,5962.0,1643.0,0.0,19467.0
163501,بهشهر - گلوگاه,1400/12/25 00:00:00,1400/12/25 23:55:00,1370.0,20524,17847,1580,428,234,435,95.0,7859.0,2067.0,0.0,21710.0
163501,بهشهر - گلوگاه,1400/12/26 00:30:00,1400/12/27 00:00:00,1180.0,21207,18664,1566,372,197,408,95.0,7642.0,2608.0,0.0,25806.0
163501,بهشهر - گلوگاه,1400/12/27 00:00:00,1400/12/28 00:00:00,1295.0,24597,22157,1613,296,187,344,95.0,9032.0,3336.0,0.0,27720.0
163501,بهشهر - گلوگاه,1400/12/28 00:00:00,1400/12/29 00:00:00,1335.0,26134,23647,1681,290,178,338,95.0,9334.0,3462.0,0.0,28591.0
163501,بهشهر - گلوگاه,1400/12/29 00:00:00,1401/01/01 00:00:00,1400.0,21537,20252,906,126,95,158,94.0,8112.0,1795.0,0.0,22304.0
163501,بهشهر - گلوگاه,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,17972,14080,1929,1014,274,675,108.0,8564.0,2921.0,0.0,17972.0
163501,بهشهر - گلوگاه,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,17853,14053,1823,1051,235,691,108.0,8382.0,2881.0,0.0,17853.0
163501,بهشهر - گلوگاه,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,19223,15373,1854,1090,248,658,107.0,8818.0,3425.0,0.0,19223.0
163501,بهشهر - گلوگاه,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,20558,16733,1868,988,288,681,108.0,10302.0,3872.0,0.0,20558.0
163501,بهشهر - گلوگاه,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,17581,14473,1600,740,183,585,104.0,7235.0,2849.0,0.0,17581.0
163501,بهشهر - گلوگاه,1401/12/06 00:00:00,1401/12/07 00:00:00,1020.0,14548,11858,1276,693,181,540,108.0,6752.0,2413.0,0.0,16563.0
163501,بهشهر - گلوگاه,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,18054,14331,1771,1010,245,697,107.0,8159.0,2969.0,0.0,18054.0
163501,بهشهر - گلوگاه,1401/12/08 00:00:00,1401/12/09 00:00:00,1305.0,15130,11735,1630,895,226,644,108.0,7264.0,2310.0,0.0,17487.0
