Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163453,بهنمير - بابلسر,1398/12/01 00:00:00,1398/12/02 00:00:00,1375.0,13869,13727,73,46,8,15,72.0,14906.0,237.0,361.0,0.0
163453,بهنمير - بابلسر,1398/12/02 00:00:00,1398/12/03 00:00:00,1265.0,9913,9821,32,37,9,14,74.0,11657.0,182.0,189.0,0.0
163453,بهنمير - بابلسر,1398/12/03 00:00:00,1398/12/04 00:00:00,1325.0,12567,12438,82,34,2,11,74.0,14136.0,232.0,316.0,0.0
163453,بهنمير - بابلسر,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,13186,13001,109,35,20,21,75.0,13211.0,265.0,345.0,0.0
163453,بهنمير - بابلسر,1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,11996,11852,95,21,11,17,75.0,12776.0,216.0,311.0,0.0
163453,بهنمير - بابلسر,1398/12/06 00:00:00,1398/12/07 00:00:00,1335.0,10698,10536,101,29,7,25,74.0,11853.0,240.0,287.0,0.0
163453,بهنمير - بابلسر,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,10719,10572,83,30,15,19,72.0,10738.0,145.0,213.0,0.0
163453,بهنمير - بابلسر,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,12401,12233,99,33,13,23,74.0,12418.0,216.0,341.0,0.0
163453,بهنمير - بابلسر,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,10165,10049,80,19,5,12,75.0,10173.0,249.0,251.0,0.0
163453,بهنمير - بابلسر,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,12145,11935,131,40,17,22,75.0,12169.0,291.0,390.0,0.0
163453,بهنمير - بابلسر,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,11357,11133,154,40,9,21,74.0,11377.0,207.0,351.0,0.0
163453,بهنمير - بابلسر,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,8880,8669,133,40,17,21,71.0,9594.0,109.0,194.0,0.0
163453,بهنمير - بابلسر,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,10071,9873,121,45,11,21,73.0,10084.0,172.0,297.0,0.0
163453,بهنمير - بابلسر,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,11441,11183,169,44,12,33,75.0,11459.0,255.0,372.0,0.0
163453,بهنمير - بابلسر,1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,11231,10997,148,47,16,23,75.0,11512.0,235.0,357.0,0.0
163453,بهنمير - بابلسر,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,9136,8977,84,34,7,34,75.0,9145.0,231.0,205.0,0.0
163453,بهنمير - بابلسر,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,9385,9178,148,35,7,17,76.0,9399.0,268.0,290.0,0.0
163453,بهنمير - بابلسر,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,7828,7616,143,38,11,20,77.0,7836.0,227.0,193.0,0.0
163453,بهنمير - بابلسر,1398/12/19 00:00:00,1398/12/19 23:55:00,1425.0,9563,9329,170,32,10,22,76.0,9610.0,268.0,325.0,0.0
163453,بهنمير - بابلسر,1398/12/20 00:00:00,1398/12/21 00:00:00,1370.0,9086,8809,185,51,17,24,76.0,9573.0,260.0,277.0,0.0
163453,بهنمير - بابلسر,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,9677,9417,177,50,9,24,76.0,9695.0,260.0,309.0,0.0
