Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163852,تنکابن - عباس آباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,19290,18148,335,497,46,264,68.0,19290.0,71.0,3158.0,0.0
163852,تنکابن - عباس آباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,16520,15658,243,344,53,222,71.0,16520.0,103.0,2358.0,0.0
163852,تنکابن - عباس آباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1430.0,19015,17880,344,476,59,256,70.0,19200.0,86.0,3125.0,0.0
163852,تنکابن - عباس آباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,18667,17340,368,599,62,298,70.0,18667.0,87.0,3168.0,0.0
163852,تنکابن - عباس آباد,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,18267,16858,405,584,75,345,70.0,18267.0,103.0,2974.0,0.0
163852,تنکابن - عباس آباد,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,16935,15602,406,601,46,280,68.0,16935.0,70.0,2536.0,0.0
163852,تنکابن - عباس آباد,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,15269,14175,297,481,46,270,67.0,15269.0,45.0,2024.0,0.0
163852,تنکابن - عباس آباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,16579,15458,319,528,50,224,70.0,16579.0,84.0,2348.0,0.0
163852,تنکابن - عباس آباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,13246,12274,234,442,45,251,70.0,13246.0,87.0,1480.0,0.0
163852,تنکابن - عباس آباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,16980,15694,374,588,53,271,70.0,16980.0,161.0,2500.0,0.0
163852,تنکابن - عباس آباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,15676,14494,351,558,43,230,68.0,15676.0,53.0,2091.0,0.0
163852,تنکابن - عباس آباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,14484,13392,307,506,45,234,69.0,14484.0,63.0,1820.0,0.0
163852,تنکابن - عباس آباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,14389,13301,305,511,43,229,69.0,14389.0,81.0,1740.0,0.0
163852,تنکابن - عباس آباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,15809,14585,368,537,66,253,70.0,15809.0,131.0,2115.0,0.0
163852,تنکابن - عباس آباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,15730,14524,332,596,50,228,70.0,15730.0,148.0,2049.0,0.0
163852,تنکابن - عباس آباد,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,11509,10592,255,422,44,196,69.0,11509.0,73.0,1036.0,0.0
163852,تنکابن - عباس آباد,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,13970,13000,316,455,25,174,70.0,13970.0,113.0,1568.0,0.0
163852,تنکابن - عباس آباد,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,11433,10498,301,397,48,189,70.0,11433.0,135.0,965.0,0.0
163852,تنکابن - عباس آباد,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,13649,12516,338,525,54,216,70.0,13649.0,162.0,1551.0,0.0
163852,تنکابن - عباس آباد,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,13344,12214,321,526,52,231,70.0,13344.0,132.0,1496.0,0.0
163852,تنکابن - عباس آباد,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,13440,12275,352,535,53,225,70.0,13440.0,129.0,1463.0,0.0
163852,تنکابن - عباس آباد,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,12781,11703,279,546,47,206,68.0,12781.0,93.0,1406.0,0.0
163852,تنکابن - عباس آباد,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,9608,8847,225,316,34,186,69.0,9608.0,58.0,678.0,0.0
163852,تنکابن - عباس آباد,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,13466,12490,264,466,44,202,71.0,13466.0,102.0,1540.0,0.0
163852,تنکابن - عباس آباد,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,13440,12418,321,462,41,198,71.0,13440.0,145.0,1533.0,0.0
163852,تنکابن - عباس آباد,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,13095,12194,282,392,42,185,69.0,13095.0,57.0,1413.0,0.0
163852,تنکابن - عباس آباد,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,12890,12164,218,352,29,127,68.0,12890.0,43.0,1406.0,0.0
163852,تنکابن - عباس آباد,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,12844,12242,204,253,19,126,69.0,12844.0,58.0,1326.0,0.0
163852,تنکابن - عباس آباد,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,11456,11106,104,141,14,91,71.0,11456.0,97.0,1109.0,0.0
163852,تنکابن - عباس آباد,1400/01/01 00:00:00,1400/01/02 00:00:00,1230.0,14024,13420,421,100,30,53,77.0,17636.0,286.0,1251.0,0.0
163852,تنکابن - عباس آباد,1400/01/02 00:00:00,1400/01/03 00:00:00,1375.0,21820,20969,594,148,44,65,74.0,21955.0,247.0,2395.0,0.0
163852,تنکابن - عباس آباد,1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,26453,25363,738,194,70,88,74.0,26453.0,269.0,3671.0,0.0
163852,تنکابن - عباس آباد,1400/01/04 00:00:00,1400/01/05 00:00:00,1365.0,27313,26082,815,251,57,108,74.0,29156.0,283.0,4284.0,0.0
163852,تنکابن - عباس آباد,1400/01/05 00:00:00,1400/01/06 00:00:00,1325.0,26157,24001,1552,399,80,125,74.0,29519.0,410.0,3960.0,0.0
163852,تنکابن - عباس آباد,1400/01/06 00:00:00,1400/01/07 00:00:00,1395.0,28601,27323,852,229,47,150,75.0,29967.0,272.0,4159.0,0.0
