Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163155,جويبار - ساري,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,23081,21621,510,716,83,151,59.0,23081.0,361.0,4586.0,72.0
163155,جويبار - ساري,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,18474,17627,289,409,57,92,63.0,18474.0,400.0,3042.0,35.0
163155,جويبار - ساري,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,23261,21879,457,729,70,126,61.0,23261.0,468.0,4814.0,60.0
163155,جويبار - ساري,1398/12/04 00:00:00,1398/12/04 16:00:00,960.0,14118,13111,364,514,44,85,62.0,22352.0,248.0,3003.0,30.0
163155,جويبار - ساري,1398/12/07 10:55:00,1398/12/07 12:50:00,115.0,2232,2053,62,85,21,11,57.0,20225.0,7.0,453.0,5.0
163155,جويبار - ساري,1398/12/08 10:20:00,1398/12/09 00:00:00,820.0,15232,14164,344,566,78,80,62.0,20120.0,296.0,2915.0,34.0
163155,جويبار - ساري,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,14854,13888,349,508,55,54,64.0,14854.0,485.0,1942.0,33.0
163155,جويبار - ساري,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,20829,18659,769,994,176,231,63.0,20829.0,785.0,4199.0,208.0
163155,جويبار - ساري,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,20513,16677,1720,1420,370,326,64.0,20513.0,1495.0,3870.0,892.0
163155,جويبار - ساري,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,16354,13774,1130,952,194,304,59.0,16354.0,468.0,2470.0,165.0
163155,جويبار - ساري,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,17254,15875,489,657,89,144,59.0,17254.0,260.0,2832.0,91.0
163155,جويبار - ساري,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,19407,15818,1231,1000,311,1047,65.0,19407.0,1944.0,3574.0,251.0
163155,جويبار - ساري,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,19354,16106,1435,1217,304,292,64.0,19354.0,1048.0,3435.0,295.0
