Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164301,جويبار - قائمشهر,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,7581,7453,80,23,11,14,65.0,7593.0,55.0,50.0,45.0
164301,جويبار - قائمشهر,1398/12/02 00:00:00,1398/12/03 00:00:00,1320.0,6825,6752,36,16,14,7,67.0,7704.0,29.0,38.0,47.0
164301,جويبار - قائمشهر,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,6675,6541,87,27,9,11,67.0,6689.0,39.0,35.0,47.0
164301,جويبار - قائمشهر,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,6628,6494,80,31,9,14,68.0,6641.0,56.0,52.0,71.0
164301,جويبار - قائمشهر,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,6809,6695,73,28,9,4,67.0,6823.0,48.0,37.0,66.0
164301,جويبار - قائمشهر,1398/12/06 00:00:00,1398/12/07 00:00:00,1330.0,5875,5762,72,14,14,13,66.0,6458.0,28.0,35.0,51.0
164301,جويبار - قائمشهر,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,5665,5565,62,12,11,15,66.0,5675.0,28.0,26.0,44.0
164301,جويبار - قائمشهر,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,6707,6582,72,25,11,17,66.0,6718.0,39.0,40.0,57.0
164301,جويبار - قائمشهر,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,5221,5145,42,11,13,10,68.0,5491.0,30.0,27.0,49.0
164301,جويبار - قائمشهر,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,6475,6339,75,33,10,18,68.0,6489.0,39.0,52.0,52.0
164301,جويبار - قائمشهر,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,6229,6114,77,13,6,19,66.0,6242.0,29.0,38.0,56.0
164301,جويبار - قائمشهر,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,5257,5139,91,10,6,11,66.0,5265.0,28.0,20.0,44.0
164301,جويبار - قائمشهر,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,5664,5567,69,11,6,11,67.0,5672.0,37.0,43.0,39.0
164301,جويبار - قائمشهر,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6316,6216,61,10,9,20,68.0,6325.0,54.0,58.0,65.0
164301,جويبار - قائمشهر,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,6542,6424,77,17,7,17,66.0,6553.0,41.0,55.0,65.0
164301,جويبار - قائمشهر,1398/12/16 00:00:00,1398/12/17 00:00:00,1380.0,4864,4791,46,13,6,8,67.0,5145.0,28.0,34.0,50.0
164301,جويبار - قائمشهر,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,5647,5548,65,17,10,7,67.0,5654.0,39.0,37.0,49.0
164301,جويبار - قائمشهر,1398/12/18 00:00:00,1398/12/19 00:00:00,1375.0,4247,4159,67,9,4,8,68.0,4488.0,31.0,32.0,34.0
164301,جويبار - قائمشهر,1398/12/19 00:00:00,1398/12/20 00:00:00,1430.0,5595,5476,71,17,15,16,69.0,5617.0,53.0,46.0,58.0
164301,جويبار - قائمشهر,1398/12/20 00:00:00,1398/12/21 00:00:00,1365.0,5029,4939,64,8,4,14,68.0,5399.0,36.0,35.0,67.0
164301,جويبار - قائمشهر,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,5545,5457,65,9,4,10,68.0,5558.0,39.0,39.0,37.0
164301,جويبار - قائمشهر,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,5483,5378,75,8,8,14,68.0,5492.0,39.0,32.0,58.0
164301,جويبار - قائمشهر,1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,4034,3970,41,10,4,9,69.0,4039.0,42.0,29.0,48.0
164301,جويبار - قائمشهر,1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,6487,6404,61,7,2,13,70.0,6497.0,255.0,54.0,59.0
164301,جويبار - قائمشهر,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,8127,8031,64,15,3,14,72.0,8179.0,632.0,43.0,45.0
164301,جويبار - قائمشهر,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,8733,8651,51,13,8,10,71.0,8733.0,633.0,30.0,52.0
164301,جويبار - قائمشهر,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,7978,7901,56,4,5,12,71.0,7978.0,533.0,35.0,49.0
164301,جويبار - قائمشهر,1398/12/28 00:00:00,1398/12/29 00:00:00,1445.0,8378,8314,48,6,3,7,73.0,8365.0,684.0,26.0,41.0
164301,جويبار - قائمشهر,1398/12/29 00:00:00,1399/01/01 00:00:00,1395.0,7115,7077,29,6,1,2,75.0,7123.0,586.0,36.0,52.0
164301,جويبار - قائمشهر,1400/01/01 00:00:00,1400/01/02 00:00:00,1335.0,5046,4610,388,44,3,1,72.0,5799.0,108.0,366.0,40.0
164301,جويبار - قائمشهر,1400/01/02 00:00:00,1400/01/03 00:00:00,1380.0,5544,4911,571,58,1,3,73.0,5571.0,142.0,360.0,57.0
164301,جويبار - قائمشهر,1400/01/03 00:00:00,1400/01/04 00:00:00,1435.0,6346,5762,527,49,1,7,71.0,6350.0,105.0,444.0,47.0
164301,جويبار - قائمشهر,1400/01/04 00:00:00,1400/01/05 00:00:00,1390.0,6205,5621,536,41,3,4,72.0,6484.0,129.0,459.0,50.0
164301,جويبار - قائمشهر,1400/01/05 00:00:00,1400/01/06 00:00:00,1435.0,7017,6332,613,59,6,7,70.0,7023.0,100.0,499.0,59.0
164301,جويبار - قائمشهر,1400/01/06 00:00:00,1400/01/07 00:00:00,1440.0,6624,6091,481,40,4,8,70.0,6624.0,95.0,462.0,53.0
164301,جويبار - قائمشهر,1400/01/07 00:00:00,1400/01/08 00:00:00,1435.0,7145,6325,680,111,16,13,69.0,7152.0,126.0,514.0,37.0
164301,جويبار - قائمشهر,1400/01/08 00:00:00,1400/01/09 00:00:00,1435.0,7096,6317,652,85,21,21,69.0,7103.0,104.0,459.0,56.0
164301,جويبار - قائمشهر,1400/01/09 00:00:00,1400/01/10 00:00:00,1385.0,6493,5809,584,70,14,16,69.0,6958.0,98.0,460.0,41.0
164301,جويبار - قائمشهر,1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,7623,6840,675,77,19,12,69.0,7623.0,107.0,573.0,54.0
164301,جويبار - قائمشهر,1400/01/11 00:00:00,1400/01/11 23:55:00,1380.0,7022,6296,610,90,13,13,68.0,7355.0,99.0,542.0,57.0
164301,جويبار - قائمشهر,1400/01/12 00:00:00,1400/01/13 00:00:00,1435.0,6659,5889,671,78,10,11,70.0,6663.0,119.0,530.0,56.0
164301,جويبار - قائمشهر,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,5074,4633,390,33,11,7,72.0,5074.0,105.0,291.0,44.0
164301,جويبار - قائمشهر,1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,6577,5844,597,91,25,20,69.0,6577.0,113.0,425.0,44.0
164301,جويبار - قائمشهر,1400/01/15 00:00:00,1400/01/16 00:00:00,1435.0,7029,6202,639,120,38,30,69.0,7040.0,92.0,556.0,60.0
164301,جويبار - قائمشهر,1400/01/16 00:00:00,1400/01/17 00:00:00,1440.0,7112,6258,693,93,30,38,68.0,7112.0,96.0,513.0,51.0
164301,جويبار - قائمشهر,1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,6988,6111,702,108,43,24,69.0,6988.0,110.0,496.0,50.0
164301,جويبار - قائمشهر,1400/01/18 00:00:00,1400/01/19 00:00:00,1435.0,7134,6289,691,97,31,26,69.0,7172.0,102.0,527.0,34.0
164301,جويبار - قائمشهر,1400/01/19 00:00:00,1400/01/20 00:00:00,1375.0,6882,6169,558,91,35,29,67.0,7389.0,79.0,494.0,60.0
164301,جويبار - قائمشهر,1400/01/20 00:00:00,1400/01/21 00:00:00,1385.0,5703,5238,379,43,22,21,69.0,5948.0,77.0,342.0,52.0
164301,جويبار - قائمشهر,1400/01/21 00:00:00,1400/01/22 00:00:00,1265.0,6151,5491,536,62,39,23,68.0,6827.0,79.0,462.0,38.0
164301,جويبار - قائمشهر,1400/01/22 00:00:00,1400/01/23 00:00:00,1385.0,6317,5697,499,71,25,25,68.0,6724.0,80.0,434.0,43.0
