Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163104,خزرآباد - ساري,1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,23302,22462,472,186,94,88,73.0,25037.0,1205.0,2087.0,0.0
163104,خزرآباد - ساري,1398/12/02 00:00:00,1398/12/03 00:00:00,1325.0,19799,19273,289,112,66,59,76.0,22289.0,1271.0,1647.0,0.0
163104,خزرآباد - ساري,1398/12/03 00:00:00,1398/12/04 00:00:00,1325.0,22461,21642,450,163,118,88,76.0,25622.0,1425.0,2193.0,0.0
163104,خزرآباد - ساري,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,22822,21993,495,162,75,97,76.0,22856.0,1331.0,2045.0,0.0
163104,خزرآباد - ساري,1398/12/05 00:55:00,1398/12/06 00:00:00,1325.0,20306,19556,432,174,58,86,76.0,22426.0,1192.0,1700.0,0.0
163104,خزرآباد - ساري,1398/12/06 00:00:00,1398/12/07 00:00:00,1325.0,19480,18626,536,146,74,98,74.0,21662.0,1262.0,1666.0,0.0
163104,خزرآباد - ساري,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,18380,17795,326,128,51,80,73.0,18407.0,515.0,1040.0,0.0
163104,خزرآباد - ساري,1398/12/08 00:00:00,1398/12/09 00:00:00,1270.0,18384,17736,373,135,53,87,76.0,22134.0,1121.0,1492.0,0.0
163104,خزرآباد - ساري,1398/12/09 00:00:00,1398/12/10 00:00:00,1385.0,20445,19785,407,109,71,73,77.0,22213.0,1566.0,1767.0,0.0
163104,خزرآباد - ساري,1398/12/10 00:00:00,1398/12/11 00:00:00,1375.0,21032,20199,486,176,67,104,77.0,22877.0,1394.0,1920.0,0.0
163104,خزرآباد - ساري,1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,18289,17479,461,188,74,87,76.0,20803.0,1077.0,1604.0,0.0
163104,خزرآباد - ساري,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,16979,16365,331,142,56,85,73.0,17579.0,512.0,912.0,0.0
163104,خزرآباد - ساري,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,17244,16591,357,146,57,93,74.0,18771.0,647.0,1055.0,0.0
163104,خزرآباد - ساري,1398/12/14 00:00:00,1398/12/15 00:00:00,1325.0,18205,17420,442,200,57,86,78.0,20633.0,1390.0,1557.0,0.0
163104,خزرآباد - ساري,1398/12/15 00:00:00,1398/12/16 00:00:00,1325.0,19283,18534,407,174,76,92,77.0,20940.0,1439.0,1808.0,0.0
163104,خزرآباد - ساري,1398/12/16 00:00:00,1398/12/17 00:00:00,1380.0,17669,17002,356,142,55,114,77.0,18551.0,1431.0,1420.0,0.0
163104,خزرآباد - ساري,1398/12/17 00:00:00,1398/12/18 00:00:00,1380.0,17757,16958,475,165,54,105,76.0,18515.0,1117.0,1344.0,0.0
163104,خزرآباد - ساري,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,16764,15865,555,203,52,89,78.0,16777.0,1490.0,1193.0,0.0
163104,خزرآباد - ساري,1398/12/19 00:00:00,1398/12/19 23:55:00,1370.0,18743,17803,566,203,75,96,78.0,19892.0,1585.0,1632.0,0.0
163104,خزرآباد - ساري,1398/12/20 00:00:00,1398/12/21 00:00:00,1380.0,18729,17706,605,208,79,131,77.0,19332.0,1515.0,1652.0,0.0
163104,خزرآباد - ساري,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,19333,18337,586,223,69,118,78.0,19363.0,1628.0,1670.0,0.0
163104,خزرآباد - ساري,1398/12/22 00:00:00,1398/12/23 00:00:00,1325.0,16417,15603,481,184,49,100,78.0,18591.0,1453.0,1310.0,0.0
