Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163454,دابودشت - فريدون کنار,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,7475,7303,150,15,3,4,71.0,7482.0,485.0,156.0,0.0
163454,دابودشت - فريدون کنار,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,6183,6051,115,7,2,8,74.0,6190.0,517.0,113.0,0.0
163454,دابودشت - فريدون کنار,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,6541,6325,194,18,1,3,73.0,6547.0,531.0,151.0,0.0
163454,دابودشت - فريدون کنار,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,6333,6058,248,20,2,5,74.0,6340.0,526.0,165.0,0.0
163454,دابودشت - فريدون کنار,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,6349,6051,269,23,2,4,74.0,6356.0,530.0,117.0,0.0
163454,دابودشت - فريدون کنار,1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,5595,5374,189,17,8,7,72.0,5928.0,399.0,116.0,0.0
163454,دابودشت - فريدون کنار,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,5397,5167,206,17,4,3,71.0,5401.0,333.0,89.0,0.0
163454,دابودشت - فريدون کنار,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,6499,6251,222,18,2,6,74.0,6506.0,533.0,164.0,0.0
163454,دابودشت - فريدون کنار,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,5554,5329,200,19,2,4,74.0,5559.0,466.0,121.0,0.0
163454,دابودشت - فريدون کنار,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,6147,5770,351,20,4,2,74.0,6154.0,511.0,154.0,0.0
163454,دابودشت - فريدون کنار,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,6015,5582,395,32,3,3,72.0,6024.0,456.0,148.0,0.0
163454,دابودشت - فريدون کنار,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,5241,4871,326,35,4,5,69.0,5246.0,266.0,130.0,0.0
163454,دابودشت - فريدون کنار,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,5361,4963,365,25,2,6,71.0,5368.0,309.0,116.0,0.0
163454,دابودشت - فريدون کنار,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,5957,5548,376,28,2,3,74.0,5963.0,512.0,196.0,0.0
163454,دابودشت - فريدون کنار,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,6450,6001,413,27,5,4,74.0,6456.0,562.0,195.0,0.0
163454,دابودشت - فريدون کنار,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,4836,4536,265,23,3,9,73.0,4842.0,390.0,111.0,0.0
163454,دابودشت - فريدون کنار,1398/12/17 00:00:00,1398/12/18 00:00:00,1320.0,4926,4560,332,27,2,5,71.0,5182.0,381.0,129.0,0.0
163454,دابودشت - فريدون کنار,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,4579,4102,428,36,4,9,73.0,4583.0,368.0,114.0,0.0
163454,دابودشت - فريدون کنار,1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,5057,4547,462,42,2,4,74.0,5081.0,456.0,147.0,0.0
163454,دابودشت - فريدون کنار,1398/12/20 00:00:00,1398/12/21 00:00:00,1430.0,5164,4660,465,31,3,5,73.0,5197.0,413.0,147.0,0.0
163454,دابودشت - فريدون کنار,1398/12/21 00:00:00,1398/12/22 00:00:00,1315.0,4625,4172,413,34,4,2,72.0,4932.0,339.0,134.0,0.0
163454,دابودشت - فريدون کنار,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,5358,4811,488,46,4,9,71.0,5366.0,376.0,157.0,0.0
