Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/01 00:00:00,1398/12/02 00:00:00,1270.0,10003,9433,359,92,66,53,59.0,10603,184.0,1537.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/02 00:00:00,1398/12/03 00:00:00,1270.0,11124,10831,107,92,58,36,64.0,13186,187.0,1584.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/03 00:00:00,1398/12/04 00:00:00,1225.0,10407,9861,371,81,43,51,63.0,12574,182.0,1799.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/04 00:00:00,1398/12/05 00:00:00,1215.0,9618,8958,415,95,74,76,61.0,11707,218.0,1753.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/05 00:00:00,1398/12/05 23:45:00,1145.0,8580,8023,440,46,40,31,60.0,10945,90.0,1101.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/06 00:40:00,1398/12/07 00:00:00,1145.0,7730,7203,339,72,48,68,56.0,10810,122.0,2001.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/07 00:00:00,1398/12/08 00:00:00,1315.0,6713,6449,146,49,25,44,52.0,7266,205.0,2079.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/08 00:00:00,1398/12/09 00:00:00,1320.0,6141,5830,197,54,25,35,56.0,6737,125.0,1356.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,8125,7948,61,48,22,46,63.0,8970,150.0,1332.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/10 00:00:00,1398/12/11 00:00:00,1025.0,7158,6786,178,68,44,82,57.0,10059,107.0,1449.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/11 00:00:00,1398/12/12 00:00:00,1160.0,9902,9247,402,89,64,100,55.0,12481,214.0,2751.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/12 00:00:00,1398/12/13 00:00:00,1320.0,8101,7554,374,78,46,49,55.0,8460,177.0,1500.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,7872,7162,518,103,49,40,60.0,8066,115.0,1135.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/14 00:00:00,1398/12/15 00:00:00,1325.0,8335,7639,507,98,47,44,60.0,9538,150.0,1067.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/15 00:00:00,1398/12/16 00:00:00,1240.0,10025,9344,399,106,48,128,55.0,12279,153.0,2605.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/16 00:00:00,1398/12/17 00:00:00,1195.0,9678,9127,129,143,70,209,54.0,12024,202.0,3956.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/17 00:00:00,1398/12/18 00:00:00,1165.0,10794,10088,302,142,67,195,50.0,12956,194.0,3840.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/18 00:00:00,1398/12/19 00:00:00,1095.0,10025,9446,226,114,61,178,53.0,13592,151.0,3566.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/19 00:00:00,1398/12/20 00:00:00,1175.0,10430,9660,341,153,61,215,51.0,12236,211.0,3824.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/20 00:00:00,1398/12/21 00:00:00,990.0,8456,7850,296,102,61,147,49.0,12168,103.0,2972.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/21 00:00:00,1398/12/21 23:55:00,830.0,6868,6392,218,79,47,132,50.0,12824,128.0,2551.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/22 00:55:00,1398/12/22 23:30:00,1030.0,9164,8693,229,103,38,101,49.0,12393,126.0,2783.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/23 00:25:00,1398/12/24 00:00:00,1195.0,10783,10254,133,132,83,181,54.0,12488,196.0,4241.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/24 00:00:00,1398/12/25 00:00:00,1165.0,10897,10264,349,103,50,131,54.0,13057,115.0,3131.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/25 00:00:00,1398/12/26 00:00:00,1225.0,11582,11195,238,58,37,54,56.0,13198,75.0,2914.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/26 00:00:00,1398/12/27 00:00:00,1350.0,8865,8574,190,44,26,31,58.0,9704,62.0,1854.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/27 00:00:00,1398/12/28 00:00:00,1355.0,7346,7112,127,51,21,35,57.0,7857,58.0,1611.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/28 00:00:00,1398/12/29 00:00:00,1305.0,8241,8034,62,62,29,54,59.0,8791,107.0,1794.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1398/12/29 00:00:00,1399/01/01 00:00:00,1225.0,8140,7729,72,107,56,176,56.0,9591,138.0,2772.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/01 00:00:00,1400/01/02 00:00:00,1385.0,7326,7233,31,21,13,28,65.0,7868,8.0,101.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/02 00:00:00,1400/01/03 00:00:00,1310.0,9933,9624,242,23,19,25,64.0,10406,37.0,242.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/03 00:00:00,1400/01/04 00:00:00,1405.0,13867,13642,151,31,15,28,62.0,14103,10.0,468.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/04 00:00:00,1400/01/05 00:00:00,1370.0,12838,12580,190,37,6,25,62.0,13492,17.0,411.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/05 00:00:00,1400/01/06 00:00:00,1365.0,17217,16930,166,72,20,29,50.0,18832,8.0,596.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/06 00:00:00,1400/01/07 00:00:00,1405.0,22713,22513,81,57,31,31,61.0,23300,8.0,1079.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,19347,18959,266,63,17,42,53.0,19347,21.0,937.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/08 00:00:00,1400/01/09 00:00:00,1370.0,18800,18492,201,63,14,30,62.0,20403,4.0,960.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/09 00:00:00,1400/01/10 00:00:00,1340.0,19577,19248,211,67,13,38,62.0,21635,6.0,979.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,21563,21179,260,78,17,29,56.0,21563,13.0,1067.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/11 00:00:00,1400/01/11 23:55:00,1400.0,21507,21124,259,69,18,37,56.0,22274,8.0,981.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/12 00:00:00,1400/01/13 00:00:00,1405.0,22958,22673,181,51,20,33,61.0,23537,7.0,1005.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/13 00:00:00,1400/01/14 00:00:00,1405.0,17765,17646,57,20,13,29,63.0,18287,11.0,558.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/14 00:00:00,1400/01/15 00:00:00,1370.0,19962,19381,427,94,29,31,61.0,21922,17.0,1003.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/15 00:00:00,1400/01/16 00:00:00,1405.0,16721,16059,458,141,28,35,61.0,17464,8.0,745.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/16 00:00:00,1400/01/17 00:00:00,1405.0,11885,11227,462,141,24,31,62.0,12299,43.0,287.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,10643,10007,483,110,15,28,60.0,10643,6.0,218.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/18 00:00:00,1400/01/19 00:00:00,1410.0,10089,9438,512,90,17,32,60.0,10360,7.0,202.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/19 00:00:00,1400/01/20 00:00:00,1435.0,10617,9956,500,103,21,37,61.0,10667,10.0,200.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/20 00:00:00,1400/01/21 00:00:00,1365.0,10301,10162,62,33,14,30,62.0,11537,4.0,200.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/21 00:00:00,1400/01/22 00:00:00,1440.0,9903,9152,597,107,20,27,60.0,9903,13.0,172.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/22 00:00:00,1400/01/23 00:00:00,1370.0,7870,7156,580,90,20,24,59.0,8414,5.0,123.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/23 00:00:00,1400/01/24 00:00:00,1440.0,8497,7754,600,99,19,25,60.0,8497,2.0,160.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/24 00:00:00,1400/01/25 00:00:00,1395.0,8244,7422,618,139,28,37,60.0,8324,10.0,128.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/25 00:00:00,1400/01/26 00:00:00,1435.0,7995,7236,596,119,19,25,59.0,8035,6.0,109.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/26 00:00:00,1400/01/27 00:00:00,1405.0,8292,7734,425,96,14,23,61.0,8600,7.0,121.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/27 00:00:00,1400/01/28 00:00:00,1440.0,8902,8750,67,43,12,30,63.0,8902,8.0,136.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/28 00:00:00,1400/01/29 00:00:00,1440.0,9029,8236,629,120,19,25,60.0,9029,7.0,136.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/29 00:00:00,1400/01/30 00:00:00,1405.0,8202,7478,555,128,18,23,60.0,8509,4.0,131.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/30 00:00:00,1400/01/31 00:00:00,1435.0,8159,7458,544,115,16,26,60.0,8197,3.0,112.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/01/31 00:00:00,1400/02/01 00:00:00,1435.0,8367,7640,580,106,16,25,59.0,8416,4.0,136.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/01 22:20:00,1400/12/02 00:00:00,100.0,175,163,11,1,0,0,56.0,10345,0.0,1.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/02 00:00:00,1400/12/03 00:00:00,1340.0,10285,9318,889,46,11,21,60.0,11015,12.0,544.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/03 00:00:00,1400/12/04 00:00:00,1375.0,12525,11266,1103,94,24,38,62.0,13616,27.0,739.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/04 00:00:00,1400/12/04 22:00:00,1170.0,12765,11465,1120,60,14,106,60.0,14743,17.0,800.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/08 18:30:00,1400/12/09 00:00:00,330.0,3091,2846,242,2,1,0,58.0,15427,2.0,190.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/09 00:00:00,1400/12/10 00:00:00,1395.0,15014,13071,1858,45,11,29,63.0,15392,96.0,1604.0,0.0
164104,چالوس - کرج (دوآب - مرزن آباد),1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,17119,15114,1925,45,14,21,61.0,17119,55.0,2230.0,0.0
