Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164651,کرج - چالوس (دوآب - چالوس),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,3691,3222,126,328,13,2,55.0,3691.0,3.0,858.0,123.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,3214,2894,107,193,17,3,55.0,3214.0,1.0,841.0,95.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,4077,3617,113,332,14,1,55.0,4077.0,3.0,1147.0,130.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,4347,3826,137,365,16,3,55.0,4347.0,7.0,1304.0,136.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,4404,3888,140,355,16,5,55.0,4404.0,1.0,1366.0,135.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,3745,3251,132,347,13,2,55.0,3745.0,6.0,938.0,132.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,1878,1650,62,159,4,3,56.0,1909.0,2.0,220.0,67.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,2394,2112,74,200,7,1,55.0,2394.0,2.0,361.0,110.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,3118,2798,76,234,6,4,55.0,3137.0,4.0,757.0,113.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,4384,3846,145,379,11,3,55.0,4384.0,1.0,1344.0,155.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,4064,3540,153,352,11,8,55.0,4064.0,8.0,1158.0,142.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,2994,2640,97,243,11,3,55.0,2994.0,4.0,584.0,100.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,3266,2890,106,261,5,4,55.0,3266.0,5.0,723.0,119.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,4108,3624,134,336,12,2,55.0,4108.0,5.0,1157.0,154.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,4196,3741,125,317,11,2,55.0,4196.0,7.0,1184.0,167.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,3944,3529,108,291,14,2,55.0,3944.0,9.0,1019.0,168.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,4946,4374,174,375,20,3,55.0,4946.0,4.0,1682.0,129.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,5030,4557,156,307,8,2,55.0,5030.0,7.0,1708.0,139.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,6181,5487,182,485,22,5,55.0,6181.0,11.0,2426.0,152.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,6213,5526,223,435,25,4,55.0,6213.0,3.0,2380.0,207.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,6158,5454,214,469,19,2,55.0,6158.0,0.0,2279.0,191.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,6147,5462,202,463,14,6,55.0,6147.0,6.0,2306.0,179.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,5369,4871,160,315,22,1,55.0,5369.0,9.0,1851.0,144.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,7024,6301,213,481,25,4,55.0,7024.0,16.0,2848.0,239.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,6687,6037,188,434,24,4,55.0,6687.0,9.0,2527.0,207.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,6803,6067,198,506,26,6,55.0,6803.0,13.0,2674.0,206.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,6243,5560,190,470,19,4,55.0,6243.0,8.0,2236.0,156.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,6612,5940,213,432,21,6,55.0,6612.0,10.0,2424.0,150.0
164651,کرج - چالوس (دوآب - چالوس),1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,6082,5465,166,418,28,5,55.0,6082.0,6.0,2148.0,191.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/01 00:00:00,1400/01/02 00:00:00,1415.0,5022,4991,20,11,0,0,57.0,5202.0,7.0,381.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/02 00:00:00,1400/01/03 00:00:00,1380.0,6022,5959,37,13,10,3,56.0,6105.0,10.0,538.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,6891,6840,37,12,2,0,55.0,6891.0,2.0,594.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/04 00:00:00,1400/01/05 00:00:00,935.0,2983,2952,25,5,1,0,55.0,3780.0,2.0,234.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/05 00:00:00,1400/01/06 00:00:00,1155.0,4523,4488,24,9,2,0,55.0,5297.0,2.0,355.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/06 00:00:00,1400/01/07 00:00:00,1440.0,6342,6289,41,11,1,0,53.0,6342.0,9.0,542.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,5877,5808,61,7,0,1,53.0,5877.0,2.0,402.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/08 00:00:00,1400/01/09 00:00:00,1440.0,5058,4953,90,14,0,1,54.0,5058.0,3.0,383.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/09 00:00:00,1400/01/10 00:00:00,1285.0,4664,4579,57,26,2,0,55.0,5608.0,8.0,342.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,5243,5134,83,22,3,1,55.0,5243.0,8.0,387.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/11 00:00:00,1400/01/11 23:55:00,1435.0,4622,4486,106,28,2,0,54.0,4633.0,9.0,307.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/12 00:00:00,1400/01/13 00:00:00,1440.0,3903,3840,44,19,0,0,55.0,3903.0,3.0,280.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,8138,8118,10,8,2,0,45.0,8138.0,6.0,492.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,4463,4201,248,13,0,1,53.0,4463.0,4.0,336.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/15 00:00:00,1400/01/16 00:00:00,1405.0,3832,3485,307,38,1,1,55.0,3962.0,6.0,281.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/16 00:00:00,1400/01/17 00:00:00,1440.0,4070,3716,319,33,1,1,54.0,4070.0,2.0,334.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/17 00:00:00,1400/01/18 00:00:00,1405.0,3914,3617,281,12,4,0,53.0,4029.0,8.0,303.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/18 00:00:00,1400/01/19 00:00:00,1405.0,4122,3727,374,20,0,1,53.0,4283.0,5.0,327.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/19 00:00:00,1400/01/20 00:00:00,1430.0,4382,4008,341,27,3,3,53.0,4416.0,3.0,369.0,0.0
164651,کرج - چالوس (دوآب - چالوس),1400/01/20 00:00:00,1400/01/21 00:00:00,1435.0,6315,6245,46,23,1,0,54.0,6318.0,6.0,522.0,0.0
