Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163851,رامسر - تنکابن,1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,17871,17035,434,210,102,90,63.0,19000.0,92.0,490.0,0.0
163851,رامسر - تنکابن,1398/12/02 00:00:00,1398/12/03 00:00:00,1360.0,15072,14410,363,139,74,86,66.0,16233.0,95.0,366.0,0.0
163851,رامسر - تنکابن,1398/12/03 00:00:00,1398/12/04 00:00:00,1270.0,14910,14175,386,147,91,111,67.0,17969.0,102.0,448.0,0.0
163851,رامسر - تنکابن,1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,16476,15511,521,194,124,126,66.0,17643.0,109.0,569.0,0.0
163851,رامسر - تنکابن,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,17211,16232,494,207,118,160,66.0,17248.0,112.0,551.0,0.0
163851,رامسر - تنکابن,1398/12/06 00:00:00,1398/12/07 00:00:00,1380.0,15040,14173,472,155,115,125,65.0,15941.0,97.0,455.0,0.0
163851,رامسر - تنکابن,1398/12/07 00:00:00,1398/12/08 00:00:00,1325.0,13394,12646,390,130,123,105,62.0,14768.0,71.0,402.0,0.0
163851,رامسر - تنکابن,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,15147,14347,459,152,96,93,66.0,17199.0,97.0,433.0,0.0
163851,رامسر - تنکابن,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,13603,12840,387,164,97,115,67.0,13622.0,96.0,327.0,0.0
163851,رامسر - تنکابن,1398/12/10 00:00:00,1398/12/11 00:00:00,1325.0,14604,13754,472,148,104,126,67.0,15734.0,113.0,480.0,0.0
163851,رامسر - تنکابن,1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,12368,11474,554,151,86,103,63.0,14266.0,61.0,410.0,0.0
163851,رامسر - تنکابن,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,13485,12326,789,180,86,104,60.0,13509.0,77.0,598.0,0.0
163851,رامسر - تنکابن,1398/12/13 00:00:00,1398/12/14 00:00:00,1325.0,11476,10474,632,146,104,120,58.0,13031.0,33.0,429.0,0.0
163851,رامسر - تنکابن,1398/12/14 00:00:00,1398/12/15 00:00:00,1315.0,12316,11165,759,172,100,120,63.0,13731.0,64.0,585.0,0.0
163851,رامسر - تنکابن,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,14609,13385,790,199,106,129,61.0,14637.0,72.0,638.0,0.0
163851,رامسر - تنکابن,1398/12/16 00:00:00,1398/12/17 00:00:00,1320.0,9072,8211,519,160,90,92,62.0,10442.0,42.0,300.0,0.0
163851,رامسر - تنکابن,1398/12/17 00:00:00,1398/12/18 00:00:00,1380.0,10742,9836,622,119,59,106,64.0,11368.0,62.0,349.0,0.0
163851,رامسر - تنکابن,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,10045,9164,564,133,80,104,63.0,10061.0,40.0,318.0,0.0
163851,رامسر - تنکابن,1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,11852,10736,747,151,92,126,63.0,11915.0,68.0,473.0,0.0
163851,رامسر - تنکابن,1398/12/20 00:00:00,1398/12/21 00:00:00,1380.0,11656,10581,704,168,89,114,62.0,11968.0,59.0,470.0,0.0
163851,رامسر - تنکابن,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,11870,10779,748,133,85,125,63.0,11897.0,61.0,501.0,0.0
163851,رامسر - تنکابن,1398/12/22 00:00:00,1398/12/23 00:00:00,1375.0,11769,10723,683,161,76,126,61.0,11898.0,73.0,446.0,0.0
163851,رامسر - تنکابن,1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,9646,8705,609,151,76,105,62.0,9660.0,70.0,312.0,0.0
163851,رامسر - تنکابن,1398/12/24 00:00:00,1398/12/25 00:00:00,1380.0,12678,11714,642,150,66,106,64.0,13473.0,59.0,502.0,0.0
163851,رامسر - تنکابن,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,15467,14574,588,130,85,90,65.0,15574.0,68.0,453.0,0.0
163851,رامسر - تنکابن,1398/12/26 00:00:00,1398/12/27 00:00:00,1390.0,14378,13524,551,137,87,79,64.0,15370.0,58.0,443.0,0.0
163851,رامسر - تنکابن,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,15241,14486,512,106,65,72,64.0,15241.0,47.0,380.0,0.0
