Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163901,رامسر - چابکسر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,13963,12624,367,576,78,318,66.0,13963.0,21.0,1705.0,0.0
163901,رامسر - چابکسر,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,12412,11491,234,376,66,245,69.0,12412.0,58.0,1473.0,0.0
163901,رامسر - چابکسر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,12117,10901,334,499,73,310,68.0,12117.0,30.0,1309.0,0.0
163901,رامسر - چابکسر,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,11983,10605,366,608,87,317,68.0,11983.0,27.0,1277.0,1.0
163901,رامسر - چابکسر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,11612,10180,373,619,86,354,68.0,11612.0,37.0,1147.0,1.0
163901,رامسر - چابکسر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,11274,9818,362,644,103,347,66.0,11274.0,22.0,1119.0,0.0
163901,رامسر - چابکسر,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,10843,9631,320,498,77,317,66.0,10843.0,19.0,1010.0,0.0
163901,رامسر - چابکسر,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,11686,10372,366,603,71,274,68.0,11686.0,29.0,1269.0,1.0
163901,رامسر - چابکسر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,9741,8753,253,440,56,239,67.0,9741.0,23.0,891.0,0.0
163901,رامسر - چابکسر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,9907,8692,324,545,73,273,67.0,9907.0,15.0,894.0,0.0
163901,رامسر - چابکسر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,9152,7931,360,533,61,267,65.0,9152.0,9.0,684.0,0.0
163901,رامسر - چابکسر,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,8323,7184,314,505,64,256,65.0,8327.0,13.0,538.0,0.0
163901,رامسر - چابکسر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,8269,7201,289,512,55,212,65.0,8269.0,8.0,510.0,0.0
163901,رامسر - چابکسر,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,8748,7613,270,515,39,311,68.0,8748.0,21.0,685.0,0.0
163901,رامسر - چابکسر,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,8683,7459,363,562,47,252,67.0,8683.0,23.0,671.0,2.0
163901,رامسر - چابکسر,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,6201,5259,248,436,40,218,66.0,6201.0,9.0,342.0,0.0
163901,رامسر - چابکسر,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,5522,4548,287,419,48,220,66.0,5522.0,27.0,217.0,0.0
163901,رامسر - چابکسر,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,5753,4825,291,407,41,189,65.0,5753.0,15.0,271.0,0.0
163901,رامسر - چابکسر,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,6345,5412,267,388,40,238,66.0,6345.0,8.0,318.0,0.0
163901,رامسر - چابکسر,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,6306,5292,295,487,47,185,66.0,6306.0,10.0,305.0,1.0
163901,رامسر - چابکسر,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,6233,5193,299,442,49,250,66.0,6233.0,11.0,300.0,0.0
163901,رامسر - چابکسر,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,6443,5324,346,477,53,243,66.0,6443.0,19.0,326.0,0.0
