Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163508,زاغمرز - حسين آباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1440,1150,1036,25,38,10,41,63,157,27,53,1150
163508,زاغمرز - حسين آباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1440,979,906,23,25,4,21,64,160,23,29,987
163508,زاغمرز - حسين آباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1440,1114,1029,25,25,3,32,65,163,25,27,1114
163508,زاغمرز - حسين آباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1440,1049,970,23,27,4,25,65,155,25,22,1049
163508,زاغمرز - حسين آباد,1398/12/05 00:00:00,1398/12/06 00:00:00,1440,1222,1144,31,27,2,18,65,172,24,30,1222
163508,زاغمرز - حسين آباد,1398/12/06 00:00:00,1398/12/07 00:00:00,1440,1055,973,27,20,4,31,63,136,29,29,1055
163508,زاغمرز - حسين آباد,1398/12/07 00:00:00,1398/12/08 00:00:00,1405,882,804,22,24,10,22,61,71,14,29,921
163508,زاغمرز - حسين آباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1440,1180,1043,35,37,14,51,62,129,16,46,1180
163508,زاغمرز - حسين آباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1440,960,870,26,30,8,26,64,126,24,27,967
163508,زاغمرز - حسين آباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1440,1148,1022,31,42,11,42,64,192,19,36,1148
163508,زاغمرز - حسين آباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1440,1068,965,31,36,8,28,62,129,26,35,1072
163508,زاغمرز - حسين آباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1440,869,781,24,22,8,34,60,70,14,42,869
163508,زاغمرز - حسين آباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1440,1026,936,21,26,6,37,61,94,16,128,1031
163508,زاغمرز - حسين آباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1440,1056,957,25,49,7,18,64,165,22,36,1056
163508,زاغمرز - حسين آباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1440,1086,987,23,30,5,41,63,127,14,25,1091
163508,زاغمرز - حسين آباد,1398/12/16 00:00:00,1398/12/17 00:00:00,1440,899,835,23,17,5,19,64,136,14,21,899
163508,زاغمرز - حسين آباد,1398/12/17 00:00:00,1398/12/18 00:00:00,1440,978,890,28,28,12,20,63,126,18,45,997
163508,زاغمرز - حسين آباد,1398/12/18 00:00:00,1398/12/19 00:00:00,1440,794,717,26,28,3,20,64,118,8,26,794
163508,زاغمرز - حسين آباد,1398/12/19 00:00:00,1398/12/20 00:00:00,1440,884,803,28,23,4,26,65,143,12,24,888
163508,زاغمرز - حسين آباد,1398/12/20 00:00:00,1398/12/21 00:00:00,1440,892,791,31,42,2,26,64,130,14,38,892
163508,زاغمرز - حسين آباد,1398/12/21 00:00:00,1398/12/22 00:00:00,1440,889,798,18,41,7,25,63,126,10,31,894
163508,زاغمرز - حسين آباد,1398/12/22 00:00:00,1398/12/23 00:00:00,1440,859,763,30,21,11,34,63,117,18,26,863
163508,زاغمرز - حسين آباد,1398/12/23 00:00:00,1398/12/24 00:00:00,1440,772,684,24,44,2,18,65,142,10,25,781
163508,زاغمرز - حسين آباد,1398/12/24 00:00:00,1398/12/25 00:00:00,1440,944,841,25,33,10,35,65,188,22,27,944
163508,زاغمرز - حسين آباد,1398/12/25 00:00:00,1398/12/26 00:00:00,1440,965,843,25,30,17,50,65,193,19,45,965
163508,زاغمرز - حسين آباد,1398/12/26 00:00:00,1398/12/27 00:00:00,1440,943,844,24,29,7,39,64,147,17,32,943
163508,زاغمرز - حسين آباد,1398/12/27 00:00:00,1398/12/28 00:00:00,1440,998,876,31,43,11,37,60,135,17,34,1002
163508,زاغمرز - حسين آباد,1398/12/28 00:00:00,1398/12/29 00:00:00,1440,1010,873,28,26,11,72,63,145,18,37,1010
163508,زاغمرز - حسين آباد,1398/12/29 00:00:00,1399/01/01 00:00:00,1440,887,805,12,19,4,47,66,173,12,29,887
163508,زاغمرز - حسين آباد,1400/01/01 00:00:00,1400/01/02 00:00:00,1390,972,963,5,3,1,0,70,33,19,0,1041
163508,زاغمرز - حسين آباد,1400/01/02 00:00:00,1400/01/03 00:00:00,1380,1021,1010,9,1,0,1,71,33,6,0,1021
163508,زاغمرز - حسين آباد,1400/01/03 00:00:00,1400/01/04 00:00:00,1440,1247,1205,15,9,5,13,71,36,18,0,1247
163508,زاغمرز - حسين آباد,1400/01/04 00:00:00,1400/01/05 00:00:00,1440,1405,1357,20,11,4,13,70,46,31,0,1405
163508,زاغمرز - حسين آباد,1400/01/05 00:00:00,1400/01/06 00:00:00,1440,1387,1343,16,10,9,9,70,40,26,0,1497
163508,زاغمرز - حسين آباد,1400/01/06 00:00:00,1400/01/07 00:00:00,1400,1225,1191,12,12,8,2,70,44,16,0,1378
163508,زاغمرز - حسين آباد,1400/01/07 00:00:00,1400/01/08 00:00:00,1405,1248,1199,14,10,8,17,71,39,44,0,1459
163508,زاغمرز - حسين آباد,1400/01/08 00:00:00,1400/01/09 00:00:00,1440,1211,1154,23,9,11,14,67,36,48,0,1218
163508,زاغمرز - حسين آباد,1400/01/09 00:00:00,1400/01/10 00:00:00,1440,1486,1434,15,12,10,15,68,37,20,0,1486
163508,زاغمرز - حسين آباد,1400/01/10 00:00:00,1400/01/11 00:00:00,1440,1383,1334,19,9,13,8,71,40,12,0,1407
163508,زاغمرز - حسين آباد,1400/01/11 00:00:00,1400/01/11 23:55:00,1435,1462,1404,19,10,11,18,70,58,8,0,1502
163508,زاغمرز - حسين آباد,1400/01/12 00:00:00,1400/01/13 00:00:00,1440,1219,1181,16,9,11,2,71,35,5,0,1219
163508,زاغمرز - حسين آباد,1400/01/13 00:00:00,1400/01/14 00:00:00,1440,1223,1217,2,2,2,0,71,51,18,0,1223
163508,زاغمرز - حسين آباد,1400/01/14 00:00:00,1400/01/15 00:00:00,1440,1117,1065,27,10,11,4,69,39,6,0,1138
163508,زاغمرز - حسين آباد,1400/01/15 00:00:00,1400/01/16 00:00:00,1440,1178,1137,17,9,7,8,69,32,10,0,1184
163508,زاغمرز - حسين آباد,1400/01/16 00:00:00,1400/01/17 00:00:00,1440,1245,1192,23,9,13,8,70,53,15,0,1254
163508,زاغمرز - حسين آباد,1400/01/17 00:00:00,1400/01/17 22:15:00,1335,1243,1193,15,11,13,11,71,55,14,0,1336
163508,زاغمرز - حسين آباد,1399/12/01 00:00:00,1399/12/02 00:00:00,1260,4339,4251,49,19,8,12,78,1229,2766,0,8671
163508,زاغمرز - حسين آباد,1399/12/02 00:00:00,1399/12/03 00:00:00,1290,4625,4428,68,40,18,71,72,1132,2486,0,8780
163508,زاغمرز - حسين آباد,1399/12/03 00:00:00,1399/12/04 00:00:00,1015,6600,6461,42,24,11,62,77,2128,4248,0,9633
