Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163105,ساري - جويبار,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,22197,20754,485,770,73,115,63.0,22197.0,585.0,4397.0,81.0
163105,ساري - جويبار,1398/12/02 00:00:00,1398/12/03 00:00:00,1370.0,16555,15785,254,407,35,74,67.0,16889.0,911.0,2383.0,43.0
163105,ساري - جويبار,1398/12/03 00:00:00,1398/12/04 00:00:00,1360.0,20593,19313,412,694,64,110,66.0,21549.0,870.0,4175.0,54.0
163105,ساري - جويبار,1398/12/04 00:00:00,1398/12/04 18:00:00,795.0,14382,13331,366,550,52,83,66.0,21702.0,427.0,3116.0,30.0
163105,ساري - جويبار,1398/12/05 05:40:00,1398/12/05 18:00:00,510.0,11633,10734,287,511,36,65,66.0,23437.0,281.0,2675.0,32.0
163105,ساري - جويبار,1398/12/06 12:05:06,1398/12/06 17:14:46,275.0,6227,5690,182,243,78,34,67.0,21499.0,164.0,1365.0,11.0
163105,ساري - جويبار,1398/12/07 10:35:00,1398/12/07 12:45:00,125.0,2854,2641,66,116,9,22,63.0,19908.0,22.0,612.0,12.0
163105,ساري - جويبار,1398/12/08 07:00:00,1398/12/09 00:00:00,1020.0,19183,17900,430,700,59,94,66.0,20162.0,690.0,3750.0,67.0
163105,ساري - جويبار,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,14622,13763,284,479,35,61,67.0,14622.0,918.0,1604.0,33.0
163105,ساري - جويبار,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,20296,18790,521,784,76,125,66.0,20296.0,788.0,3879.0,53.0
163105,ساري - جويبار,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,19467,17964,535,799,45,124,65.0,19467.0,620.0,3596.0,51.0
163105,ساري - جويبار,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,16090,15015,361,587,31,96,61.0,16090.0,284.0,2169.0,35.0
163105,ساري - جويبار,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,17098,15890,423,615,40,130,63.0,17098.0,387.0,2587.0,40.0
163105,ساري - جويبار,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,19041,17762,441,681,62,95,66.0,19041.0,746.0,3404.0,47.0
163105,ساري - جويبار,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,18992,17562,483,753,64,130,66.0,18992.0,894.0,3205.0,58.0
163105,ساري - جويبار,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,13352,12376,313,550,26,87,66.0,13352.0,864.0,1297.0,25.0
163105,ساري - جويبار,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,16803,15568,406,678,61,90,64.0,16803.0,570.0,2527.0,43.0
163105,ساري - جويبار,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,12869,11955,273,521,28,92,65.0,12869.0,702.0,1243.0,28.0
163105,ساري - جويبار,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,17219,16004,412,649,45,109,66.0,17219.0,795.0,2638.0,26.0
163105,ساري - جويبار,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,16970,15752,381,658,57,122,66.0,16970.0,848.0,2577.0,29.0
163105,ساري - جويبار,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,17406,16071,431,733,55,116,67.0,17406.0,879.0,2774.0,33.0
163105,ساري - جويبار,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,16826,15527,400,739,44,116,66.0,16826.0,793.0,2532.0,37.0
163105,ساري - جويبار,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,11316,10536,204,481,29,66,65.0,11316.0,683.0,825.0,17.0
163105,ساري - جويبار,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,16723,15542,393,644,41,103,66.0,16723.0,839.0,2409.0,36.0
163105,ساري - جويبار,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,16148,15010,394,631,39,74,66.0,16148.0,772.0,2244.0,38.0
163105,ساري - جويبار,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,16240,15044,399,660,32,105,66.0,16240.0,731.0,2266.0,43.0
163105,ساري - جويبار,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,15387,14326,370,581,31,79,66.0,15387.0,702.0,2030.0,36.0
163105,ساري - جويبار,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,15212,14322,298,489,32,71,66.0,15212.0,847.0,1921.0,42.0
163105,ساري - جويبار,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,12802,12371,147,215,28,41,66.0,12802.0,943.0,1169.0,33.0
163105,ساري - جويبار,1400/01/01 00:00:00,1400/01/02 00:00:00,1420.0,14211,13963,129,81,11,27,72.0,14589.0,3115.0,768.0,0.0
163105,ساري - جويبار,1400/01/02 00:00:00,1400/01/03 00:00:00,1345.0,14155,13905,150,61,11,28,72.0,14981.0,2916.0,768.0,0.0
163105,ساري - جويبار,1400/01/03 00:00:00,1400/01/04 00:00:00,1405.0,16702,16274,270,125,13,20,72.0,17479.0,3636.0,1049.0,0.0
163105,ساري - جويبار,1400/01/04 00:00:00,1400/01/05 00:00:00,1405.0,17253,16764,310,128,14,37,72.0,17594.0,3642.0,1120.0,0.0
163105,ساري - جويبار,1400/01/05 00:00:00,1400/01/06 00:00:00,1440.0,19203,18533,446,160,20,44,71.0,19203.0,3327.0,1321.0,0.0
163105,ساري - جويبار,1400/01/06 00:00:00,1400/01/07 00:00:00,1405.0,16444,15951,297,150,16,30,71.0,17144.0,3227.0,946.0,0.0
163105,ساري - جويبار,1400/01/07 00:00:00,1400/01/08 00:00:00,1405.0,21667,20722,612,219,44,70,69.0,22570.0,2872.0,1883.0,0.0
163105,ساري - جويبار,1400/01/08 00:00:00,1400/01/09 00:00:00,1405.0,20712,19860,544,217,28,63,68.0,21109.0,2348.0,1586.0,0.0
163105,ساري - جويبار,1400/01/09 00:00:00,1400/01/10 00:00:00,1405.0,19524,18717,512,213,33,49,70.0,20067.0,3505.0,1433.0,0.0
163105,ساري - جويبار,1400/01/10 00:00:00,1400/01/11 00:00:00,1405.0,22233,21304,568,265,32,64,70.0,23038.0,3446.0,2033.0,0.0
163105,ساري - جويبار,1400/01/11 00:00:00,1400/01/11 23:55:00,1365.0,20790,19805,612,257,40,76,69.0,22490.0,2733.0,1809.0,0.0
163105,ساري - جويبار,1400/01/12 00:00:00,1400/01/13 00:00:00,1405.0,17449,16792,402,171,31,53,68.0,18073.0,2680.0,1170.0,0.0
163105,ساري - جويبار,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,12787,12556,139,54,15,23,69.0,12787.0,2467.0,540.0,0.0
163105,ساري - جويبار,1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,22312,21372,575,259,27,79,68.0,22312.0,2486.0,2031.0,0.0
163105,ساري - جويبار,1400/01/15 00:00:00,1400/01/16 00:00:00,1440.0,23266,22215,645,284,40,82,70.0,23266.0,3462.0,2327.0,0.0
163105,ساري - جويبار,1400/01/16 00:00:00,1400/01/17 00:00:00,1400.0,24010,22695,825,358,43,89,70.0,24092.0,3446.0,2468.0,0.0
163105,ساري - جويبار,1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,24528,23262,791,336,41,98,68.0,24528.0,2867.0,2581.0,0.0
163105,ساري - جويبار,1400/01/18 00:00:00,1400/01/19 00:00:00,1405.0,23539,22391,721,303,40,84,68.0,24433.0,2991.0,2230.0,0.0
163105,ساري - جويبار,1400/01/19 00:00:00,1400/01/20 00:00:00,1435.0,22972,21850,692,299,53,78,68.0,23103.0,3143.0,1978.0,0.0
163105,ساري - جويبار,1400/01/20 00:00:00,1400/01/21 00:00:00,1405.0,15625,14894,450,204,18,59,70.0,16227.0,2844.0,818.0,0.0
163105,ساري - جويبار,1400/01/21 00:00:00,1400/01/22 00:00:00,1370.0,21592,20460,677,308,51,96,68.0,23287.0,2463.0,2079.0,0.0
163105,ساري - جويبار,1400/01/22 00:00:00,1400/01/23 00:00:00,1405.0,21418,20257,719,325,32,85,68.0,22130.0,2513.0,2027.0,0.0
163105,ساري - جويبار,1400/01/23 00:00:00,1400/01/24 00:00:00,1375.0,21890,20646,773,334,48,89,69.0,22702.0,3122.0,2098.0,0.0
163105,ساري - جويبار,1400/01/24 00:00:00,1400/01/25 00:00:00,1405.0,22049,20819,768,311,52,99,68.0,22279.0,2788.0,2189.0,0.0
163105,ساري - جويبار,1400/01/25 00:00:00,1400/01/26 00:00:00,1405.0,20642,19546,649,318,41,88,69.0,21463.0,2821.0,1924.0,0.0
163105,ساري - جويبار,1400/01/26 00:00:00,1400/01/27 00:00:00,1395.0,20092,18968,718,298,26,82,69.0,21141.0,2937.0,1781.0,0.0
163105,ساري - جويبار,1400/01/27 00:00:00,1400/01/28 00:00:00,1435.0,15279,14674,369,170,20,46,69.0,15334.0,2696.0,728.0,0.0
163105,ساري - جويبار,1400/01/28 00:00:00,1400/01/29 00:00:00,1340.0,20720,19553,726,308,32,101,69.0,21849.0,3092.0,1893.0,0.0
163105,ساري - جويبار,1400/01/29 00:00:00,1400/01/30 00:00:00,1405.0,20936,19762,710,342,30,92,70.0,21752.0,3275.0,1888.0,0.0
163105,ساري - جويبار,1400/01/30 00:00:00,1400/01/31 00:00:00,1405.0,20797,19556,755,339,42,105,69.0,21351.0,2741.0,2004.0,0.0
163105,ساري - جويبار,1400/01/31 00:00:00,1400/02/01 00:00:00,1440.0,22086,20845,770,339,33,99,70.0,22086.0,3322.0,2097.0,0.0
163105,ساري - جويبار,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,22621,21472,662,343,63,81,70.0,22621.0,246.0,5705.0,7.0
163105,ساري - جويبار,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,22869,21840,569,333,52,75,69.0,22869.0,192.0,5694.0,5.0
163105,ساري - جويبار,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,23280,22064,690,384,58,84,70.0,23280.0,302.0,6020.0,6.0
163105,ساري - جويبار,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,23909,22763,640,373,67,66,72.0,23909.0,302.0,6226.0,9.0
163105,ساري - جويبار,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,23551,22373,683,343,68,84,71.0,23551.0,228.0,6107.0,9.0
163105,ساري - جويبار,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,17693,17030,376,199,37,51,74.0,17693.0,317.0,3094.0,5.0
163105,ساري - جويبار,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,23323,22144,678,389,44,68,71.0,23323.0,277.0,6021.0,10.0
163105,ساري - جويبار,1400/12/08 00:00:00,1400/12/09 00:00:00,1425.0,22797,21715,619,343,40,80,71.0,23194.0,238.0,5633.0,7.0
163105,ساري - جويبار,1400/12/09 00:00:00,1400/12/09 23:55:00,1435.0,24250,22956,743,409,53,89,71.0,24296.0,283.0,6463.0,8.0
163105,ساري - جويبار,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,19180,18240,561,294,28,57,71.0,19180.0,270.0,3747.0,2.0
163105,ساري - جويبار,1400/12/11 00:00:00,1400/12/12 00:00:00,1420.0,23537,22353,699,359,45,81,71.0,24035.0,251.0,6166.0,6.0
163105,ساري - جويبار,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,23883,22740,646,359,61,77,70.0,23883.0,272.0,6151.0,10.0
163105,ساري - جويبار,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,17807,17098,408,225,26,50,73.0,17807.0,338.0,3125.0,5.0
163105,ساري - جويبار,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,23945,22771,663,370,58,83,71.0,23945.0,247.0,6351.0,9.0
163105,ساري - جويبار,1400/12/15 00:00:00,1400/12/16 00:00:00,1390.0,22280,21159,640,343,52,86,69.0,23240.0,252.0,5819.0,4.0
163105,ساري - جويبار,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,23505,22412,634,347,39,73,70.0,23505.0,232.0,6055.0,10.0
163105,ساري - جويبار,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,24074,22888,694,358,53,81,71.0,24074.0,305.0,6331.0,7.0
163105,ساري - جويبار,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,24288,23015,736,404,54,79,71.0,24288.0,277.0,6322.0,7.0
163105,ساري - جويبار,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,23833,22645,699,338,69,82,69.0,23833.0,172.0,6177.0,6.0
163105,ساري - جويبار,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,19062,18279,459,248,26,50,72.0,19062.0,262.0,3814.0,3.0
163105,ساري - جويبار,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,24312,23106,670,399,51,86,70.0,24312.0,144.0,6506.0,10.0
163105,ساري - جويبار,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,24269,23049,688,398,60,74,69.0,24269.0,188.0,6356.0,3.0
163105,ساري - جويبار,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,24911,23619,737,396,69,90,70.0,24911.0,197.0,6635.0,7.0
163105,ساري - جويبار,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,24841,23577,739,407,44,74,68.0,24841.0,121.0,6712.0,4.0
163105,ساري - جويبار,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,23795,22630,674,372,47,72,65.0,23795.0,65.0,5899.0,8.0
163105,ساري - جويبار,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,24569,23299,754,386,59,71,69.0,24569.0,209.0,6610.0,12.0
163105,ساري - جويبار,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,22160,21178,625,273,32,52,71.0,22160.0,348.0,4995.0,6.0
163105,ساري - جويبار,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,23187,22414,437,229,49,58,71.0,23187.0,330.0,5530.0,3.0
163105,ساري - جويبار,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,16946,16603,193,102,21,27,71.0,16946.0,280.0,2710.0,6.0
163105,ساري - جويبار,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,24220,23219,647,234,49,71,70.0,24220.0,300.0,6702.0,0.0
163105,ساري - جويبار,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,23674,22667,650,219,58,80,70.0,23801.0,327.0,6607.0,0.0
163105,ساري - جويبار,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,24189,23179,676,236,45,53,70.0,24189.0,328.0,6594.0,0.0
163105,ساري - جويبار,1401/12/04 00:00:00,1401/12/05 00:00:00,1435.0,23665,22631,672,225,52,85,69.0,23707.0,327.0,6458.0,0.0
163105,ساري - جويبار,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,16393,15858,339,130,20,46,69.0,16393.0,209.0,2536.0,0.0
163105,ساري - جويبار,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,24118,23177,620,213,44,64,70.0,24118.0,310.0,6769.0,0.0
163105,ساري - جويبار,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,23772,22782,641,223,47,79,70.0,23772.0,324.0,6498.0,0.0
