Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163154,ساري - خزرآباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,27584,26553,556,231,141,103,71.0,29250.0,813.0,4011.0,0.0
163154,ساري - خزرآباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1325.0,20038,19091,616,144,92,95,75.0,22418.0,1615.0,2056.0,0.0
163154,ساري - خزرآباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1325.0,24243,23048,675,257,157,106,74.0,26825.0,1125.0,3681.0,0.0
163154,ساري - خزرآباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,24978,23896,613,215,120,134,73.0,25034.0,1171.0,3128.0,0.0
163154,ساري - خزرآباد,1398/12/05 00:55:00,1398/12/06 00:00:00,1325.0,22469,21444,597,217,105,106,75.0,24144.0,1217.0,2775.0,0.0
163154,ساري - خزرآباد,1398/12/06 00:00:00,1398/12/07 00:00:00,1325.0,20723,19548,711,255,92,117,73.0,23443.0,1192.0,2401.0,0.0
163154,ساري - خزرآباد,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,20064,19358,370,173,69,94,72.0,20104.0,613.0,1669.0,0.0
163154,ساري - خزرآباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1270.0,21181,20230,554,202,75,120,75.0,25258.0,1171.0,2730.0,0.0
163154,ساري - خزرآباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1385.0,20462,19493,610,169,87,103,76.0,21527.0,1607.0,2079.0,0.0
163154,ساري - خزرآباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1375.0,22382,21323,616,193,112,138,75.0,23706.0,1269.0,2730.0,0.0
163154,ساري - خزرآباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,19860,18892,592,165,99,112,74.0,22472.0,1067.0,2252.0,0.0
163154,ساري - خزرآباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,18340,17594,428,132,88,98,73.0,18383.0,704.0,1356.0,0.0
163154,ساري - خزرآباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,18657,17900,415,141,90,111,74.0,19669.0,943.0,1658.0,0.0
163154,ساري - خزرآباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1325.0,19863,18991,479,186,83,124,76.0,22608.0,1398.0,2210.0,0.0
163154,ساري - خزرآباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1325.0,22015,21016,578,182,107,132,75.0,23927.0,1537.0,2740.0,0.0
163154,ساري - خزرآباد,1398/12/16 00:00:00,1398/12/17 00:00:00,1380.0,18345,17483,539,138,51,134,77.0,19417.0,1929.0,1492.0,0.0
163154,ساري - خزرآباد,1398/12/17 00:00:00,1398/12/18 00:00:00,1380.0,18994,18118,501,154,92,129,75.0,20049.0,1149.0,1683.0,0.0
163154,ساري - خزرآباد,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,17868,16975,572,129,70,122,77.0,17902.0,1693.0,1350.0,0.0
163154,ساري - خزرآباد,1398/12/19 00:00:00,1398/12/19 23:55:00,1370.0,20303,19222,667,184,108,122,76.0,21345.0,1594.0,2205.0,0.0
163154,ساري - خزرآباد,1398/12/20 00:00:00,1398/12/21 00:00:00,1380.0,19490,18408,662,193,93,134,76.0,20672.0,1513.0,1948.0,0.0
163154,ساري - خزرآباد,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,21074,19926,679,212,114,143,76.0,21132.0,1576.0,2160.0,0.0
163154,ساري - خزرآباد,1398/12/22 00:00:00,1398/12/23 00:00:00,1325.0,18921,17968,588,156,75,134,75.0,21392.0,1365.0,1828.0,0.0
163154,ساري - خزرآباد,1398/12/23 00:00:00,1398/12/24 00:00:00,1400.0,16224,15439,461,133,67,124,77.0,16604.0,1446.0,1023.0,0.0
163154,ساري - خزرآباد,1398/12/24 00:00:00,1398/12/25 00:00:00,1385.0,19045,18062,563,202,99,119,77.0,20345.0,1646.0,1921.0,0.0
163154,ساري - خزرآباد,1398/12/25 00:00:00,1398/12/26 00:00:00,1385.0,19187,18131,641,193,92,130,77.0,19823.0,1622.0,1891.0,0.0
163154,ساري - خزرآباد,1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,20674,19584,704,174,91,121,77.0,20627.0,1833.0,2076.0,0.0
163154,ساري - خزرآباد,1398/12/27 00:00:00,1398/12/28 00:00:00,1405.0,18866,18158,425,127,98,58,76.0,19394.0,1494.0,1589.0,0.0
163154,ساري - خزرآباد,1398/12/28 00:00:00,1398/12/29 00:00:00,1400.0,18741,18122,367,122,83,47,76.0,19362.0,1548.0,1588.0,0.0
163154,ساري - خزرآباد,1398/12/29 00:00:00,1399/01/01 00:00:00,1400.0,16995,16605,233,70,52,35,78.0,17724.0,1831.0,1145.0,0.0
163154,ساري - خزرآباد,1400/01/01 00:00:00,1400/01/02 00:00:00,1315.0,18930,18712,95,63,47,13,73.0,21736.0,573.0,1721.0,0.0
163154,ساري - خزرآباد,1400/01/02 00:00:00,1400/01/03 00:00:00,1330.0,21078,20812,152,68,36,10,72.0,22616.0,579.0,1990.0,0.0
163154,ساري - خزرآباد,1400/01/03 00:00:00,1400/01/04 00:00:00,1290.0,22603,22286,168,89,45,15,71.0,26297.0,563.0,2538.0,0.0
163154,ساري - خزرآباد,1400/01/04 00:00:00,1400/01/04 23:55:00,1385.0,26003,25602,208,109,62,22,71.0,27150.0,536.0,3153.0,0.0
163154,ساري - خزرآباد,1400/01/05 00:45:00,1400/01/06 00:00:00,1345.0,26943,26355,331,137,71,49,69.0,28303.0,421.0,3351.0,0.0
163154,ساري - خزرآباد,1400/01/06 00:00:00,1400/01/07 00:00:00,1440.0,24511,24093,207,110,73,28,70.0,24511.0,458.0,2381.0,0.0
163154,ساري - خزرآباد,1400/01/07 00:00:00,1400/01/08 00:00:00,1335.0,25216,24626,315,124,80,71,69.0,26661.0,425.0,3175.0,0.0
163154,ساري - خزرآباد,1400/01/08 00:00:00,1400/01/09 00:00:00,1390.0,24989,24381,307,164,92,45,70.0,26314.0,371.0,2696.0,0.0
163154,ساري - خزرآباد,1400/01/09 00:00:00,1400/01/10 00:00:00,1335.0,26232,25585,345,158,86,58,70.0,29183.0,491.0,3289.0,0.0
163154,ساري - خزرآباد,1400/01/10 00:00:00,1400/01/11 00:00:00,1340.0,26360,25516,519,162,101,62,70.0,29141.0,472.0,3252.0,0.0
163154,ساري - خزرآباد,1400/01/11 00:00:00,1400/01/11 23:55:00,700.0,14869,14439,242,89,64,35,68.0,28458.0,209.0,1881.0,0.0
163154,ساري - خزرآباد,1400/01/12 00:00:00,1400/01/12 23:25:00,670.0,16752,16437,145,82,60,28,69.0,28668.0,272.0,2014.0,0.0
163154,ساري - خزرآباد,1400/01/13 00:15:00,1400/01/14 00:00:00,985.0,15153,14995,84,41,26,7,72.0,16107.0,438.0,1246.0,0.0
163154,ساري - خزرآباد,1400/01/14 00:00:00,1400/01/15 00:00:00,975.0,16164,15617,308,107,68,64,69.0,27347.0,207.0,1799.0,0.0
163154,ساري - خزرآباد,1400/01/15 00:00:00,1400/01/16 00:00:00,1335.0,25222,24280,561,152,112,117,72.0,27941.0,686.0,3639.0,0.0
163154,ساري - خزرآباد,1400/01/16 00:00:00,1400/01/17 00:00:00,1380.0,25715,24556,693,237,105,124,75.0,27190.0,1187.0,3865.0,0.0
163154,ساري - خزرآباد,1400/01/17 00:00:00,1400/01/18 00:00:00,1365.0,25151,23915,726,238,124,148,75.0,26960.0,1189.0,3972.0,0.0
163154,ساري - خزرآباد,1400/01/18 00:00:00,1400/01/19 00:00:00,1040.0,18088,17204,510,177,88,109,75.0,27544.0,839.0,2579.0,0.0
163154,ساري - خزرآباد,1400/01/19 00:00:00,1400/01/20 00:00:00,1270.0,24112,22322,1258,155,101,276,75.0,28327.0,1335.0,3578.0,0.0
