Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163101,ساري - کياسر (شکتا),1398/12/01 00:00:00,1398/12/02 00:00:00,1375.0,9193,8126,286,721,21,39,67.0,7.0,1310.0,0.0,9229.0
163101,ساري - کياسر (شکتا),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,7937,6991,251,653,19,23,67.0,5.0,1198.0,0.0,7937.0
163101,ساري - کياسر (شکتا),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,6769,5967,223,550,15,14,67.0,2.0,811.0,0.0,6769.0
163101,ساري - کياسر (شکتا),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,7078,6287,189,568,9,25,67.0,4.0,839.0,0.0,7078.0
163101,ساري - کياسر (شکتا),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,7454,6604,236,572,16,26,67.0,1.0,876.0,0.0,7454.0
163101,ساري - کياسر (شکتا),1398/12/06 00:00:00,1398/12/07 00:00:00,1420.0,6568,5807,222,500,16,23,67.0,6.0,733.0,0.0,6708.0
163101,ساري - کياسر (شکتا),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,4899,4297,134,439,12,17,67.0,4.0,426.0,0.0,4899.0
163101,ساري - کياسر (شکتا),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,8455,7461,294,661,12,27,67.0,3.0,1180.0,0.0,8476.0
163101,ساري - کياسر (شکتا),1398/12/09 00:00:00,1398/12/10 00:00:00,1335.0,7357,6433,247,637,11,29,67.0,4.0,1175.0,0.0,8836.0
163101,ساري - کياسر (شکتا),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,7019,6164,225,591,18,21,67.0,5.0,815.0,0.0,7019.0
163101,ساري - کياسر (شکتا),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,6918,6085,227,572,11,23,67.0,6.0,866.0,0.0,6918.0
163101,ساري - کياسر (شکتا),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,4407,3869,142,371,9,16,66.0,3.0,344.0,0.0,4407.0
163101,ساري - کياسر (شکتا),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,5344,4684,182,444,10,24,67.0,1.0,503.0,0.0,5344.0
163101,ساري - کياسر (شکتا),1398/12/14 00:00:00,1398/12/15 00:00:00,1410.0,6881,6066,204,559,18,34,67.0,5.0,831.0,0.0,7086.0
163101,ساري - کياسر (شکتا),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,10502,9314,311,823,20,34,67.0,9.0,1710.0,0.0,10502.0
163101,ساري - کياسر (شکتا),1398/12/16 00:00:00,1398/12/17 00:00:00,1425.0,10247,9109,307,783,12,36,67.0,4.0,1959.0,0.0,10315.0
163101,ساري - کياسر (شکتا),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,6833,6040,199,551,22,21,67.0,6.0,770.0,0.0,6833.0
163101,ساري - کياسر (شکتا),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,6718,5890,238,557,15,18,67.0,6.0,799.0,0.0,6718.0
163101,ساري - کياسر (شکتا),1398/12/19 00:00:00,1398/12/20 00:00:00,1335.0,6635,5858,201,535,15,26,67.0,6.0,791.0,0.0,6858.0
163101,ساري - کياسر (شکتا),1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,7448,6556,245,594,21,32,67.0,7.0,909.0,0.0,7448.0
163101,ساري - کياسر (شکتا),1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,7649,6712,260,620,24,33,67.0,4.0,887.0,0.0,7649.0
163101,ساري - کياسر (شکتا),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,9233,8119,311,750,23,30,67.0,6.0,1329.0,0.0,9233.0
163101,ساري - کياسر (شکتا),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,7069,6211,238,579,17,24,67.0,4.0,946.0,0.0,7069.0
163101,ساري - کياسر (شکتا),1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,6651,5849,190,565,18,29,67.0,3.0,716.0,0.0,6651.0
163101,ساري - کياسر (شکتا),1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,7208,6379,214,583,15,17,67.0,1.0,910.0,0.0,7207.0
163101,ساري - کياسر (شکتا),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,6651,5844,189,566,20,32,67.0,4.0,823.0,0.0,6651.0
163101,ساري - کياسر (شکتا),1398/12/27 00:00:00,1398/12/28 00:00:00,1350.0,5782,5017,208,525,11,21,66.0,5.0,648.0,0.0,6136.0
163101,ساري - کياسر (شکتا),1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,6315,5493,220,567,10,25,67.0,3.0,758.0,0.0,6315.0
163101,ساري - کياسر (شکتا),1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,7065,6192,240,591,18,24,67.0,5.0,999.0,0.0,7065.0
163101,ساري - کياسر (شکتا),1400/01/01 00:00:00,1400/01/02 00:00:00,1205.0,9704,9654,42,7,1,0,59.0,106.0,458.0,0.0,12661.0
