Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163102,ساري - قائمشهر,1398/12/01 00:00:00,1398/12/02 00:00:00,1425.0,42561,38881,1690,1241,262,487,78.0,43065.0,363.0,18799.0,0.0
163102,ساري - قائمشهر,1398/12/02 00:00:00,1398/12/03 00:00:00,1430.0,32335,29494,1297,946,230,368,83.0,32634.0,418.0,11015.0,0.0
163102,ساري - قائمشهر,1398/12/03 00:00:00,1398/12/04 00:00:00,1425.0,41780,37925,1645,1374,308,528,81.0,42453.0,470.0,17921.0,0.0
163102,ساري - قائمشهر,1398/12/04 00:00:00,1398/12/05 00:00:00,1415.0,41733,37776,1627,1466,299,565,81.0,42830.0,496.0,18359.0,0.0
163102,ساري - قائمشهر,1398/12/05 00:00:00,1398/12/06 00:00:00,1420.0,40905,36981,1699,1377,284,564,81.0,41757.0,546.0,17520.0,0.0
163102,ساري - قائمشهر,1398/12/06 00:00:00,1398/12/07 00:00:00,1430.0,38898,35154,1649,1302,285,508,80.0,39303.0,415.0,15815.0,0.0
163102,ساري - قائمشهر,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,35312,32058,1459,1143,236,416,78.0,35412.0,221.0,12995.0,0.0
163102,ساري - قائمشهر,1398/12/08 00:00:00,1398/12/09 00:00:00,1420.0,35388,32187,1485,1043,257,416,82.0,36104.0,411.0,13672.0,0.0
163102,ساري - قائمشهر,1398/12/09 00:00:00,1398/12/10 00:00:00,1280.0,24746,22205,1139,881,186,335,83.0,27755.0,357.0,7333.0,0.0
163102,ساري - قائمشهر,1398/12/10 00:00:00,1398/12/11 00:00:00,1420.0,37945,34286,1577,1308,255,519,82.0,38685.0,454.0,15143.0,0.0
163102,ساري - قائمشهر,1398/12/11 00:00:00,1398/12/12 00:00:00,1425.0,36317,32760,1572,1282,215,488,80.0,36973.0,330.0,14223.0,0.0
163102,ساري - قائمشهر,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,32930,29781,1385,1131,221,412,77.0,33053.0,135.0,11420.0,0.0
163102,ساري - قائمشهر,1398/12/13 00:00:00,1398/12/14 00:00:00,1425.0,33713,30475,1428,1152,233,425,79.0,34216.0,246.0,12466.0,0.0
163102,ساري - قائمشهر,1398/12/14 00:00:00,1398/12/15 00:00:00,1410.0,34923,31521,1468,1263,219,452,82.0,36008.0,451.0,13382.0,0.0
163102,ساري - قائمشهر,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,33622,30495,1338,1167,202,420,82.0,33775.0,461.0,12144.0,0.0
163102,ساري - قائمشهر,1398/12/16 00:00:00,1398/12/17 00:00:00,1430.0,23743,21198,1096,903,170,376,83.0,23985.0,393.0,5733.0,0.0
163102,ساري - قائمشهر,1398/12/17 00:00:00,1398/12/18 00:00:00,1430.0,30111,27129,1245,1063,240,434,82.0,30435.0,364.0,9496.0,0.0
163102,ساري - قائمشهر,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,22563,19938,1106,975,166,378,82.0,22660.0,353.0,5172.0,0.0
163102,ساري - قائمشهر,1398/12/19 00:00:00,1398/12/20 00:00:00,1435.0,31324,28225,1306,1143,198,452,83.0,31492.0,421.0,10602.0,0.0
163102,ساري - قائمشهر,1398/12/20 00:00:00,1398/12/21 00:00:00,1420.0,29225,26178,1343,1092,181,431,82.0,29799.0,399.0,9290.0,0.0
163102,ساري - قائمشهر,1398/12/21 00:00:00,1398/12/22 00:00:00,1425.0,29578,26464,1331,1156,191,436,82.0,30055.0,391.0,9363.0,0.0
163102,ساري - قائمشهر,1398/12/22 00:00:00,1398/12/23 00:00:00,1420.0,26971,24330,1097,977,175,392,83.0,27489.0,352.0,7700.0,0.0
163102,ساري - قائمشهر,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,19534,17335,936,773,158,332,83.0,19534.0,318.0,3644.0,0.0
163102,ساري - قائمشهر,1398/12/24 00:00:00,1398/12/25 00:00:00,1425.0,28823,26020,1191,1039,188,385,82.0,29256.0,439.0,8839.0,0.0
163102,ساري - قائمشهر,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,28905,25966,1279,1097,171,392,82.0,28905.0,384.0,9059.0,0.0
163102,ساري - قائمشهر,1398/12/26 00:00:00,1398/12/27 00:00:00,1420.0,29272,26266,1304,1097,194,411,82.0,29715.0,399.0,9215.0,0.0
163102,ساري - قائمشهر,1398/12/27 00:00:00,1398/12/28 00:00:00,1425.0,27599,24453,1298,1111,251,486,80.0,27961.0,329.0,8111.0,0.0
163102,ساري - قائمشهر,1398/12/28 00:00:00,1398/12/29 00:00:00,1435.0,26832,24442,1108,846,166,270,83.0,26999.0,376.0,7621.0,0.0
163102,ساري - قائمشهر,1398/12/29 00:00:00,1399/01/01 00:00:00,1435.0,19545,17973,773,460,106,233,85.0,19599.0,419.0,3836.0,0.0
163102,ساري - قائمشهر,1400/01/01 00:00:00,1400/01/02 00:00:00,1375.0,29616,27758,1070,370,80,338,87.0,31831.0,870.0,5609.0,0.0
163102,ساري - قائمشهر,1400/01/02 00:00:00,1400/01/03 00:00:00,1350.0,33206,31333,1010,342,90,431,87.0,34548.0,828.0,6516.0,0.0
163102,ساري - قائمشهر,1400/01/03 00:00:00,1400/01/04 00:00:00,1365.0,34624,32372,1150,529,104,469,87.0,36746.0,764.0,6847.0,0.0
163102,ساري - قائمشهر,1400/01/04 00:00:00,1400/01/05 00:00:00,1370.0,35616,32905,1341,698,134,538,86.0,38394.0,771.0,7677.0,0.0
163102,ساري - قائمشهر,1400/01/05 00:00:00,1400/01/06 00:00:00,1370.0,39000,34548,2040,1117,316,979,76.0,42078.0,764.0,10714.0,0.0
163102,ساري - قائمشهر,1400/01/06 00:00:00,1400/01/07 00:00:00,1405.0,39407,35692,1879,955,214,667,80.0,41313.0,618.0,10796.0,0.0
163102,ساري - قائمشهر,1400/01/07 00:00:00,1400/01/08 00:00:00,1325.0,43209,39175,2004,1059,218,753,82.0,47333.0,704.0,12754.0,0.0
163102,ساري - قائمشهر,1400/01/08 00:00:00,1400/01/09 00:00:00,1430.0,43839,40202,1505,1114,173,845,84.0,44069.0,507.0,10136.0,0.0
