Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163103,ساري - نکا,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,31144,27385,1113,1681,273,692,76.0,31144.0,336.0,9368.0,0.0
163103,ساري - نکا,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,23501,20859,735,1062,250,595,79.0,23501.0,320.0,4961.0,0.0
163103,ساري - نکا,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,28810,25338,976,1509,308,679,78.0,28810.0,372.0,8105.0,0.0
163103,ساري - نکا,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,29593,25801,1208,1640,321,623,78.0,29593.0,373.0,8587.0,0.0
163103,ساري - نکا,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,29381,25310,1215,1820,327,709,78.0,29381.0,398.0,8330.0,0.0
163103,ساري - نکا,1398/12/06 00:00:00,1398/12/06 23:40:00,1420.0,27490,23665,1127,1732,274,692,76.0,27691.0,290.0,7415.0,0.0
163103,ساري - نکا,1398/12/07 14:10:00,1398/12/08 00:00:00,525.0,9741,8834,296,318,149,144,71.0,24299.0,31.0,2065.0,0.0
163103,ساري - نکا,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,27434,24337,1103,1078,431,485,77.0,27434.0,274.0,7354.0,0.0
163103,ساري - نکا,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,19072,16184,981,971,433,503,79.0,19072.0,696.0,3303.0,0.0
163103,ساري - نکا,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,14738,12274,869,855,299,441,72.0,14738.0,120.0,2521.0,0.0
163103,ساري - نکا,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,25778,22293,1314,1226,387,558,76.0,25778.0,237.0,6563.0,0.0
163103,ساري - نکا,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,22295,19349,1067,1024,348,507,72.0,22295.0,92.0,4702.0,0.0
163103,ساري - نکا,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,22623,19709,1027,999,362,526,75.0,22623.0,134.0,4956.0,0.0
163103,ساري - نکا,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,25576,22264,1177,1153,399,583,78.0,25576.0,349.0,6502.0,0.0
163103,ساري - نکا,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,25623,21533,1454,1466,518,652,78.0,25623.0,865.0,6308.0,0.0
163103,ساري - نکا,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,17467,14742,958,949,355,463,80.0,17467.0,562.0,2468.0,0.0
163103,ساري - نکا,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,21714,18828,1062,992,351,481,79.0,21714.0,335.0,4489.0,0.0
163103,ساري - نکا,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,13704,11304,882,862,259,397,78.0,13704.0,252.0,1602.0,0.0
163103,ساري - نکا,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,21736,18612,1116,1120,375,513,79.0,21736.0,358.0,4468.0,0.0
163103,ساري - نکا,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,19786,15626,1405,1358,615,782,78.0,20644.0,1013.0,3974.0,0.0
163103,ساري - نکا,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,21861,17124,1888,1475,582,792,80.0,21861.0,1485.0,4426.0,0.0
163103,ساري - نکا,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,21241,17913,1156,1170,394,608,79.0,21241.0,511.0,4111.0,0.0
163103,ساري - نکا,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,14638,12417,750,805,291,375,80.0,14638.0,300.0,1741.0,0.0
163103,ساري - نکا,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,21478,18637,1081,971,301,488,80.0,21478.0,436.0,4316.0,0.0
163103,ساري - نکا,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,15204,11645,1131,1130,609,689,77.0,15204.0,553.0,2313.0,0.0
163103,ساري - نکا,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,21903,18405,1265,1140,494,599,79.0,21903.0,734.0,4346.0,0.0
163103,ساري - نکا,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,21157,18418,1069,905,329,436,78.0,21157.0,286.0,3962.0,0.0
163103,ساري - نکا,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,21461,19210,930,716,279,326,80.0,21461.0,373.0,4119.0,0.0
163103,ساري - نکا,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,17291,15978,546,381,205,181,82.0,17291.0,450.0,2403.0,0.0
163103,ساري - نکا,1400/01/01 00:00:00,1400/01/02 00:00:00,1310.0,18378,17841,188,121,31,197,94.0,21340.0,7367.0,2064.0,0.0
163103,ساري - نکا,1400/01/02 00:00:00,1400/01/03 00:00:00,1275.0,19041,18312,278,174,32,245,93.0,21861.0,7071.0,2164.0,0.0
163103,ساري - نکا,1400/01/03 00:00:00,1400/01/04 00:00:00,1365.0,22200,21130,447,292,52,279,91.0,23529.0,7905.0,3040.0,0.0
163103,ساري - نکا,1400/01/04 00:00:00,1400/01/05 00:00:00,1405.0,24588,23327,489,386,52,334,91.0,25409.0,8234.0,3324.0,0.0
163103,ساري - نکا,1400/01/05 00:00:00,1400/01/05 16:25:00,905.0,14910,14000,412,250,66,182,86.0,27533.0,4231.0,2343.0,0.0
163103,ساري - نکا,1400/01/06 13:45:00,1400/01/07 00:00:00,510.0,13286,12562,276,234,35,179,90.0,27412.0,4222.0,2268.0,0.0
163103,ساري - نکا,1400/01/07 00:00:00,1400/01/08 00:00:00,1335.0,26205,24115,725,715,107,543,88.0,29454.0,7859.0,4538.0,0.0
163103,ساري - نکا,1400/01/08 00:00:00,1400/01/09 00:00:00,1300.0,26207,24274,688,671,85,489,86.0,28689.0,6564.0,3950.0,0.0
163103,ساري - نکا,1400/01/09 00:00:00,1400/01/10 00:00:00,1335.0,25482,23399,647,739,98,599,87.0,28353.0,7230.0,3986.0,0.0
163103,ساري - نکا,1400/01/10 00:00:00,1400/01/11 00:00:00,1340.0,27655,25358,779,886,94,538,89.0,30459.0,8230.0,4697.0,0.0
163103,ساري - نکا,1400/01/11 00:00:00,1400/01/11 23:55:00,1190.0,22840,20946,616,688,112,478,88.0,28819.0,6374.0,3730.0,0.0
163103,ساري - نکا,1400/01/12 00:00:00,1400/01/12 18:25:00,1105.0,18749,17247,542,523,53,384,89.0,22609.0,5595.0,2476.0,0.0
163103,ساري - نکا,1400/01/13 12:45:00,1400/01/13 19:55:00,395.0,5666,5440,79,57,7,83,95.0,20544.0,2376.0,510.0,0.0
163103,ساري - نکا,1400/01/14 08:55:00,1400/01/15 00:00:00,765.0,18520,17087,490,531,63,349,88.0,26299.0,5596.0,3133.0,0.0
163103,ساري - نکا,1400/01/15 00:00:00,1400/01/16 00:00:00,870.0,14038,12568,488,508,84,390,87.0,28607.0,3937.0,2483.0,0.0
163103,ساري - نکا,1400/01/16 00:00:00,1400/01/17 00:00:00,1295.0,25503,22840,905,932,142,684,87.0,28976.0,7112.0,4716.0,0.0
163103,ساري - نکا,1400/01/17 00:00:00,1400/01/18 00:00:00,1370.0,27743,24729,1129,962,174,749,86.0,29609.0,7758.0,5432.0,0.0
163103,ساري - نکا,1400/01/18 00:00:00,1400/01/19 00:00:00,1315.0,25953,23195,952,912,144,750,88.0,29361.0,8301.0,5070.0,0.0
163103,ساري - نکا,1400/01/19 00:00:00,1400/01/20 00:00:00,1325.0,26344,23702,930,883,161,668,87.0,29447.0,8061.0,5435.0,0.0
163103,ساري - نکا,1400/01/20 00:00:00,1400/01/20 23:25:00,1370.0,22373,20294,722,683,110,564,87.0,23347.0,7089.0,4228.0,0.0
163103,ساري - نکا,1400/01/21 00:00:00,1400/01/22 00:00:00,1300.0,25277,22653,957,861,138,668,88.0,27892.0,7798.0,5244.0,0.0
163103,ساري - نکا,1400/01/22 00:00:00,1400/01/23 00:00:00,1355.0,28983,25991,1014,1067,142,769,84.0,34559.0,6773.0,9329.0,0.0
163103,ساري - نکا,1400/01/23 00:00:00,1400/01/24 00:00:00,1230.0,34103,31532,869,903,102,697,84.0,39661.0,6402.0,17493.0,0.0
163103,ساري - نکا,1400/01/24 00:00:00,1400/01/25 00:00:00,1335.0,24073,21052,1079,1016,138,788,89.0,29209.0,7853.0,4450.0,0.0
163103,ساري - نکا,1400/01/25 00:00:00,1400/01/26 00:00:00,1405.0,25015,21950,1038,1119,149,759,89.0,25967.0,8423.0,4373.0,0.0
163103,ساري - نکا,1400/01/26 00:00:00,1400/01/27 00:00:00,1400.0,23493,20509,1005,1038,142,799,88.0,24475.0,7587.0,4232.0,0.0
163103,ساري - نکا,1400/01/27 00:00:00,1400/01/28 00:00:00,1330.0,15490,13479,612,741,90,568,89.0,16838.0,5019.0,1942.0,0.0
163103,ساري - نکا,1400/01/28 00:00:00,1400/01/29 00:00:00,1200.0,19436,17160,826,767,89,594,88.0,25507.0,5776.0,3247.0,0.0
163103,ساري - نکا,1400/01/29 00:00:00,1400/01/30 00:00:00,1400.0,25542,22360,1176,1120,148,738,86.0,26097.0,7065.0,4597.0,0.0
163103,ساري - نکا,1400/01/30 00:00:00,1400/01/31 00:00:00,1370.0,24430,21322,1118,1104,132,754,88.0,25921.0,7579.0,4277.0,0.0
163103,ساري - نکا,1400/01/31 00:00:00,1400/02/01 00:00:00,1360.0,23962,20988,1131,972,188,683,86.0,25692.0,6885.0,4411.0,0.0
163103,ساري - نکا,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,32955,29386,1545,962,431,631,83.0,32955.0,1972.0,10981.0,8.0
163103,ساري - نکا,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,32793,29214,1471,945,438,725,81.0,32793.0,1477.0,10974.0,8.0
163103,ساري - نکا,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,33912,30076,1595,1018,432,791,83.0,33912.0,1986.0,11646.0,11.0
163103,ساري - نکا,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,35771,31987,1598,1017,423,746,82.0,35771.0,1948.0,12815.0,14.0
163103,ساري - نکا,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,35650,31987,1528,1025,416,694,83.0,35650.0,2236.0,12588.0,6.0
163103,ساري - نکا,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,29327,26640,1118,726,362,481,85.0,29327.0,2483.0,8200.0,5.0
163103,ساري - نکا,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,33684,30324,1456,897,426,581,84.0,33684.0,2331.0,11332.0,0.0
163103,ساري - نکا,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,32755,29258,1444,996,397,660,81.0,32755.0,1650.0,10844.0,10.0
163103,ساري - نکا,1400/12/09 00:00:00,1400/12/09 23:55:00,1435.0,36170,32506,1521,1038,436,669,82.0,36256.0,1844.0,13124.0,9.0
163103,ساري - نکا,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,30830,27530,1365,870,434,631,84.0,30830.0,2139.0,9263.0,7.0
163103,ساري - نکا,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,36182,32478,1540,1022,435,707,82.0,36182.0,2057.0,13228.0,16.0
163103,ساري - نکا,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,36311,32587,1622,992,487,623,83.0,36311.0,2139.0,13036.0,16.0
163103,ساري - نکا,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,28720,26157,1048,705,352,458,82.0,28720.0,2062.0,7935.0,1.0
163103,ساري - نکا,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,34765,31362,1430,922,402,649,82.0,34765.0,1963.0,11982.0,11.0
163103,ساري - نکا,1400/12/15 00:00:00,1400/12/16 00:00:00,1390.0,32792,29233,1522,972,386,679,82.0,34297.0,1847.0,11076.0,12.0
