Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163109,ساري - کياسر (امره),1398/01/01 00:00:00,1398/01/02 00:00:00,1439.0,7967,7864,50,42,6,5,57.0,7968,52.0,693.0,0.0
163109,ساري - کياسر (امره),1398/01/02 00:00:00,1398/01/03 00:00:00,1374.0,9374,9248,67,44,12,3,49.0,9426,33.0,1282.0,0.0
163109,ساري - کياسر (امره),1398/01/03 00:00:00,1398/01/04 00:00:00,1439.0,8917,8767,88,50,8,4,56.0,8918,35.0,942.0,0.0
163109,ساري - کياسر (امره),1398/01/04 00:00:00,1398/01/05 00:00:00,1374.0,8079,7843,133,82,20,1,57.0,8908,45.0,845.0,0.0
163109,ساري - کياسر (امره),1398/01/05 00:00:00,1398/01/06 00:00:00,1439.0,4968,4747,134,76,10,1,57.0,4969,41.0,295.0,0.0
163109,ساري - کياسر (امره),1398/01/06 00:00:00,1398/01/07 00:00:00,1434.0,4156,3891,155,95,9,6,58.0,4184,24.0,317.0,0.0
163109,ساري - کياسر (امره),1398/01/07 00:00:00,1398/01/08 00:00:00,1385.0,6071,5755,190,117,5,4,59.0,6313,37.0,633.0,0.0
163109,ساري - کياسر (امره),1398/01/08 00:00:00,1398/01/09 00:00:00,1439.0,8822,8524,181,104,8,5,58.0,8824,62.0,1066.0,0.0
163109,ساري - کياسر (امره),1398/01/09 00:00:00,1398/01/10 00:00:00,1439.0,8651,8429,134,72,12,4,57.0,8653,38.0,906.0,2.0
163109,ساري - کياسر (امره),1398/01/10 00:00:00,1398/01/11 00:00:00,1374.0,5907,5606,180,109,12,0,58.0,6471,53.0,617.0,31.0
163109,ساري - کياسر (امره),1398/01/11 00:00:00,1398/01/11 23:55:00,1434.0,5595,5284,194,109,5,3,57.0,5604,18.0,457.0,28.0
163109,ساري - کياسر (امره),1398/01/12 00:00:00,1398/01/13 00:00:00,1304.0,7261,7073,110,70,6,2,57.0,7412,25.0,720.0,41.0
163109,ساري - کياسر (امره),1398/01/13 00:00:00,1398/01/14 00:00:00,1383.0,8644,8562,43,35,4,0,56.0,8847,42.0,1084.0,49.0
